PMID,Title,Journal,Year
40200464,Minimizing STOPP and Beers Criteria Risks in PIM Treatments Using PM-TOM and ChatGPT: A Case Study.,Studies in health technology and informatics,2025
39390527,Letter to the Editor: Is Omeprazole a contributing risk factor for osteoarthritis (OA)?,Journal of translational medicine,2024
38802944,Omeprazole and risk of osteoarthritis: insights from a mendelian randomization study in the UK Biobank.,Journal of translational medicine,2024
35743759,Pharmacogenomics and Drug-Induced Phenoconversion Informed Medication Safety Review in the Management of Pain Control and Quality of Life: A Case Report.,Journal of personalized medicine,2022
35031493,Proton pump inhibitor therapy and risk of knee replacement surgery: a general population-based cohort study.,Osteoarthritis and cartilage,2022
32117543,Factors Affecting Quality of Life and Satisfaction in Patients with Arthritis after Change to a Fixed-Dose Naproxen/Esomeprazole Combination Drug.,Clinics in orthopedic surgery,2020
31986170,A comparative study of the efficacy of NAXOZOL compared to celecoxib in patients with osteoarthritis.,PloS one,2020
30233140,Efficacy and safety of a fixed-dose combination of nimesulide/pantoprazole compared to naproxen/esomeprazole for pain relief in patients with osteoarticular diseases and dyspeptic symptoms.,"Drug design, development and therapy",2018
29667211,"Randomised clinical trial: gastrointestinal events in arthritis patients treated with celecoxib, ibuprofen or naproxen in the PRECISION trial.",Alimentary pharmacology & therapeutics,2018
26313454,Onset and durability of pain relief in knee osteoarthritis: Pooled results from two placebo trials of naproxen/esomeprazole combination and celecoxib.,The Physician and sportsmedicine,2015
26235613,Onset and durability of pain relief in knee osteoarthritis: pooled results from two placebo trials of naproxen/esomeprazole combination and celecoxib.,The Physician and sportsmedicine,2015
26061682,The cost-effectiveness of celecoxib versus non-steroidal anti-inflammatory drugs plus proton-pump inhibitors in the treatment of osteoarthritis in Saudi Arabia.,Health economics review,2015
32689731,Does Non-Surgical Periodontal Therapy in Overweight and Obesity Result in a Change in Body Mass Index? A Review of Current Evidence.,Clinical advances in periodontics,2015
25433956,How to mechanistically explain the CONDOR study data.,Medical hypotheses,2015
24380809,Efficiency of naproxen/esomeprazole in association for osteoarthrosis treatment in Spain.,Reumatologia clinica,2014
24368727,Impact of concomitant low-dose aspirin on the safety and tolerability of naproxen and esomeprazole magnesium delayed-release tablets in patients requiring chronic nonsteroidal anti-inflammatory drug therapy: an analysis from 5 Phase III studies.,Journal of thrombosis and thrombolysis,2014
24358067,Celecoxib and Diclofenac Plus Omeprazole are Similarly Effective in the Treatment of Arthritis in Patients at High GI Risk in the CONDOR Trial.,The open rheumatology journal,2013
37662022,The Cost-effectiveness of Celecoxib versus Non-steroidal Anti-inflammatory Drugs plus Proton-pump Inhibitors for Treating Osteoarthritis in Algeria.,Journal of health economics and outcomes research,2013
23530709,Safety and efficacy of long-term esomeprazole 20 mg in Japanese patients with a history of peptic ulcer receiving daily non-steroidal anti-inflammatory drugs.,BMC gastroenterology,2013
27790020,Efficacy and tolerability of naproxen/esomeprazole magnesium tablets compared with non-specific NSAIDs and COX-2 inhibitors: a systematic review and network analyses.,Open access rheumatology : research and reviews,2013
