PMID,Title,Journal,Year
40644656,Association of Medication Use and 8-Year Mortality Risk in Patients With Parkinson Disease: Drug-Wide Trial Emulation.,Neurology,2025
40481989,Causal relationship between proton pump inhibitors and dementia risk: evidence from a Mendelian randomization study.,European archives of psychiatry and clinical neuroscience,2025
39213821,Effect of concomitant use of esomeprazole on levodopa pharmacokinetics and clinical symptoms in patients with Parkinson's disease.,Journal of the neurological sciences,2024
36473742,Monitoring the fluctuations of cysteine activity in living cells using a near-infrared fluorescence probe.,Talanta,2023
32833426,Unique Novel Role of Adropin in a Gastric Ulcer in a Rotenone-Induced Rat Model of Parkinson's Disease.,ACS chemical neuroscience,2020
32641306,"Omeprazole-induced hypomagnesaemia, causing renal tubular acidosis with hypokalaemia, hypocalcaemia, hyperlactacidaemia and hyperammonaemia.",BMJ case reports,2020
28808886,"Assessment of Pharmacokinetic Interactions Between Obeticholic Acid and Caffeine, Midazolam, Warfarin, Dextromethorphan, Omeprazole, Rosuvastatin, and Digoxin in Phase 1 Studies in Healthy Subjects.",Advances in therapy,2017
25795100,"An update on pharmacological, pharmacokinetic properties and drug-drug interactions of rotigotine transdermal system in Parkinson's disease and restless legs syndrome.",Drugs,2015
25537303,Evaluation of the effect of orally administered acid suppressants on intragastric pH in cats.,Journal of veterinary internal medicine,2015
25411976,"Eradication of Helicobacter pylori infection improves levodopa action, clinical symptoms and quality of life in patients with Parkinson's disease.",PloS one,2014
25280468,Mood disorder as a manifestation of primary hypoparathyroidism: a case report.,Journal of medical case reports,2014
21795468,"The proton pump inhibitor, omeprazole, but not lansoprazole or pantoprazole, is a metabolism-dependent inhibitor of CYP2C19: implications for coadministration with clopidogrel.",Drug metabolism and disposition: the biological fate of chemicals,2011
19608694,In vitro inhibition and induction of human liver cytochrome p450 enzymes by milnacipran.,Drug metabolism and disposition: the biological fate of chemicals,2009
19210493,Clinical trial: the treatment of gastro-oesophageal reflux disease in primary care--prospective randomized comparison of rabeprazole 20 mg with esomeprazole 20 and 40 mg.,Alimentary pharmacology & therapeutics,2009
17317475,Drug adverse events and drop-out risk: a clinical case.,Archives of gerontology and geriatrics,2007
16206100,A randomized trial of triple therapy for pediatric Helicobacter pylori infection and risk factors for treatment failure in a population with a high prevalence of infection.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2005
16104943,"Role of chronic infection and inflammation in the gastrointestinal tract in the etiology and pathogenesis of idiopathic parkinsonism. Part 2: response of facets of clinical idiopathic parkinsonism to Helicobacter pylori eradication. A randomized, double-blind, placebo-controlled efficacy study.",Helicobacter,2005
15478852,Management of acid-related disorders in patients with dysphagia.,The American journal of medicine,2004
12422563,Interaction between lansoprazole and bromocriptine in a patient with Parkinson's disease.,Therapie,2002
12149816,"[Nutritional study in geriatric patients (older than 65 years of age) with ambulatory enteral nutrition: correlation between underlying disease, nutritional support, and drug treatment].",Nutricion hospitalaria,2002
