PMID,Title,Journal,Year
39122141,Subcellular Fractionation and Metaproteogenomic Identification and Validation of Key Differentially Expressed Molecular Targets for Keloid Disease.,The Journal of investigative dermatology,2025
37768317,Drug interaction potential of high-dose rifampicin in patients with pulmonary tuberculosis.,Antimicrobial agents and chemotherapy,2023
36763530,The human proton pump inhibitors inhibit Mycobacterium tuberculosis rifampicin efflux and macrophage-induced rifampicin tolerance.,Proceedings of the National Academy of Sciences of the United States of America,2023
34414773,The effect of CYP2C19 gene polymorphism on the eradication rate of Helicobacter pylori by proton pump inhibitors-containing regimens in Asian populations: a meta-analysis.,Pharmacogenomics,2021
34260011,Mesangiocapillary glomerulonephritis complicating pulmonary tuberculosis.,CEN case reports,2022
33294223,Ion Transport Modulators as Antimycobacterial Agents.,Tuberculosis research and treatment,2020
31718712,Pyloric stenosis as a manifestation of isolated gastric Crohn's disease responding to intralesional steroid injection and balloon dilation: a case report.,Journal of medical case reports,2019
31533885,Association between use of proton pump inhibitors and tuberculosis risk: a systematic review.,The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease,2019
30846003,Crohn's disease in a developing African mission hospital: a case report.,Journal of medical case reports,2019
29327523,Association of Physicians of India: Position Statement on Role of Chirally Pure Molecules in Clinical Practice.,The Journal of the Association of Physicians of India,2017
29161254,Lansoprazole use and tuberculosis incidence in the United Kingdom Clinical Practice Research Datalink: A population based cohort.,PLoS medicine,2017
28207542,Rifampicin-induced disseminated intravascular coagulation in pulmonary tuberculosis treatment: A case report and literature review.,Medicine,2017
27393733,Effect of antituberculosis treatment on CYP2C19 enzyme activity in genetically polymorphic South Indian Tamilian population.,Fundamental & clinical pharmacology,2016
26883707,Longitudinal Analysis of the Effect of Inflammation on Voriconazole Trough Concentrations.,Antimicrobial agents and chemotherapy,2016
26158909,Lansoprazole is an antituberculous prodrug targeting cytochrome bc1.,Nature communications,2015
25624646,"The comparison of extemporaneous preparations of omeprazole, pantoprazole oral suspension and intravenous pantoprazole on the gastric pH of critically ill-patients.","Indian journal of critical care medicine : peer-reviewed, official publication of Indian Society of Critical Care Medicine",2015
30838098,Spinal Tuberculosis Presenting as Abdominal Pain: Rare Presentation of a Common Disease.,Oman medical journal,2014
22515360,Randomized comparison of two non-bismuth-containing second-line rescue therapies for Helicobacter pylori.,Helicobacter,2012
20586518,Proton pump inhibitor-induced neutropenia: possible cross-reactivity between omeprazole and pantoprazole.,Clinical drug investigation,2010
18974931,Tuberculosis in a patient on temozolomide: a case report.,Journal of neuro-oncology,2009
