PMID,Title,Journal,Year
40641202,"A 28-Year-Old Woman with Impending Thyroid Storm, Hyperbilirubinemia, and Total Atrioventricular Block.",Acta medica Indonesiana,2025
40452676,Impact of Losartan on Portal Hypertension and Liver Cirrhosis: A Systematic Review.,Cureus,2025
40338446,Sini Powder Alleviates Stress Response and Suppresses Hepatocellular Carcinoma Development by Restoring Gut Microbiota.,Chinese journal of integrative medicine,2025
39701300,Carvedilol vs. propranolol for the prevention of decompensation and mortality in patients with compensated and decompensated cirrhosis.,Journal of hepatology,2025
39509369,"Hemodynamic effects of carvedilol plus simvastatin in cirrhosis with severe portal hypertension and suboptimal response to beta-blockers: A double-blind, placebo-controlled, randomized trial.","Hepatology (Baltimore, Md.)",2025
38936055,Chronic stress influences the macrophage M1-M2 polarization balance through beta-adrenergic signaling in hepatoma mice.,International immunopharmacology,2024
38577645,Computed tomography for the prediction of oesophageal variceal bleeding: A surrogate or complementary to the gold standard?,World journal of gastrointestinal endoscopy,2024
36983288,Isolated Subclinical Right Ventricle Systolic Dysfunction in Patients after Liver Transplantation.,Journal of clinical medicine,2023
36973219,[Investigate of the etiology and prevention status of liver cirrhosis].,Zhonghua yi xue za zhi,2023
36950496,Evaluating the Practice of Prescribing Beta-blockers in Compensated Cirrhosis by Gastroenterologists in the Asia Pacific Region.,Journal of clinical and experimental hepatology,2023
36897563,Carvedilol as the new non-selective beta-blocker of choice in patients with cirrhosis and portal hypertension.,Liver international : official journal of the International Association for the Study of the Liver,2023
36213672,Systemic exposure to propranolol in patients with chronic liver disease and its correlation with portal blood flow.,Frontiers in medicine,2022
36205102,alpha-Adrenergic blockade prevented environmental temperature reduction-induced transient portal pressure surge in cirrhotic and portal hypertensive rats.,"Clinical science (London, England : 1979)",2022
36174643,Endoscopic diagnosis and management of esophagogastric variceal hemorrhage: European Society of Gastrointestinal Endoscopy (ESGE) Guideline.,Endoscopy,2022
35842118,Carvedilol Achieves Higher Hemodynamic Response and Lower Rebleeding Rates Than Propranolol in Secondary Prophylaxis.,Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,2023
35808889,Acute hemodynamic response to propranolol predicts bleeding and nonbleeding decompensation in patients with cirrhosis.,Hepatology communications,2022
35563600,Chronic Intermittent Hypoxia Exposure Alternative to Exercise Alleviates High-Fat-Diet-Induced Obesity and Fatty Liver.,International journal of molecular sciences,2022
35059714,Carvedilol as secondary prophylaxis for variceal bleeding in hepatosplenic schistosomiasis.,Transactions of the Royal Society of Tropical Medicine and Hygiene,2022
34984921,Developmental alterations of intestinal SGLT1 and GLUT2 induced by early weaning coincides with persistent low-grade metabolic inflammation in female pigs.,American journal of physiology. Gastrointestinal and liver physiology,2022
33994717,Long-term Outcomes with Carvedilol versus Propranolol in Patients with Index Variceal Bleed: 6-year Follow-up Study.,Journal of clinical and experimental hepatology,2021
