PMID,Title,Journal,Year
40683945,Cardiac MRI of differing ischemia and reperfusion times in a myocardial infarction pig model.,Scientific reports,2025
39585422,Effects of drugs on the oxygen dissociation curve-a scoping review.,European journal of clinical pharmacology,2025
38786971,Multiresistant Kawasaki Disease in a Young Infant with Giant Aneurysms Growing Fast.,Journal of cardiovascular development and disease,2024
38408478,Encyclopaedic Review of Glipizide Pre-clinical and Clinical Status.,Drug research,2024
36941965,Unmasking the severity of aortic stenosis by pharmacological elimination of left ventricular outflow tract obstruction: a case report.,European heart journal. Case reports,2023
36874762,Benefit and Preference of Propranolol Over Metoprolol in Thyrotoxicosis-Induced Atrial Fibrillation: A Case Report and Review of Literature.,Cureus,2023
36863975,Impact of Left Ventricular Outflow Tract Obstruction on Coronary Physiological Assessment.,Cardiovascular revascularization medicine : including molecular interventions,2023
36077489,"Propranolol versus Other Selected Drugs in the Treatment of Various Types of Anxiety or Stress, with Particular Reference to Stage Fright and Post-Traumatic Stress Disorder.",International journal of molecular sciences,2022
36018842,Influence of Prunus domestica gum on the release profiles of propranolol HCl floating tablets.,PloS one,2022
34012683,Comparative Analysis on Single- and Multiherb Strategies in Coronary Artery Atherosclerosis Therapy.,Cardiology research and practice,2021
28611684,Protective Role for LPA(3) in Cardiac Hypertrophy Induced by Myocardial Infarction but Not by Isoproterenol.,Frontiers in physiology,2017
28484122,Effects of Propranolol and Verapamil on Changes in TQ and ST Segment Potentials During Graded Coronary Flow Reduction in a Porcine Myocardial Ischemia Model.,International heart journal,2017
27234442,A male infant had subdural effusion and paroxysmal supraventricular tachycardia during the febrile episode of Kawasaki disease: a case report and literature review.,BMC pediatrics,2016
27122936,Acute Beta Blockade at Peak Stress: Will It Alter the Sensitivity of Dobutamine Stress Echocardiography in Patients with Normal Resting Wall Motion?,Acta Cardiologica Sinica,2016
26392269,A Study of the Relaxed Mechanisms Induced by Novokinin in the Isolated Porcine Coronary Artery Ring Segments.,Protein and peptide letters,2015
25405380,Cardioprotective effects of tilianin in rat myocardial ischemia-reperfusion injury.,Molecular medicine reports,2015
25239806,beta-Adrenergic receptor blockade impairs coronary exercise hyperemia in young men but not older men.,American journal of physiology. Heart and circulatory physiology,2014
24664351,"Increased depression, diabetes and diabetic complications in Graves' disease patients in Asia.",QJM : monthly journal of the Association of Physicians,2014
24634807,A comparison of bolus injection of landiolol versus oral administration of propranolol before cardiac computed tomography.,SpringerPlus,2014
24364277,[Effect of propranolol on dialysate myoglobin levels evoked by ischemia/reperfusion].,Masui. The Japanese journal of anesthesiology,2013
