PMID,Title,Journal,Year
39900470,Liver Transplantation for Children With Budd-Chiari Syndrome: A Case Report From Vietnam and Literature Review.,Pediatric transplantation,2025
38965381,Increased risks of retinal vascular occlusion in patients with migraine and the protective effects of migraine treatment: a population-based retrospective cohort study.,Scientific reports,2024
38798860,Management of non-cirrhotic variceal bleeding in pregnant women with Budd-Chiari syndrome in the early second trimester: A case report.,Narra J,2024
38733693,Neutrophil extracellular traps formation may be involved in the association of propranolol with the development of portal vein thrombosis.,Thrombosis research,2024
36215953,"Extrahepatic Portal Vein Thrombosis in Childhood: Risk Factors, Clinical Manifestations, and Management.","Medical principles and practice : international journal of the Kuwait University, Health Science Centre",2022
34704840,Early Propranolol Is Associated With Lower Risk of Venous Thromboembolism After Traumatic Brain Injury.,The American surgeon,2021
34104911,Clinical course of pediatric large vascular anomalies located in the extremities.,Turkish archives of pediatrics,2021
33548988,A case report of an infant after episodes of paroxysmal supraventricular tachycardia with left ventricular thrombosis and cerebral infarction.,Annals of palliative medicine,2021
32580978,Hepatic venous pressure gradient-guided laparoscopic splenectomy and pericardial devascularisation versus endoscopic therapy for secondary prophylaxis for variceal rebleeding in portal hypertension (CHESS1803): study protocol of a multicenter randomised controlled trial in China.,BMJ open,2020
32373342,Caput medusae sign; a unique finding during abdominal examination in patients with portal hypertension; case report.,Annals of medicine and surgery (2012),2020
32145820,"A 62-Year-Old Woman With Diffuse Myalgias, Fatigue, and Shortness of Breath.",Chest,2020
31270166,Role of portal venous platelet activation in patients with decompensated cirrhosis and TIPS.,Gut,2020
31175581,Nonselective beta-blockers and development of portal vein thrombosis in liver cirrhosis: a systematic review and meta-analysis.,Hepatology international,2019
30909165,Double trouble: two cases of dual adrenal pathologies in one adrenal mass.,"Endocrinology, diabetes & metabolism case reports",2019
30632442,Multifocal gastrointestinal varices: a rare manifestation of immunoglobulin G4-related disease.,Postgraduate medicine,2019
29866676,Cerebral venous sinus thrombosis precipitated by Graves' disease.,BMJ case reports,2018
28970291,Covered TIPS versus endoscopic band ligation plus propranolol for the prevention of variceal rebleeding in cirrhotic patients with portal vein thrombosis: a randomised controlled trial.,Gut,2018
25546337,Extrahepatic portal vein obstruction in Egyptian children.,Journal of pediatric gastroenterology and nutrition,2015
25320239,How I treat splanchnic vein thrombosis.,Blood,2014
25170238,Nonselective beta-blockers may induce development of portal vein thrombosis in cirrhosis.,World journal of gastroenterology,2014
