PMID,Title,Journal,Year
40510866,"Atenolol, alone or in combination with PTH, has a modest effect on bone in female C57BL/6J mice.",JBMR plus,2025
40322617,Bone mechanical loading reduces heart rate and increases heart rate variability in mice.,Bone reports,2025
39673185,Pharmacogenetic and microRNA mechanisms of beta blocker use on bone.,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,2025
36634316,Graves' Disease in Children Presenting With Fragility Fracture: A Case Report.,Alternative therapies in health and medicine,2023
36187089,Myeloid cell-derived catecholamines influence bone turnover and regeneration in mice.,Frontiers in endocrinology,2022
35687767,Non-diabetic ketoacidosis secondary to primary hyperthyroidism: A case report.,Medicine,2022
35122666,Propranolol Promotes Bone Formation and Limits Resorption Through Novel Mechanisms During Anabolic Parathyroid Hormone Treatment in Female C57BL/6J Mice.,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,2022
30643142,Prostaglandin E2 mediates sensory nerve regulation of bone homeostasis.,Nature communications,2019
30153111,Sympathetic beta1-adrenergic signaling contributes to regulation of human bone metabolism.,The Journal of clinical investigation,2018
29623209,Concurrent primary hyperparathyroidism and pheochromocytoma in a Chinese lady with neurofibromatosis type 1.,"Endocrinology, diabetes & metabolism case reports",2018
29316579,[Management of compensated liver cirrhosis 2018 - Evidence based prophylactic measures].,Zeitschrift fur Gastroenterologie,2018
28406442,Liposomal Encapsulation for Systemic Delivery of Propranolol via Transdermal Iontophoresis Improves Bone Microarchitecture in Ovariectomized Rats.,International journal of molecular sciences,2017
25582996,Additive effects of zoledronic acid and propranolol on bone density and biochemical markers of bone turnover in osteopenic ovariectomized rats.,Revista brasileira de reumatologia,2015
25491117,Inner Ear Vestibular Signals Regulate Bone Remodeling via the Sympathetic Nervous System.,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,2015
25480532,Effect of combined treatment with zoledronic acid and propranolol on mechanical strength in an rat model of disuse osteoporosis.,Revista brasileira de reumatologia,2015
24959400,Prophylactic Effects of Propranolol versus the Standard Therapy on a New Model of Disuse Osteoporosis in Rats.,Scientia pharmaceutica,2014
24800099,The combination therapy with zoledronic Acid and propranolol improves the trabecular microarchitecture and mechanical property in an rat model of postmenopausal osteoporosis.,Journal of osteoporosis,2014
24250662,Propranolol Prevents Osteoporosis and up-regulates Leptin in Ovariectomized Rats.,Iranian journal of pharmaceutical research : IJPR,2013
23960439,The effects of antihypertensive drugs on bone mineral density in ovariectomized mice.,Journal of Korean medical science,2013
23835529,Osteoprotective effect of propranolol in ovariectomized rats: a comparison with zoledronic acid and alfacalcidol.,Journal of orthopaedic science : official journal of the Japanese Orthopaedic Association,2013
