PMID,Title,Journal,Year
34664888,Premature atrial contractions with multiple patterns of aberrant conduction followed by torsade de pointes in a patient with polymyalgia rheumatica: A case report.,Medicine,2021
32865101,Anti-Inflammatory and Antiarrhythmic Effects of Beta Blocker in a Rat Model of Rheumatoid Arthritis.,Journal of the American Heart Association,2020
31404889,Cholinergic system is involved in the therapeutic effect of madecassoside on collagen-induced arthritis in rats.,International immunopharmacology,2019
30096386,Co-administration with simvastatin or lovastatin alters the pharmacokinetic profile of sinomenine in rats through cytochrome P450-mediated pathways.,Life sciences,2018
25748962,Ankylosing spondylitis associated with pulmonary arterial hypertension.,"Internal medicine (Tokyo, Japan)",2015
22867272,Alteration in plasma protein binding properties of propranolol and flurbiprofen during development of adjuvant-induced arthritis in rats.,Xenobiotica; the fate of foreign compounds in biological systems,2013
22483552,Cardioprotective effect of total paeony glycosides against isoprenaline-induced myocardial ischemia in rats.,Phytomedicine : international journal of phytotherapy and phytopharmacology,2012
22395595,Adrenergic urticaria and rheumatoid arthritis in a patient with melanoma: an intricate medical management.,Journal of drugs in dermatology : JDD,2012
20360628,Strong antioxidant activity of carane derivatives.,Pharmacological reports : PR,2010
20201625,Coexistence of adult-onset Still's disease and autoimmune hyperthyroidism in a patient who responded to corticosteroids and beta-blocker.,Immunopharmacology and immunotoxicology,2010
20067708,Norepinephrine transporter is involved in down-regulation of beta1-adrenergic receptors caused by adjuvant arthritis.,"Journal of pharmacy & pharmaceutical sciences : a publication of the Canadian Society for Pharmaceutical Sciences, Societe canadienne des sciences pharmaceutiques",2009
21901066,Cardiovascular pharmacology of sinomenine: the mechanical and electropharmacological actions.,Drug target insights,2007
2116582,Economic assessments in randomized controlled trials.,The Medical journal of Australia,1990
6091700,Cyclic nucleotides and calcium transport in cultured dermal fibroblasts from progressive systemic sclerosis and rheumatoid arthritis patients.,Arthritis and rheumatism,1984
6833493,Transport of propranolol and lidocaine through the rat blood-brain barrier. Primary role of globulin-bound drug.,The Journal of clinical investigation,1983
7116736,beta-blocker plasma concentrations and inflammatory disease: clinical implications.,Clinical pharmacokinetics,1982
7066175,Intravenous propranolol in patients with inflammation.,British journal of clinical pharmacology,1982
6125395,"Binding of beta-adrenoceptor blocking drugs to human serum albumin, to alpha 1-acid glycoprotein and to human serum.",European journal of clinical pharmacology,1982
7221787,Immunological assessment of patients with rheumatoid arthritis--evaluation of the effects of propranolol.,South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde,1981
7362673,Propranolol and the treatment of rheumatoid arthritis.,Arthritis and rheumatism,1980
