pmid,title,journal,year,drug,disease
40613938,Inotropic effects of retatrutide in isolated human atrial preparations.,Naunyn-Schmiedeberg's archives of pharmacology,2025,Propranolol,Type 2 Diabetes
39158368,"Analytical Methodologies to Detect N-Nitrosamine Impurities in Active Pharmaceutical Ingredients, Drug Products and Other Matrices.",Chemical research in toxicology,2024,Propranolol,Type 2 Diabetes
38408478,Encyclopaedic Review of Glipizide Pre-clinical and Clinical Status.,Drug research,2024,Propranolol,Type 2 Diabetes
36467010,Escitalopram-induced akathisia in a patient with major depressive disorder: A rare case report.,SAGE open medical case reports,2022,Propranolol,Type 2 Diabetes
36143915,"Antidiabetics, Anthelmintics, Statins, and Beta-Blockers as Co-Adjuvant Drugs in Cancer Therapy.","Medicina (Kaunas, Lithuania)",2022,Propranolol,Type 2 Diabetes
35130796,Immunomodulatory properties of antihypertensive drugs and digitalis glycosides.,Expert review of cardiovascular therapy,2022,Propranolol,Type 2 Diabetes
33621517,Sphingomyelin synthase-related protein generates diacylglycerol via the hydrolysis of glycerophospholipids in the absence of ceramide.,The Journal of biological chemistry,2021,Propranolol,Type 2 Diabetes
33237184,The effect of Roux-en-Y gastric bypass in the treatment of hypertension and diabetes.,Revista do Colegio Brasileiro de Cirurgioes,2020,Propranolol,Type 2 Diabetes
33047257,Effectiveness of chlorthalidone/amiloride versus losartan in patients with stage I hypertension and diabetes mellitus: results from the PREVER-treatment randomized controlled trial.,Acta diabetologica,2021,Propranolol,Type 2 Diabetes
32449885,The Effect of Liraglutide on beta-Blockade for Preventing Variceal Bleeding: A Case Series.,Annals of internal medicine,2020,Propranolol,Type 2 Diabetes
32126242,Memory improvement by modafinil at cost of metabolic hazards? A study to decipher the benefits and risks of modafinil in rats.,Neurotoxicology,2020,Propranolol,Type 2 Diabetes
31898375,Central nesfatin-1 activates lipid mobilization in adipose tissue and fatty acid oxidation in muscle via the sympathetic nervous system.,"BioFactors (Oxford, England)",2020,Propranolol,Type 2 Diabetes
31625779,Increased arrhythmia susceptibility in type 2 diabetic mice related to dysregulation of ventricular sympathetic innervation.,American journal of physiology. Heart and circulatory physiology,2019,Propranolol,Type 2 Diabetes
31173327,Propranolol regulates ERK1/2 signaling pathway and promotes chronic wound healing in diabetic rats.,European review for medical and pharmacological sciences,2019,Propranolol,Type 2 Diabetes
28689816,A novel role for dopamine signaling in the pathogenesis of bone loss from the atypical antipsychotic drug risperidone in female mice.,Bone,2017,Propranolol,Type 2 Diabetes
29939000,Inotropic and chronotropic effects of propranolol in isolated atrium of rats with fructose-induced insulin-resistance.,Investigacion clinica,2017,Propranolol,Type 2 Diabetes
26459134,Melanocortin agonists stimulate lipolysis in human adipose tissue explants but not in adipocytes.,BMC research notes,2015,Propranolol,Type 2 Diabetes
26404650,Role of the autonomic nervous system in activation of human brown adipose tissue: A review of the literature.,Diabetes & metabolism,2015,Propranolol,Type 2 Diabetes
25675997,Central Nervous System Regulation of Intestinal Lipoprotein Metabolism by Glucagon-Like Peptide-1 via a Brain-Gut Axis.,"Arteriosclerosis, thrombosis, and vascular biology",2015,Propranolol,Type 2 Diabetes
25092686,Glucose counterregulation in advanced type 2 diabetes: effect of beta-adrenergic blockade.,Diabetes care,2014,Propranolol,Type 2 Diabetes
24891937,The quality control theory of aging.,Pathobiology of aging & age related diseases,2014,Propranolol,Type 2 Diabetes
23837045,Association of serum angiopoietin-like protein 2 and epinephrine levels in metabolically healthy but obese individuals: In vitro and in vivo evidence.,Experimental and therapeutic medicine,2013,Propranolol,Type 2 Diabetes
23080264,Targeting presynaptic norepinephrine transporter in brown adipose tissue: a novel imaging approach and potential treatment for diabetes and obesity.,"Synapse (New York, N.Y.)",2013,Propranolol,Type 2 Diabetes
