pmid,title,journal,year,drug,disease
39926579,Co-Infection with Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-COV-2) and Human Coronavirus HKU1 (HCoV-HKU1).,European journal of case reports in internal medicine,2025,Remdesivir,Atrial Fibrillation
38002603,New-Onset Atrial Fibrillation in the Critically Ill COVID-19 Patients Hospitalized in the Intensive Care Unit.,Journal of clinical medicine,2023,Remdesivir,Atrial Fibrillation
36755799,COVID-19 and atrial fibrillation: Intercepting lines.,Frontiers in cardiovascular medicine,2023,Remdesivir,Atrial Fibrillation
36721575,A Case Report and Literature Review of New-Onset Myasthenia Gravis After COVID-19 Infection.,Cureus,2022,Remdesivir,Atrial Fibrillation
36411095,Post-COVID Subacute Thyroiditis and Bronchiolitis in a Lung Transplant Recipient: A Case Report.,Transplantation proceedings,2022,Remdesivir,Atrial Fibrillation
35577624,"Atrial fibrillation in COVID-19 patients receiving remdesivir, matched case-control analysis.",The American journal of emergency medicine,2022,Remdesivir,Atrial Fibrillation
35566664,Prognostic Value of 12-Leads Electrocardiogram at Emergency Department in Hospitalized Patients with Coronavirus Disease-19.,Journal of clinical medicine,2022,Remdesivir,Atrial Fibrillation
35530910,New-Onset Atrial Fibrillation in COVID-19 Infection: A Case Report and Review of Literature.,Cureus,2022,Remdesivir,Atrial Fibrillation
35386046,Serious Cardiovascular Adverse Events Associated with Hydroxychloroquine/Chloroquine Alone or with Azithromycin in Patients with COVID-19: A Pharmacovigilance Analysis of the FDA Adverse Event Reporting System (FAERS).,Drugs - real world outcomes,2022,Remdesivir,Atrial Fibrillation
35172183,SARS-CoV-2 attacks the weakest point - COVID-19 course in a pediatric patient with Friedreich's ataxia.,International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,2022,Remdesivir,Atrial Fibrillation
35145555,Dabigatran in patients with atrial fibrillation after COVID-19 hospitalization: an update of the ANIBAL protocol.,Drugs in context,2022,Remdesivir,Atrial Fibrillation
35087712,Antiviral and anti-inflammatory drugs to combat COVID-19: Effects on cardiac ion channels and risk of ventricular arrhythmias.,BioImpacts : BI,2022,Remdesivir,Atrial Fibrillation
34643857,Potential Cardiotoxic Effects of Remdesivir on Cardiovascular System: A Literature Review.,Cardiovascular toxicology,2022,Remdesivir,Atrial Fibrillation
34222786,Complete heart block associated with Remdesivir in COVID-19: a case report.,European heart journal. Case reports,2021,Remdesivir,Atrial Fibrillation
33950951,A case report of COVID-19 in refractory myasthenia: Outcome with remdesivir and dexamethasone.,Medicine,2021,Remdesivir,Atrial Fibrillation
37426841,Remdesivir-Warfarin Interaction: A Case Report.,HCA healthcare journal of medicine,2020,Remdesivir,Atrial Fibrillation
32352535,"COVID-19 and the cardiovascular system: implications for risk assessment, diagnosis, and treatment options.",Cardiovascular research,2020,Remdesivir,Atrial Fibrillation
