pmid,title,journal,year,drug,disease
40933128,Isolation of a SARS-CoV-2 strain from pediatric patients in South Korea: biologic and genetic characterization.,Frontiers in microbiology,2025,Remdesivir,COVID-19
40931314,Cardiovascular Safety of COVID-19 Treatments: A Disproportionality Analysis of Adverse Event Reports from the WHO VigiBase.,Infectious diseases and therapy,2025,Remdesivir,COVID-19
40930215,Risk Factors for Persisting SARS-CoV-2 Infection in Patients with B-Cell Malignancies in the Omicron Era: A Multicenter Cohort Study.,International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,2025,Remdesivir,COVID-19
40913022,Development of GFP-expressing infectious clones for PRRSV using TAR cloning for antiviral drug screening.,Npj viruses,2025,Remdesivir,COVID-19
40911422,"Activity of sotrovimab in early clearance of SARS CoV-2 infection in severe immunocompromised patients: results of a prospective, monocentric study.","Infectious diseases (London, England)",2025,Remdesivir,COVID-19
40900943,Mechanism and spectrum of inhibition of viral polymerases by 2'-deoxy-2'-beta-fluoro-4'-azidocytidine or azvudine.,NAR molecular medicine,2025,Remdesivir,COVID-19
40898492,Bilateral globus pallidus lesions associated with COVID-19: Mimicking acute carbon monoxide poisoning.,Medicine,2025,Remdesivir,COVID-19
40896071,"Late Administration of Remdesivir, Guided by Antigen Test Results, in a Patient Experiencing Difficulty Weaning From the Ventilator Due to Severe COVID-19 Pneumonia.",Cureus,2025,Remdesivir,COVID-19
40886888,Efficacy of oral antivirals and combination therapy with remdesivir in hematological patients with COVID-19.,Journal of infection and chemotherapy : official journal of the Japan Society of Chemotherapy,2025,Remdesivir,COVID-19
40867841,Selective Inhibition of Vascular Smooth Muscle Cell Function by COVID-19 Antiviral Drugs: Impact of Heme Oxygenase-1.,"Antioxidants (Basel, Switzerland)",2025,Remdesivir,COVID-19
40885288,Characterization of remdesivir resistance mutations in COVID-19 patients with various immunosuppressive diseases.,Antiviral research,2025,Remdesivir,COVID-19
40872842,Pharmacological and Adjunctive Management of Non-Hospitalized COVID-19 Patients During the Omicron Era: A Systematic Review and Meta-Analysis.,Viruses,2025,Remdesivir,COVID-19
40872778,SARS-CoV-2 Infection and Antiviral Strategies: Advances and Limitations.,Viruses,2025,Remdesivir,COVID-19
40872770,SARS-CoV-2 Remdesivir Exposure Leads to Different Evolutionary Pathways That Converge in Moderate Levels of Drug Resistance.,Viruses,2025,Remdesivir,COVID-19
40872330,Antiviral Activity of Medicinal Plant Extracts Vitex negundo and Macaranga tanarius Against SARS-CoV-2.,"Pathogens (Basel, Switzerland)",2025,Remdesivir,COVID-19
40865231,Inhibiting viral entry of bat-derived coronavirus HKU5-CoV-2: Targeting spike protein S1 subunit with FDA-approved antivirals-A structural dynamics and energetics study.,Bioorganic chemistry,2025,Remdesivir,COVID-19
40858480,Re-engineering a machine learning phenotype to adapt to the changing COVID-19 landscape: a machine learning modelling study from the N3C and RECOVER consortia.,The Lancet. Digital health,2025,Remdesivir,COVID-19
40846756,In silico screening and experimental validation identify riboflavin as an RNA-targeted antiviral against SARS-CoV-2.,Scientific reports,2025,Remdesivir,COVID-19
40842025,"Selective six spectrophotometric methods for determination of remdesivir and moxifloxacin hydrochloride for COVID-19 treatment with overlapping spectra: a comprehensive evaluation of greenness, blueness, and whiteness.",BMC chemistry,2025,Remdesivir,COVID-19
40841899,Efficacy and safety of 3CL protease inhibitors in patients with mild or moderate COVID-19: a systematic review and meta-analysis of randomized controlled trials.,Virology journal,2025,Remdesivir,COVID-19
40844222,Role of remdesivir for the treatment of COVID-19 in patients with hematologic malignancy-A narrative review and expert opinion.,European journal of clinical investigation,2025,Remdesivir,COVID-19
