pmid,title,journal,year,drug,disease
39774938,Enhanced D614G and Omicron Variants Antibody Persistence in Infants at 2 Months of Age Following Maternal mRNA Booster Vaccination During Pregnancy or Postpartum.,The Pediatric infectious disease journal,2024,Remdesivir,HIV AIDS
38471990,Mitoquinone mesylate as post-exposure prophylaxis against SARS-CoV-2 infection in humans: an exploratory single center pragmatic open label non-randomized pilot clinical trial with matched controls.,EBioMedicine,2024,Remdesivir,HIV AIDS
37760757,Sequential or Combination Treatments as Rescue Therapies in Immunocompromised Patients with Persistent SARS-CoV-2 Infection in the Omicron Era: A Case Series.,"Antibiotics (Basel, Switzerland)",2023,Remdesivir,HIV AIDS
37451878,COVID-19 booster vaccination during pregnancy enhances maternal binding and neutralizing antibody responses and transplacental antibody transfer to the newborn.,Vaccine,2023,Remdesivir,HIV AIDS
37341553,SARS-CoV-2 intrahost evolution in immunocompromised patients in comparison with immunocompetent populations after treatment.,Journal of medical virology,2023,Remdesivir,HIV AIDS
36426353,Translating the observed differences in interleukin-6 levels between some antiretroviral regimens into potential long-term risk of serious non-AIDS events: A modeling study.,Frontiers in immunology,2022,Remdesivir,HIV AIDS
36165855,Recent Drug Development and Medicinal Chemistry Approaches for the Treatment of SARS-CoV-2 Infection and COVID-19.,ChemMedChem,2022,Remdesivir,HIV AIDS
35838880,Modeling the Potential Impact of Remdesivir Treatment for Hospitalized Patients with COVID-19 in Saudi Arabia on Healthcare Resource Use and Direct Hospital Costs: A Hypothetical Study.,Clinical drug investigation,2022,Remdesivir,HIV AIDS
35785294,Efficacious Preclinical Repurposing of the Nucleoside Analogue Didanosine against COVID-19 Polymerase and Exonuclease.,ACS omega,2022,Remdesivir,HIV AIDS
35777878,Systematic review of spontaneous reports of myocarditis and pericarditis in transplant recipients and immunocompromised patients following COVID-19 mRNA vaccination.,BMJ open,2022,Remdesivir,HIV AIDS
35386177,Different Course of SARS-CoV-2 Infection in Two Adolescents With Other Immunosuppressive Factors.,Cureus,2022,Remdesivir,HIV AIDS
35073629,Oral antivirals for the prevention and treatment of SARS-CoV-2 infection.,AIDS reviews,2022,Remdesivir,HIV AIDS
34859557,Retrospective evaluation of an observational cohort by the Central and Eastern Europe Network Group shows a high frequency of potential drug-drug interactions among HIV-positive patients receiving treatment for coronavirus disease 2019 (COVID-19).,HIV medicine,2022,Remdesivir,HIV AIDS
34641337,Chloropyridinyl Esters of Nonsteroidal Anti-Inflammatory Agents and Related Derivatives as Potent SARS-CoV-2 3CL Protease Inhibitors.,"Molecules (Basel, Switzerland)",2021,Remdesivir,HIV AIDS
34528437,"Indole Chloropyridinyl Ester-Derived SARS-CoV-2 3CLpro Inhibitors: Enzyme Inhibition, Antiviral Efficacy, Structure-Activity Relationship, and X-ray Structural Studies.",Journal of medicinal chemistry,2021,Remdesivir,HIV AIDS
34391783,Novel quinolone derivatives targeting human dihydroorotate dehydrogenase suppress Ebola virus infection in vitro.,Antiviral research,2021,Remdesivir,HIV AIDS
34313204,Current Treatments and Therapeutic Options for COVID-19 Patients: A Systematic Review.,Infectious disorders drug targets,2022,Remdesivir,HIV AIDS
33921724,Phytochemicals from Plant Foods as Potential Source of Antiviral Agents: An Overview.,"Pharmaceuticals (Basel, Switzerland)",2021,Remdesivir,HIV AIDS
33833585,SARS-CoV-2 and Human Immunodeficiency Virus: Pathogen Pincer Attack.,"HIV/AIDS (Auckland, N.Z.)",2021,Remdesivir,HIV AIDS
33660020,Repositioning HIV protease inhibitors and nucleos(t)ide RNA polymerase inhibitors for the treatment of SARS-CoV-2 infection and COVID-19.,European journal of clinical pharmacology,2021,Remdesivir,HIV AIDS
33510133,A small molecule compound with an indole moiety inhibits the main protease of SARS-CoV-2 and blocks virus replication.,Nature communications,2021,Remdesivir,HIV AIDS
33264556,Repurposed Antiviral Drugs for Covid-19 - Interim WHO Solidarity Trial Results.,The New England journal of medicine,2021,Remdesivir,HIV AIDS
33261845,Computational drug discovery and repurposing for the treatment of COVID-19: A systematic review.,Bioorganic chemistry,2021,Remdesivir,HIV AIDS
33002954,Treatment of coronavirus disease 2019.,Current opinion in HIV and AIDS,2020,Remdesivir,HIV AIDS
32820005,"GRL-0920, an Indole Chloropyridinyl Ester, Completely Blocks SARS-CoV-2 Infection.",mBio,2020,Remdesivir,HIV AIDS
32657527,"SARS-CoV-2 and HIV coinfection: clinical experience from Rhode Island, United States.",Journal of the International AIDS Society,2020,Remdesivir,HIV AIDS
32412509,COVID-19 Comes 40 Years After AIDS - Any Lesson?,AIDS reviews,2020,Remdesivir,HIV AIDS
32394344,COVID-19 in people living with human immunodeficiency virus: a case series of 33 patients.,Infection,2020,Remdesivir,HIV AIDS
