pmid,title,journal,year,drug,disease
40780021,Impact of Remdesivir on long-term outcomes in lung transplant recipients with SARS-CoV-2 infection: a retrospective cohort analysis.,Respiratory medicine and research,2025,Remdesivir,Hypertension
40621321,"Guillain-Barre Syndrome Associated With COVID-19 Infection: A Case Report and Review of Pathophysiology, Risk Factors, and Management.",Cureus,2025,Remdesivir,Hypertension
40418432,"Ocular microvascular changes in COVID-19: role of hypoxia, D-dimer, IL-6 and systemic treatment.",Pharmacological reports : PR,2025,Remdesivir,Hypertension
39475780,A case of severe Covid-19 infection as the first manifestation of Cushing's disease.,"Endocrinology, diabetes & metabolism case reports",2024,Remdesivir,Hypertension
39299658,Improving Hospital Palliative Care Between COVID-19 Waves: A Retrospective Cohort Study.,Journal of pain and symptom management,2025,Remdesivir,Hypertension
38875257,Association of renal function with mortality among hospitalized patients treated with remdesivir for COVID-19.,PloS one,2024,Remdesivir,Hypertension
38847376,Hypertensive Crisis Associated with Serotonin Syndrome Following Linezolid Administration: Report of Two Cases.,Current drug safety,2025,Remdesivir,Hypertension
38770366,Remdesivir versus Favipiravir in Hospitalized Patients with Moderate to Severe COVID-19 Pneumonia: A Propensity Score-Matched Retrospective Cohort Study.,International journal of general medicine,2024,Remdesivir,Hypertension
38745298,Effects of pulmonary rehabilitation on functional and psychological parameters in post-acute sequelae of SARS-CoV-2 infection (PASC) patients.,BMC pulmonary medicine,2024,Remdesivir,Hypertension
38637727,"The predictive power of data: machine learning analysis for Covid-19 mortality based on personal, clinical, preclinical, and laboratory variables in a case-control study.",BMC infectious diseases,2024,Remdesivir,Hypertension
38545451,Nirmatrelvir/ritonavir and remdesivir against symptomatic treatment in high-risk COVID-19 outpatients to prevent hospitalization or death during the Omicron era: a propensity score-matched study.,Therapeutic advances in infectious disease,2024,Remdesivir,Hypertension
38464928,Acute pancreatitis as a complication of acute COVID-19 in kidney transplant recipients.,World journal of clinical cases,2024,Remdesivir,Hypertension
38443438,Comparable outcomes of outpatient remdesivir and sotrovimab among high-risk patients with mild to moderate COVID-19 during the omicron BA.1 surge.,Scientific reports,2024,Remdesivir,Hypertension
38367932,Ensitrelvir in patients with SARS-CoV-2: A retrospective chart review.,Journal of infection and chemotherapy : official journal of the Japan Society of Chemotherapy,2024,Remdesivir,Hypertension
38190753,Case Report: Cryptococcal Meningitis in a Previously Immunocompetent Patient with Coronavirus Disease 2019.,The American journal of tropical medicine and hygiene,2024,Remdesivir,Hypertension
38176902,Home Oxygen After Hospitalization for COVID-19: Results From the Multi-Center OXFORD Study.,Respiratory care,2024,Remdesivir,Hypertension
38113020,Is antiviral treatment at the acute phase of COVID-19 effective for decreasing the risk of long-COVID? A systematic review.,Infection,2024,Remdesivir,Hypertension
37819890,Incidence of acute kidney injury (AKI) and outcomes in COVID-19 patients with and without antiviral medications: A retrospective study.,PloS one,2023,Remdesivir,Hypertension
37542399,"Predictors of Mortality among COVID-19 Patients Admitted to Intensive Care Units: A Single-Center Study in Tehran, Iran.",Archives of Iranian medicine,2022,Remdesivir,Hypertension
37449685,Greater COVID-19 Severity and Mortality in Hospitalized Patients in the Delta-phase Compared to the Others: A Single Center Prospective Registry.,The Journal of the Association of Physicians of India,2023,Remdesivir,Hypertension
37359005,Invasive fungal disease in COVID-19 patients: a single-center prospective observational study.,Frontiers in medicine,2023,Remdesivir,Hypertension
37354509,COVID-19: Clinical Course and Outcome of hospitalized Hemodialysis Patients: Single-center Experience.,The Journal of the Association of Physicians of India,2023,Remdesivir,Hypertension
37228805,Clinical outcomes of COVID-19 treated with remdesivir across the continuum of care.,Influenza and other respiratory viruses,2023,Remdesivir,Hypertension
37016892,Clinical significance of antinuclear antibody positivity in patients with severe coronavirus disease 2019.,The Korean journal of internal medicine,2023,Remdesivir,Hypertension
36993006,Profile and outcome of COVID-19 patients treated at a secondary hospital in Central India during the second wave of the pandemic.,Journal of family medicine and primary care,2022,Remdesivir,Hypertension
36960252,"Clinical Profile of COVID-19 Patients Admitted at a Private Hospital During Three Surges in Mandalay, Myanmar.",Cureus,2023,Remdesivir,Hypertension
36950448,Liver and Renal Injury with Remdesivir Treatment in SARS-CoV-2 Patients.,Pakistan journal of medical sciences,2023,Remdesivir,Hypertension
36890074,Endogenous Fungal Endophthalmitis following COVID-19 Hospitalization: Evidence from a Year-Long Observational Study.,Journal francais d'ophtalmologie,2023,Remdesivir,Hypertension
36851998,Risk of Underlying Diseases and Effectiveness of Drugs on COVID-19 Inpatients Assessed Using Medical Claims in Japan: Retrospective Observational Study.,International journal of general medicine,2023,Remdesivir,Hypertension
36837462,Comparison of Different Antiviral Regimens in the Treatment of Patients with Severe COVID-19: A Retrospective Cohort.,"Medicina (Kaunas, Lithuania)",2023,Remdesivir,Hypertension
36817161,Incidence and potential risk factors for remdesivir-associated bradycardia in hospitalized patients with COVID-19: A retrospective cohort study.,Frontiers in pharmacology,2023,Remdesivir,Hypertension
36776761,Effectiveness of Favipiravir monotherapy in the treatment of COVID-19: real world data analysis from Thailand.,The Lancet regional health. Southeast Asia,2023,Remdesivir,Hypertension
36733376,Remdesivir associated sinus bradycardia in patients with COVID-19: A prospective longitudinal study.,Frontiers in pharmacology,2022,Remdesivir,Hypertension
36728726,Remdesivir Use in Pediatric Patients for SARS-CoV-2 Treatment: Single Academic Center Study.,The Pediatric infectious disease journal,2023,Remdesivir,Hypertension
36715684,International multicenter study comparing COVID-19 in patients with cancer to patients without cancer: Impact of risk factors and treatment modalities on survivorship.,eLife,2023,Remdesivir,Hypertension
36633703,Left atrial strain is associated with distinct inflammatory and immune profile in patients with COVID-19 pneumonia.,The ultrasound journal,2023,Remdesivir,Hypertension
36568606,Clinical Course and Outcomes of COVID-19 in Kidney Transplant Recipients.,Indian journal of nephrology,2022,Remdesivir,Hypertension
36465748,Permanent Pacemaker Placement Secondary to Remdesivir Induced Bradycardia: A Case Report.,Cureus,2022,Remdesivir,Hypertension
36441785,Tuberculosis in individuals who recovered from COVID-19: A systematic review of case reports.,PloS one,2022,Remdesivir,Hypertension
36411832,Antiviral use in liver function abnormalities and Covid-19 patients: Serial cases.,Annals of medicine and surgery (2012),2022,Remdesivir,Hypertension
36411095,Post-COVID Subacute Thyroiditis and Bronchiolitis in a Lung Transplant Recipient: A Case Report.,Transplantation proceedings,2022,Remdesivir,Hypertension
36408470,Successful Management of Coronavirus Disease 2019-Related Respiratory Failure Using High-Flow Nasal Cannula Therapy in a Patient with Underlying Pulmonary Artery Hypertension.,Case reports in pulmonology,2022,Remdesivir,Hypertension
36387660,Adverse events following remdesivir administration in moderately ill COVID-19 patients - A retrospective analysis.,Journal of family medicine and primary care,2022,Remdesivir,Hypertension
36381999,Long-term kidney function recovery and mortality after COVID-19-associated acute kidney injury: An international multi-centre observational cohort study.,EClinicalMedicine,2023,Remdesivir,Hypertension
36320364,Comparison of safety and outcomes related to remdesivir treatment among dialysis patients hospitalized with COVID-19.,Clinical kidney journal,2022,Remdesivir,Hypertension
36296225,Greek Remdesivir Cohort (GREC) Study: Effectiveness of Antiviral Drug Remdesivir in Hospitalized Patients with COVID-19 Pneumonia.,Microorganisms,2022,Remdesivir,Hypertension
36294917,The Cumulative Detrimental Effect of COVID-19 Pneumonia in a Patient with Myasthenic Crisis: A Case Report and Overview of the Literature.,"Life (Basel, Switzerland)",2022,Remdesivir,Hypertension
36294815,COVID-19 Infection in Chronic Kidney Disease Patients in Bulgaria: Risk Factors for Death and Acute Kidney Injury.,Journal of personalized medicine,2022,Remdesivir,Hypertension
36171121,Persistent SARS-CoV-2 Infection in a Patient with Nephrotic Syndrome under Rituximab Therapy: Successful Treatment with a Combination of Remdesivir and Monoclonal Antibodies.,"Internal medicine (Tokyo, Japan)",2022,Remdesivir,Hypertension
36106228,Bilateral Recurrent Laryngeal Nerve Paralysis Manifesting as Long COVID.,Cureus,2022,Remdesivir,Hypertension
