pmid,title,journal,year,drug,disease
36976301,Triple Combination Therapy With 2 Antivirals and Monoclonal Antibodies for Persistent or Relapsed Severe Acute Respiratory Syndrome Coronavirus 2 Infection in Immunocompromised Patients.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2023,Remdesivir,Myocardial Infarction
36828654,Colchicine and high-intensity rosuvastatin in the treatment of non-critically ill patients hospitalised with COVID-19: a randomised clinical trial.,BMJ open,2023,Remdesivir,Myocardial Infarction
36633703,Left atrial strain is associated with distinct inflammatory and immune profile in patients with COVID-19 pneumonia.,The ultrasound journal,2023,Remdesivir,Myocardial Infarction
36104198,Infective Endocarditis Revealed after Resolution of COVID-19 Infection.,"Internal medicine (Tokyo, Japan)",2022,Remdesivir,Myocardial Infarction
35036190,A Complicated Case of COVID-19-Induced Inferolateral Wall Myocardial Infarction Successfully Treated With Streptokinase.,Cureus,2021,Remdesivir,Myocardial Infarction
33372818,Extracorporeal Membrane Oxygenation for COVID-19-Associated Multisystem Inflammatory Syndrome in a 5-year-old.,The American surgeon,2022,Remdesivir,Myocardial Infarction
33200953,Racial and Ethnic Differences in Presentation and Outcomes for Patients Hospitalized With COVID-19: Findings From the American Heart Association's COVID-19 Cardiovascular Disease Registry.,Circulation,2021,Remdesivir,Myocardial Infarction
32497913,A current review of COVID-19 for the cardiovascular specialist.,American heart journal,2020,Remdesivir,Myocardial Infarction
32352535,"COVID-19 and the cardiovascular system: implications for risk assessment, diagnosis, and treatment options.",Cardiovascular research,2020,Remdesivir,Myocardial Infarction
32282502,Cardiovascular Considerations in Treating Patients With Coronavirus Disease 2019 (COVID-19).,Journal of cardiovascular pharmacology,2020,Remdesivir,Myocardial Infarction
