pmid,title,journal,year,drug,disease
40733499,"COVID-19 and a Tale of Three Drugs: To Repurpose, or Not to Repurpose-That Was the Question.",Viruses,2025,Remdesivir,Rheumatoid Arthritis
40189155,Remdesivir alleviates joint damage in collagen-induced arthritis and inhibits inflammatory cell death of RA synovial fibroblasts.,Immunology letters,2025,Remdesivir,Rheumatoid Arthritis
40147575,"Iguratimod, a promising therapeutic agent for COVID-19 that attenuates excessive inflammation in mouse models.",European journal of pharmacology,2025,Remdesivir,Rheumatoid Arthritis
40100618,Risk of Severe COVID-19 in Four Immunocompromised Populations: A French Expert Perspective.,Infectious diseases and therapy,2025,Remdesivir,Rheumatoid Arthritis
39844338,Drug-drug interaction between ensitrelvir and tacrolimus in a patient undergoing treatment for COVID-19: a case report.,Journal of pharmaceutical health care and sciences,2025,Remdesivir,Rheumatoid Arthritis
39461843,Organising pneumonia due to inadequately cleared COVID-19 infection while on rituximab.,BMJ case reports,2024,Remdesivir,Rheumatoid Arthritis
38570136,Infectious mononucleosis due to Epstein-Barr virus reactivation in an immunocompromised 60-year-old patient with COVID-19.,Journal of infection and chemotherapy : official journal of the Japan Society of Chemotherapy,2024,Remdesivir,Rheumatoid Arthritis
38223743,Successful treatment of SARS-CoV-2 in an immunocompromised patient with persistent infection for 245 days: A case report.,Heliyon,2024,Remdesivir,Rheumatoid Arthritis
37977159,"Efficacy and safety of baricitinib or ravulizumab in adult patients with severe COVID-19 (TACTIC-R): a randomised, parallel-arm, open-label, phase 4 trial.",The Lancet. Respiratory medicine,2023,Remdesivir,Rheumatoid Arthritis
37124053,Acute exacerbation of rheumatoid arthritis-associated interstitial lung disease triggered by COVID-19: What is the best practice for treatment?,Respiratory medicine case reports,2023,Remdesivir,Rheumatoid Arthritis
36844970,Outcomes with and without outpatient SARS-CoV-2 treatment for patients with COVID-19 and systemic autoimmune rheumatic diseases: a retrospective cohort study.,The Lancet. Rheumatology,2023,Remdesivir,Rheumatoid Arthritis
36413380,Infliximab as a potential treatment for COVID-19.,Expert review of anti-infective therapy,2023,Remdesivir,Rheumatoid Arthritis
36324801,Outcomes with and without outpatient SARS-CoV-2 treatment for patients with COVID-19 and systemic autoimmune rheumatic diseases: A retrospective cohort study.,medRxiv : the preprint server for health sciences,2022,Remdesivir,Rheumatoid Arthritis
36295515,Aseptic Abscess Syndrome in Rheumatoid Arthritis Patient.,"Medicina (Kaunas, Lithuania)",2022,Remdesivir,Rheumatoid Arthritis
36259490,COVID-19 treatments approved in the European Union and clinical recommendations for the management of non-hospitalized and hospitalized patients.,Annals of medicine,2022,Remdesivir,Rheumatoid Arthritis
31643344,Baricitinib.,,2012,Remdesivir,Rheumatoid Arthritis
35678534,Complete persistent remission of rheumatoid arthritis after COVID-19 infection - A rare case and literature review.,Monaldi archives for chest disease = Archivio Monaldi per le malattie del torace,2022,Remdesivir,Rheumatoid Arthritis
35619835,Treatment of COVID-19 in a Patient With Maple Syrup Urine Disease.,Cureus,2022,Remdesivir,Rheumatoid Arthritis
35342454,A comparison of Remdesivir versus gold cluster in COVID-19 animal model: A better therapeutic outcome of gold cluster.,Nano today,2022,Remdesivir,Rheumatoid Arthritis
35106192,Use of Baricitinib in Combination With Remdesivir and Steroid in COVID-19 Treatment: A Multicenter Retrospective Study.,Cureus,2021,Remdesivir,Rheumatoid Arthritis
34626196,COVID-19 survivors with calcineurin-inhibitors-treated rheumatoid arthritis.,Modern rheumatology case reports,2022,Remdesivir,Rheumatoid Arthritis
34567896,Legionella Coinfection in a Patient With COVID-19 Pneumonia.,Cureus,2021,Remdesivir,Rheumatoid Arthritis
34451835,"Janus Kinase Inhibitors and Coronavirus Disease (COVID)-19: Rationale, Clinical Evidence and Safety Issues.","Pharmaceuticals (Basel, Switzerland)",2021,Remdesivir,Rheumatoid Arthritis
34337612,"Common drugs, vitamins, nutritional supplements and COVID-19 mortality.",International journal of functional nutrition,2021,Remdesivir,Rheumatoid Arthritis
33640999,COVID-19 illness and autoimmune diseases: recent insights.,Inflammation research : official journal of the European Histamine Research Society ... [et al.],2021,Remdesivir,Rheumatoid Arthritis
33544720,SAveRUNNER: A network-based algorithm for drug repurposing and its application to COVID-19.,PLoS computational biology,2021,Remdesivir,Rheumatoid Arthritis
33029696,Role of ACE2 receptor and the landscape of treatment options from convalescent plasma therapy to the drug repurposing in COVID-19.,Molecular and cellular biochemistry,2021,Remdesivir,Rheumatoid Arthritis
32796045,Clinical outcomes of hospitalised patients with COVID-19 and chronic inflammatory and autoimmune rheumatic diseases: a multicentric matched cohort study.,Annals of the rheumatic diseases,2020,Remdesivir,Rheumatoid Arthritis
32698440,Tiotropium is Predicted to be a Promising Drug for COVID-19 Through Transcriptome-Based Comprehensive Molecular Pathway Analysis.,Viruses,2020,Remdesivir,Rheumatoid Arthritis
