PMID,Title,Journal,Year
39468637,"Abnormally high plasma concentrations of M-4, the active metabolite of edoxaban, at the onset of acute kidney injury in a patient receiving rifampin and clarithromycin: a case report.",Journal of pharmaceutical health care and sciences,2024
39401259,Risk factors of thromboembolic events in patients with scrub typhus.,PLoS neglected tropical diseases,2024
37810625,Effects of rifampin coadministration on the pharmacokinetics of digoxin: a real-world data approach.,Translational and clinical pharmacology,2023
37016321,Oral anticoagulants and concurrent rifampin administration in tuberculosis patients with non-valvular atrial fibrillation.,BMC cardiovascular disorders,2023
36739307,Safety and effectiveness of anticoagulation with non-vitamin K antagonist oral anticoagulants and warfarin in patients on tuberculosis treatment.,Scientific reports,2023
33030266,Physiologically-Based Pharmacokinetic Modeling for the Prediction of a Drug-Drug Interaction of Combined Effects on P-glycoprotein and Cytochrome P450 3A.,CPT: pharmacometrics & systems pharmacology,2020
31183220,Antithrombotic Dilemmas after Left Atrial Appendage Occlusion Watchman Device Placement.,Case reports in cardiology,2019
30708380,An Underappreciated and Prolonged Drug Interaction Leads to Ineffective Anticoagulation.,Southern medical journal,2019
30214652,Dabigatran-Induced Acute Interstitial Nephritis: An Important Complication of Newer Oral Anticoagulation Agents.,Journal of clinical medicine research,2018
29563819,A case of Brucella melitensis endocarditis in a patient with cardiovascular implantable electronic device.,Infection and drug resistance,2018
28973247,Association Between Use of Non-Vitamin K Oral Anticoagulants With and Without Concurrent Medications and Risk of Major Bleeding in Nonvalvular Atrial Fibrillation.,JAMA,2017
27554701,Endovascular Management of Concomitant Thoracic and Abdominal Aortic Ruptures Resulting from Brucellosis Aortitis.,Annals of vascular surgery,2017
24497568,Clinical challenges related to novel oral anticoagulants: drug-drug interactions and monitoring.,Haematologica,2014
23641931,Rifampicin-warfarin interaction leading to macroscopic hematuria: a case report and review of the literature.,BMC pharmacology & toxicology,2013
21717198,Dabigatran in atrial fibrillation: pharmacology and clinical trials.,Journal of interventional cardiac electrophysiology : an international journal of arrhythmias and pacing,2011
2147021,"Septicemia, atrial fibrillation, cardiomegaly, left atrial mass, and Rhodococcus equi septic osteoarthritis in a foal.",Journal of the American Veterinary Medical Association,1990
