PMID,Title,Journal,Year
40851075,Combined in vivo and silico assessment of melatonin's protective effects on rifampicin-induced liver damage in rats.,Scientific reports,2025
40092173,Clinical insights on paratuberculosis in Arabian camels (Camelus dromedarius): A review.,Open veterinary journal,2025
40021004,Spontaneous bacterial peritonitis due to Brucella in an HBV-positive cirrhotic patient.,Journal of infection and chemotherapy : official journal of the Japan Society of Chemotherapy,2025
39263667,A true challenge: Disseminated tuberculosis with tuberculous meningitis in a patient with underlying chronic liver disease.,IDCases,2024
38404228,Mechanistic Determinants of Daprodustat Drug-Drug Interactions and Pharmacokinetics in Hepatic Dysfunction and Chronic Kidney Disease: Significance of OATP1B-CYP2C8 Interplay.,Clinical pharmacology and therapeutics,2024
38388380,Low molecular weight acids and OATP1B mediated hepatic clearance: In vitro and in vivo evaluation using novel hypoxia-inducible factor prolyl hydroxylase inhibitors (Dustats).,Drug metabolism and disposition: the biological fate of chemicals,2024
38140744,Pharmacokinetic assessment of rifampicin and des-acetyl rifampicin in carbon tetrachloride induced liver injury model in Wistar rats.,Journal of complementary & integrative medicine,2024
37721240,Characteristics and comparison of rapidly growing and slowly growing nontuberculous mycobacterial pulmonary disease.,International journal of mycobacteriology,2023
37533266,Infectious complications in patients with inflammatory bowel disease in Asia: the results of a multinational web-based survey in the 8th Asian Organization for Crohn's and Colitis meeting.,Intestinal research,2023
37513369,The Effect of Bergenin on Isonicotinic Acid Hydrazide and Rifampicin-Induced Liver Injury Revealed by RNA Sequencing.,"Molecules (Basel, Switzerland)",2023
37272388,Asiatic acid ameliorates rifampicin- and isoniazid-induced liver injury in vivo by regulating sphingolipid metabolism and mitogen-activated protein kinase signalling pathways.,Basic & clinical pharmacology & toxicology,2023
37218081,Antitubercular drugs induced liver injury: an updated insight into molecular mechanisms.,Drug metabolism reviews,2023
37020248,Principles of mechanical and chemical debridement with implant retention.,"Arthroplasty (London, England)",2023
37009360,"Daptomycin-Rifampin-Induced Rhabdomyolysis, Acute Renal Failure, and Hepatic Injury: A Case Report and Literature Review.",Cureus,2023
37008589,Hepatotoxicity and tuberculosis treatment outcomes in chronic liver disease.,Journal of the Association of Medical Microbiology and Infectious Disease Canada = Journal officiel de l'Association pour la microbiologie medicale et l'infectiologie Canada,2023
36597378,Characterizing complex and competing drug-drug interactions between the antiviral regimen of glecaprevir and pibrentasvir with rifampin or carbamazepine.,Clinical and translational science,2023
36270726,Evaluation and Management of Pruritus in Primary Biliary Cholangitis.,Clinics in liver disease,2022
36070932,Hepatoprotective Effects of Phloridzin against Isoniazid-Rifampicin Induced Liver Injury by Regulating CYP450 and Nrf2/HO-1 Pathway in Mice.,Chemical & pharmaceutical bulletin,2022
35835356,The role of the farnesoid X receptor in quadruple anti-tuberculosis drug-induced liver injury.,Toxicology,2022
35652251,Coproporphyrin I as an Endogenous Biomarker to Detect Reduced OATP1B Activity and Shift in Elimination Route in Chronic Kidney Disease.,Clinical pharmacology and therapeutics,2022
