PMID,Title,Journal,Year
40933222,A destruent case of recurrent primary naso-pharyngeal tuberculosis in a migrant.,Le infezioni in medicina,2025
40710449,Evaluation of the Bioinductive Effects of a Novel Antibiotic Eluting Cardiac Implantable Electronic Device Envelope.,Journal of functional biomaterials,2025
40556492,Dust to Disease: Cavitary Lung Lesion With Mycobacterium kansasii in a Black Lung Patient.,Journal of investigative medicine high impact case reports,2025
40437360,DRTB-HDT: a randomized controlled trial of two adjunctive host-directed therapies in rifampin-resistant tuberculosis.,BMC infectious diseases,2025
40366147,Treatment of pruritus in primary sclerosing cholangitis: Analysis of the consortium for autoimmune liver disease registry.,Hepatology communications,2025
40093534,Comparative study of the inhibitory effects of different antibiotic administration routes on bone healing in a rat tibial infection model.,Frontiers in cellular and infection microbiology,2025
40021004,Spontaneous bacterial peritonitis due to Brucella in an HBV-positive cirrhotic patient.,Journal of infection and chemotherapy : official journal of the Japan Society of Chemotherapy,2025
38315140,"The RIVET RCT: Rifamycin SV MMX improves muscle mass, physical function, and ammonia in cirrhosis and minimal encephalopathy.",Hepatology communications,2024
38036321,Preliminary evidence for sustained efficacy of CFTR modulator therapy with concomitant rifabutin administration.,Journal of cystic fibrosis : official journal of the European Cystic Fibrosis Society,2024
37667518,Drug-drug interaction prediction of ziritaxestat using a physiologically based enzyme and transporter pharmacokinetic network interaction model.,Clinical and translational science,2023
37456498,Social Determinants in Clinical Decision Making: A Case of Mistaken Hepatic Encephalopathy.,Cureus,2023
37344564,Pregnane X receptor activation alleviates renal fibrosis in mice via interacting with p53 and inhibiting the Wnt7a/beta-catenin signaling.,Acta pharmacologica Sinica,2023
37020248,Principles of mechanical and chemical debridement with implant retention.,"Arthroplasty (London, England)",2023
37008589,Hepatotoxicity and tuberculosis treatment outcomes in chronic liver disease.,Journal of the Association of Medical Microbiology and Infectious Disease Canada = Journal officiel de l'Association pour la microbiologie medicale et l'infectiologie Canada,2023
36598806,Pharmacological Therapy of Pruritus in Primary Biliary Cholangitis: A Systematic Review and Meta-Analysis of Randomized Clinical Trials.,Journal of clinical gastroenterology,2023
36545119,"Complicated Case of Multidrug-Resistant Tuberculosis with Multiple Comorbidities, Successfully Treated After Several Treatment Modifications.","Clinical medicine insights. Circulatory, respiratory and pulmonary medicine",2022
36511181,Interventions for the eradication of meticillin-resistant Staphylococcus aureus (MRSA) in people with cystic fibrosis.,The Cochrane database of systematic reviews,2022
36478917,Eradication of early MRSA infection in cystic fibrosis: a novel study design for the STAR-ter trial.,ERJ open research,2022
36270726,Evaluation and Management of Pruritus in Primary Biliary Cholangitis.,Clinics in liver disease,2022
36160276,Chronic purulent pericarditis: case report.,The Pan African medical journal,2022
