PMID,Title,Journal,Year
40471965,"The effect of foliar spraying of silver and iron nanoparticles as fertilizers on the quantity, quality, and antimicrobial properties of Melissa officinalis L. essential oil.",PloS one,2025
38538095,Infectious aortitis and managing it at a community military hospital.,BMJ case reports,2024
37810625,Effects of rifampin coadministration on the pharmacokinetics of digoxin: a real-world data approach.,Translational and clinical pharmacology,2023
37536991,[Chest hemorrhage after left total pulmonary resection for secondary rifampin-resistant tuberculosis:a case report].,Zhonghua jie he he hu xi za zhi = Zhonghua jiehe he huxi zazhi = Chinese journal of tuberculosis and respiratory diseases,2023
37142508,Cutaneous Tuberculosis in Heart Transplant.,Transplantation proceedings,2023
36739307,Safety and effectiveness of anticoagulation with non-vitamin K antagonist oral anticoagulants and warfarin in patients on tuberculosis treatment.,Scientific reports,2023
36152837,An ultra-sensitive rifampicin electrochemical sensor based on Fe(3)O(4) nanoparticles anchored Multiwalled Carbon nanotube modified glassy carbon electrode.,Chemosphere,2022
36116057,Successful drainage of periaortic graft abscess and transcatheter aortic valve replacement in the same setting-A hybrid approach.,Journal of cardiac surgery,2022
35785460,Impact of narrowing perioperative antibiotic prophylaxis for left ventricular assist device implantation.,Transplant infectious disease : an official journal of the Transplantation Society,2022
35643768,Early and late outcomes of surgical repair of mycotic aortic aneurysms: A 30-year experience.,The Journal of thoracic and cardiovascular surgery,2024
35476134,Low Body Mass Index at Treatment Initiation and Rifampicin-Resistant Tuberculosis Treatment Outcomes: An Individual Participant Data Meta-Analysis.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2022
35073862,Estimating tuberculosis drug resistance amplification rates in high-burden settings.,BMC infectious diseases,2022
32670791,Brucella prosthetic valve endocarditis with septic and cardiogenic shock.,IDCases,2020
30704698,Efficacy and tolerability of desensitization in the treatment of delayed drug hypersensitivities to anti-tuberculosis medications.,Respiratory medicine,2019
30601372,AAOS Systematic Literature Review: Summary on the Management of Surgical Site Infections.,The Journal of the American Academy of Orthopaedic Surgeons,2019
30449195,Clinical pharmacokinetics of drugs in cardiopulmonary associated cachexia without hepatorenal pathology: a systematic review.,Drug metabolism reviews,2019
30382016,Adjunctive rifampicin to reduce early mortality from Staphylococcus aureus bacteraemia: the ARREST RCT.,"Health technology assessment (Winchester, England)",2018
29794790,Left lung hypoplasia with a right tuberculous pleural effusion after childbirth: A case report.,Medicine,2018
29628387,Gentamicin may have no effect on mortality of staphylococcal prosthetic valve endocarditis.,Journal of infection and chemotherapy : official journal of the Japan Society of Chemotherapy,2018
29595509,Comparison of different treatments for isoniazid-resistant tuberculosis: an individual patient data meta-analysis.,The Lancet. Respiratory medicine,2018
