PMID,Title,Journal,Year
39501994,Supporting multidrug-resistant or rifampicin-resistant TB treatment adherence in people with harmful use of alcohol through person-centred care.,International health,2025
36597378,Characterizing complex and competing drug-drug interactions between the antiviral regimen of glecaprevir and pibrentasvir with rifampin or carbamazepine.,Clinical and translational science,2023
36110536,Linezolid resistance in multidrug-resistant mycobacterium tuberculosis: A systematic review and meta-analysis.,Frontiers in pharmacology,2022
35651717,Drug-induced CYP induction as therapy for tacrolimus intoxication.,Clinical nephrology. Case studies,2022
35271917,Co-administration of treatment for rifampicin-resistant TB and chronic HCV infection: A TBnet and ESGMYC study.,The Journal of infection,2022
35236270,"New Route to the Synthesis of Novel Pyrazolo[1,5-a]pyrimidines and Evaluation of their Antimicrobial Activity as RNA Polymerase Inhibitors.",Medicinal chemistry (Shariqah (United Arab Emirates)),2022
32706644,Culture Conversion in Patients Treated with Bedaquiline and/or Delamanid. A Prospective Multicountry Study.,American journal of respiratory and critical care medicine,2021
31591118,A Pharmacology Perspective of Simultaneous Tuberculosis and Hepatitis C Treatment.,Antimicrobial agents and chemotherapy,2019
31347729,"Hepatotoxicity and virological breakthrough of HCV following treatment with sofosbuvir, daclatasvir, and ribavirin in patients previously treated for tuberculosis.",Journal of medical virology,2019
29674071,Direct E-DNA sensor of Mycobacterium tuberculosis mutant strain based on new nanocomposite transducer (Fc-ac-OMPA/MWCNTs).,Talanta,2018
29644537,Drug-Drug Interaction Profile of the Fixed-Dose Combination Tablet Regimen Ledipasvir/Sofosbuvir.,Clinical pharmacokinetics,2018
28263460,Asunaprevir: An HCV Protease Inhibitor With Preferential Liver Distribution.,Clinical pharmacology in drug development,2017
26416870,Effects of Antiviral Drugs on Organic Anion Transport in Human Placental BeWo Cells.,Antimicrobial agents and chemotherapy,2015
26353895,Drug-Drug Interactions with the NS3/4A Protease Inhibitor Simeprevir.,Clinical pharmacokinetics,2016
26260821,Three months of weekly rifapentine plus isoniazid is less hepatotoxic than nine months of daily isoniazid for LTBI.,The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease,2015
26259716,Mechanistic understanding of the nonlinear pharmacokinetics and intersubject variability of simeprevir: A PBPK-guided drug development approach.,Clinical pharmacology and therapeutics,2016
25670521,"Organic anion transporting polypeptide-mediated transport of, and inhibition by, asunaprevir, an inhibitor of hepatitis C virus NS3 protease.",Clinical pharmacology and therapeutics,2015
25088884,Pulmonary tuberculoma in a patient with chronic hepatitis C: a clinical pitfall in the treatment strategy.,"Internal medicine (Tokyo, Japan)",2014
25008118,Physiologically based pharmacokinetic modeling for assessing the clinical drug-drug interaction of alisporivir.,European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences,2014
24243988,Safety of rifabutin replacing rifampicin in the treatment of tuberculosis: a single-centre retrospective cohort study.,The Journal of antimicrobial chemotherapy,2014
