PMID,Title,Journal,Year
40622841,Effect of Rifampicin on the Pharmacokinetics of Valemetostat and Its Primary Metabolite: A Phase 1 Study in Healthy Participants.,Clinical and translational science,2025
39533673,Evaluation of drug-drug interactions of a novel potent FLT3 inhibitor SKLB1028 in healthy subjects.,Clinical and translational science,2024
39228016,Pharmacokinetics of olverembatinib (HQP1351) in the presence of a strong CYP3A4 inhibitor (itraconazole) or inducer (rifampin) in healthy volunteers.,Clinical and translational science,2024
38864598,Efficacy of rifapentine and other rifamycins against Coxiella burnetii in vitro.,Microbiology spectrum,2024
38767131,Concomitantly Diagnosed Disseminated M kansasii Infection and Hairy Cell Leukemia With Review of Pathophysiology.,Journal of investigative medicine high impact case reports,2024
38514165,"Hepatic veno-occlusive disease complicated with extreme hyperammonaemia (920 micromol/L) treated with defibrotide, lactulose, rifampin and haemodialysis.",BMJ case reports,2024
38482980,Physiologically based pharmacokinetic modeling of imatinib and N-desmethyl imatinib for drug-drug interaction predictions.,CPT: pharmacometrics & systems pharmacology,2024
38322455,Carrimycin in the treatment of acute promyelocytic leukemia combined with pulmonary tuberculosis: A case report.,World journal of clinical cases,2024
38259101,Clofazimine as a substitute for rifampicin improves efficacy of Mycobacterium avium pulmonary disease treatment in the hollow-fiber model.,Antimicrobial agents and chemotherapy,2024
38189396,[Characterization of a 3-dimensional tuberculosis spheroid model constructed using human monocytic THP-1 cells and Bacillus Calmette-Guerin].,Nan fang yi ke da xue xue bao = Journal of Southern Medical University,2023
37909674,"Physiologically Based Pharmacokinetic Modeling of Nilotinib for Drug-Drug Interactions, Pediatric Patients, and Pregnancy and Lactation.",Journal of clinical pharmacology,2024
37731282,Physiologically Based Pharmacokinetic Modeling of the Drug-Drug Interaction Between CYP3A4 Substrate Glasdegib and Moderate CYP3A4 Inducers in Lieu of a Clinical Study.,Journal of clinical pharmacology,2024
37024850,Repeated spontaneous remission of acute myeloid leukemia in response to various infections: a case report.,BMC infectious diseases,2023
36803923,pH-responsive microparticles of rifampicin for augmented intramacrophage uptake and enhanced antitubercular efficacy.,International journal of pharmaceutics,2023
36788492,Nosocomial meningitis caused by Staphylococcus haemolyticus in a child with neutropenia in the absence of intracranial devices: a case report.,BMC infectious diseases,2023
35430177,Clinical characteristics associated with the severity of Clostridium [Clostridioides] difficile infection in a tertiary teaching hospital from Mexico.,Biomedical journal,2022
32978634,Physiologically based pharmacokinetic modeling and simulation to predict drug-drug interactions of ivosidenib with CYP3A perpetrators in patients with acute myeloid leukemia.,Cancer chemotherapy and pharmacology,2020
30083554,Phenytoin and Rifampin Do Not Decrease Levels in Acute Tacrolimus Toxicity.,Journal of investigative medicine high impact case reports,2018
29739809,Application of Physiologically Based Pharmacokinetic Modeling in Understanding Bosutinib Drug-Drug Interactions: Importance of Intestinal P-Glycoprotein.,Drug metabolism and disposition: the biological fate of chemicals,2018
29579201,Intramacrophage Mycobacterium tuberculosis efflux pump gene regulation after rifampicin and verapamil exposure.,The Journal of antimicrobial chemotherapy,2018
