PMID,Title,Journal,Year
34421917,"Warm, Sweetened Milk at the Twilight of Immunity - Alzheimer's Disease - Inflammaging, Insulin Resistance, M. paratuberculosis and Immunosenescence.",Frontiers in immunology,2021
33561738,Physiologically based pharmacokinetic modeling of altered tizanidine systemic exposure by CYP1A2 modulation: Impact of drug-drug interactions and cigarette consumption.,Drug metabolism and pharmacokinetics,2021
30539784,"The protective effect of rifampicin on behavioral deficits, biochemical, and neuropathological changes in a cuprizone model of demyelination.",Cytokine,2019
27774592,Rifampicin attenuates experimental autoimmune encephalomyelitis by inhibiting pathogenic Th17 cells responses.,Journal of neurochemistry,2016
24192684,An unusual case of neurobrucellosis presenting as demyelination disorder.,The Turkish journal of pediatrics,2013
23895742,[Community-acquired methicillin-resistant Staphylococcus aureus endocarditis due to the emerging Geraldine clone: a challenging microbiological diagnosis].,Medecine et maladies infectieuses,2013
20021425,Immunomodulatory properties of antibiotics.,Current molecular pharmacology,2008
17079237,Minocycline delays but does not attenuate the course of experimental autoimmune encephalomyelitis in Streptococcus pneumoniae-infected mice.,The Journal of antimicrobial chemotherapy,2007
16904026,Recurrent optic neuritis associated with Chlamydia pneumoniae infection of the central nervous system.,Developmental medicine and child neurology,2006
16669925,The atypical pneumonias: clinical diagnosis and importance.,Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases,2006
16264061,Optic neuritis with concurrent etanercept and isoniazid therapy.,The Annals of pharmacotherapy,2005
15935383,Pilot study to examine the effect of antibiotic therapy on MRI outcomes in RRMS.,Journal of the neurological sciences,2005
3547005,Neurological manifestations and toxicities of the antituberculosis drugs. A review.,Medical toxicology,1987
4118239,Rifampicin and multiple sclerosis.,"Lancet (London, England)",1972
