PMID,Title,Journal,Year
40379021,Disseminated cat-scratch disease during abatacept therapy for rheumatoid arthritis in an older patient: A case report and review of the literature.,Journal of infection and chemotherapy : official journal of the Japan Society of Chemotherapy,2025
38860384,Comprehensive Evaluation of OATP- and BCRP-Mediated Drug-Drug Interactions of Methotrexate Using Physiologically-Based Pharmacokinetic Modeling.,Clinical pharmacology and therapeutics,2024
37990293,"Leprosy with type 1 reaction in a patient from Ontario, Canada without recent travel misdiagnosed as vasculitic neuropathy: a case report.",BMC infectious diseases,2023
37020248,Principles of mechanical and chemical debridement with implant retention.,"Arthroplasty (London, England)",2023
37005376,Effect of CYP3A4 induction and inhibition on the pharmacokinetics of SHR0302 in healthy subjects.,British journal of clinical pharmacology,2023
36226345,Mycobacterium intracellulare Tenosynovitis with Rice Body Formation with Literature Review.,Infection & chemotherapy,2023
35610714,"Coxiella burnetti prosthetic joint infection in an immunocompromised woman: iterative surgeries, prolonged ofloxacin-rifampin treatment and complex reconstruction were needed for the cure.","Arthroplasty (London, England)",2021
34689246,Safety of latent tuberculosis infection treatment in older patients with immune-mediated inflammatory diseases.,Clinical rheumatology,2022
34498807,"Evaluation of the potential drug interactions mediated through P-gp, OCT2, and MATE1/2K with filgotinib in healthy subjects.",Clinical and translational science,2022
34421917,"Warm, Sweetened Milk at the Twilight of Immunity - Alzheimer's Disease - Inflammaging, Insulin Resistance, M. paratuberculosis and Immunosenescence.",Frontiers in immunology,2021
34412583,Isolation of Brucella abortus biovar 1 from human lumbar disc bulging: a case report of brucellar discitis.,BMC infectious diseases,2021
34000006,Cefazolin and rifampin: A coagulopathy-inducing combination.,American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists,2021
33181702,Corticosteroid-induced exacerbation of cryptic miliary tuberculosis to acute respiratory distress syndrome: A case report.,Medicine,2020
32621699,Pseudorheumatoid nodule: a variant of granuloma annulare?,Dermatology online journal,2020
32387584,Early discontinuation of tofacitinib in patients with rheumatoid arthritis co-treated with rifampin for latent tuberculosis.,Joint bone spine,2020
32014989,Rifampicin induced shock during re-exposure for treatment of latent tuberculosis.,BMJ case reports,2020
29674320,Three months of once-weekly isoniazid plus rifapentine (3HP) in treating latent tuberculosis infection is feasible in patients with rheumatoid arthritis.,Annals of the rheumatic diseases,2018
29141716,Hansen's Disease and Rheumatoid Arthritis Crossover of Clinical Symptoms: A Case Series of 18 Patients in the United States.,The American journal of tropical medicine and hygiene,2017
28369296,The Not-So-Good Prognosis of Streptococcal Periprosthetic Joint Infection Managed by Implant Retention: The Results of a Large Multicenter Study.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2017
26574146,"Impact of physiological, pathological and environmental factors on the expression and activity of human cytochrome P450 2D6 and implications in precision medicine.",Drug metabolism reviews,2015
