pmid,title,journal,year,drug,disease
39460579,Combined treatment with ruxolitinib and MK-2206 inhibits ERalpha activity by inhibiting MAPK signaling in BT474 breast cancer cells.,Journal of investigative medicine : the official publication of the American Federation for Clinical Research,2025,Ruxolitinib,Breast Cancer
39191497,P53 Status Influences the Anti-proliferative Effect Induced by IFITM1 Inhibition in Estrogen Receptor-positive Breast Cancer Cells.,Cancer genomics & proteomics,2024,Ruxolitinib,Breast Cancer
39145071,Eleven inflammation-related genes risk signature model predicts prognosis of patients with breast cancer.,Translational cancer research,2024,Ruxolitinib,Breast Cancer
39037638,Ruxolitinib-loaded poly-varepsilon-caprolactone (PCL) nanoparticles inhibit JAK2/STAT5 signaling in BT474 breast cancer cells by downregulating Bcl-2 and Mcl-1.,Molecular biology reports,2024,Ruxolitinib,Breast Cancer
38852701,Dual inhibition of the TrkA and JAK2 pathways using entrectinib and pacritinib suppresses the growth and metastasis of HER2-positive and triple-negative breast cancers.,Cancer letters,2024,Ruxolitinib,Breast Cancer
38565207,Use of a topical Janus kinase inhibitor in immune checkpoint inhibitor-induced eczematous reaction: a case report.,The Journal of dermatological treatment,2024,Ruxolitinib,Breast Cancer
38297352,TBCRC 039: a phase II study of preoperative ruxolitinib with or without paclitaxel for triple-negative inflammatory breast cancer.,Breast cancer research : BCR,2024,Ruxolitinib,Breast Cancer
38224427,Multi-center retrospective review of vitiligo-like lesions in breast cancer patients treated with cyclin-dependent kinase 4 and 6 inhibitors.,Breast cancer research and treatment,2024,Ruxolitinib,Breast Cancer
37979170,Identification of a targetable JAK-STAT enriched androgen receptor and androgen receptor splice variant positive triple-negative breast cancer subtype.,Cell reports,2023,Ruxolitinib,Breast Cancer
37422644,"Construction and validation of a cuproptosis-related five-lncRNA signature for predicting prognosis, immune response and drug sensitivity in breast cancer.",BMC medical genomics,2023,Ruxolitinib,Breast Cancer
37075870,Rule of five violations among the FDA-approved small molecule protein kinase inhibitors.,Pharmacological research,2023,Ruxolitinib,Breast Cancer
37005447,Targeting the NF-kappaB pathway enhances responsiveness of mammary tumors to JAK inhibitors.,Scientific reports,2023,Ruxolitinib,Breast Cancer
36403719,Properties of FDA-approved small molecule protein kinase inhibitors: A 2023 update.,Pharmacological research,2023,Ruxolitinib,Breast Cancer
36369506,"Ruxolitinib and exemestane for estrogen receptor positive, aromatase inhibitor resistant advanced breast cancer.",NPJ breast cancer,2022,Ruxolitinib,Breast Cancer
36331743,Combined treatment with ruxolitinib and MK-2206 inhibits the JAK2/STAT5 and PI3K/AKT pathways via apoptosis in MDA-MB-231 breast cancer cell line.,Molecular biology reports,2023,Ruxolitinib,Breast Cancer
36170890,"Role of STAT3 in the initiation, progression, proliferation and metastasis of breast cancer and strategies to deliver JAK and STAT3 inhibitors.",Life sciences,2022,Ruxolitinib,Breast Cancer
35798053,NFIC1 suppresses migration and invasion of breast cancer cells through interferon-mediated Jak-STAT pathway.,Archives of biochemistry and biophysics,2022,Ruxolitinib,Breast Cancer
35729402,Transglutaminase-2 mediates acquisition of neratinib resistance in metastatic breast cancer.,Molecular biomedicine,2022,Ruxolitinib,Breast Cancer
35269680,Effects of Ruxolitinib and Calcitriol Combination Treatment on Various Molecular Subtypes of Breast Cancer.,International journal of molecular sciences,2022,Ruxolitinib,Breast Cancer
34626199,JAK2 regulates paclitaxel resistance in triple negative breast cancers.,"Journal of molecular medicine (Berlin, Germany)",2021,Ruxolitinib,Breast Cancer
34169393,Phase I/II trial of ruxolitinib in combination with trastuzumab in metastatic HER2 positive breast cancer.,Breast cancer research and treatment,2021,Ruxolitinib,Breast Cancer
33770100,Induction of interferon-beta and interferon signaling by TRAIL and Smac mimetics via caspase-8 in breast cancer cells.,PloS one,2021,Ruxolitinib,Breast Cancer
33585999,Phase I study of JAK1/2 inhibitor ruxolitinib with weekly paclitaxel for the treatment of HER2-negative metastatic breast cancer.,Cancer chemotherapy and pharmacology,2021,Ruxolitinib,Breast Cancer
33465556,Opioids drive breast cancer metastasis through the delta-opioid receptor and oncogenic STAT3.,"Neoplasia (New York, N.Y.)",2021,Ruxolitinib,Breast Cancer
33230423,Important updates from the AACR virtual meeting: COVID-19 and cancer.,Future science OA,2020,Ruxolitinib,Breast Cancer
33042272,Truncated HDAC9 identified by integrated genome-wide screen as the key modulator for paclitaxel resistance in triple-negative breast cancer.,Theranostics,2020,Ruxolitinib,Breast Cancer
32929154,"Combined inhibition of JAK2-STAT3 and SMO-GLI1/tGLI1 pathways suppresses breast cancer stem cells, tumor growth, and metastasis.",Oncogene,2020,Ruxolitinib,Breast Cancer
32707998,Leukaemia Inhibitory Factor (LIF) Inhibits Cancer Stem Cells Tumorigenic Properties through Hippo Kinases Activation in Gastric Cancer.,Cancers,2020,Ruxolitinib,Breast Cancer
32679107,IL6/STAT3 Signaling Hijacks Estrogen Receptor alpha Enhancers to Drive Breast Cancer Metastasis.,Cancer cell,2020,Ruxolitinib,Breast Cancer
32560455,A Novel JAK1 Mutant Breast Implant-Associated Anaplastic Large Cell Lymphoma Patient-Derived Xenograft Fostering Pre-Clinical Discoveries.,Cancers,2020,Ruxolitinib,Breast Cancer
31862477,Properties of FDA-approved small molecule protein kinase inhibitors: A 2020 update.,Pharmacological research,2020,Ruxolitinib,Breast Cancer
31681603,Heterogeneity and Plasticity of Human Breast Cancer Cells in Response to Molecularly-Targeted Drugs.,Frontiers in oncology,2019,Ruxolitinib,Breast Cancer
31147469,JAK/STAT inhibition in macrophages promotes therapeutic resistance by inducing expression of protumorigenic factors.,Proceedings of the National Academy of Sciences of the United States of America,2019,Ruxolitinib,Breast Cancer
30930994,"Inhibition of tumor growth and angiogenesis of tamoxifen-resistant breast cancer cells by ruxolitinib, a selective JAK2 inhibitor.",Oncology letters,2019,Ruxolitinib,Breast Cancer
30655323,Interaction Between MUC1 and STAT1 Drives IFITM1 Overexpression in Aromatase Inhibitor-Resistant Breast Cancer Cells and Mediates Estrogen-Induced Apoptosis.,Molecular cancer research : MCR,2019,Ruxolitinib,Breast Cancer
30365081,Signaling pathway inhibitors target breast cancer stem cells in triple-negative breast cancer.,Oncology reports,2019,Ruxolitinib,Breast Cancer
29933930,JAK2 and PD-L1 Amplification Enhance the Dynamic Expression of PD-L1 in Triple-negative Breast Cancer.,Clinical breast cancer,2018,Ruxolitinib,Breast Cancer
29778097,Hyperprolactinemia-inducing antipsychotics increase breast cancer risk by activating JAK-STAT5 in precancerous lesions.,Breast cancer research : BCR,2018,Ruxolitinib,Breast Cancer
29761158,"Phase II study of ruxolitinib, a selective JAK1/2 inhibitor, in patients with metastatic triple-negative breast cancer.",NPJ breast cancer,2018,Ruxolitinib,Breast Cancer
29675680,"A randomized, double-blind, phase 2 study of ruxolitinib or placebo in combination with capecitabine in patients with advanced HER2-negative breast cancer and elevated C-reactive protein, a marker of systemic inflammation.",Breast cancer research and treatment,2018,Ruxolitinib,Breast Cancer
29436642,"Synergistic anticancer effects of ruxolitinib and calcitriol in estrogen receptor‑positive, human epidermal growth factor receptor 2‑positive breast cancer cells.",Molecular medicine reports,2018,Ruxolitinib,Breast Cancer
27613527,A Phase 1/2 Trial of Ruxolitinib and Erlotinib in Patients with EGFR-Mutant Lung Adenocarcinomas with Acquired Resistance to Erlotinib.,Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer,2017,Ruxolitinib,Breast Cancer
27379204,Rationally Repurposing Ruxolitinib (Jakafi ((R))) as a Solid Tumor Therapeutic.,Frontiers in oncology,2016,Ruxolitinib,Breast Cancer
26981780,Ruxolitinib synergizes with DMF to kill via BIM+BAD-induced mitochondrial dysfunction and via reduced SOD2/TRX expression and ROS.,Oncotarget,2016,Ruxolitinib,Breast Cancer
26489695,JAK-2 V617F mutation increases heparanase procoagulant activity.,Thrombosis and haemostasis,2016,Ruxolitinib,Breast Cancer
25572172,JAK-STAT pathway activation in malignant and nonmalignant cells contributes to MPN pathogenesis and therapeutic response.,Cancer discovery,2015,Ruxolitinib,Breast Cancer
24764577,JAK2 expression is associated with tumor-infiltrating lymphocytes and improved breast cancer outcomes: implications for evaluating JAK2 inhibitors.,Cancer immunology research,2014,Ruxolitinib,Breast Cancer
24445868,"Chronic neutrophilic leukemia with concurrent CSF3R and SETBP1 mutations: single colony clonality studies, in vitro sensitivity to JAK inhibitors and lack of treatment response to ruxolitinib.",Leukemia,2014,Ruxolitinib,Breast Cancer
23406773,"Molecular pathways: Jak/STAT pathway: mutations, inhibitors, and resistance.",Clinical cancer research : an official journal of the American Association for Cancer Research,2013,Ruxolitinib,Breast Cancer
