pmid,title,journal,year,drug,disease
40861475,Tumor-intrinsic interferon signaling drives pancreatic cancer resistance to tumor mucin1-targeted CAR T cell therapy.,Frontiers in immunology,2025,Ruxolitinib,Pancreatic Cancer
40549154,Cell-specific nanoengineering strategy to disrupt tolerogenic signaling from myeloid-derived suppressor cells and invigorate antitumor immunity in pancreatic cancer.,"Cancer immunology, immunotherapy : CII",2025,Ruxolitinib,Pancreatic Cancer
39653238,"H19 promotes polarization and alternative splicing in tumor-associated macrophages, facilitating pancreatic cancer progression.",Cancer letters,2024,Ruxolitinib,Pancreatic Cancer
38854120,Cell-specific nanoengineering strategy disrupts tolerogenic signaling from myeloid-derived suppressor cells to invigorate antitumor immunity in pancreatic cancer.,bioRxiv : the preprint server for biology,2024,Ruxolitinib,Pancreatic Cancer
37036505,PI3K Inhibition Restores and Amplifies Response to Ruxolitinib in Patients with Myelofibrosis.,Clinical cancer research : an official journal of the American Association for Cancer Research,2023,Ruxolitinib,Pancreatic Cancer
35948109,Combined MEK and STAT3 Inhibition Uncovers Stromal Plasticity by Enriching for Cancer-Associated Fibroblasts With Mesenchymal Stem Cell-Like Features to Overcome Immunotherapy Resistance in Pancreatic Cancer.,Gastroenterology,2022,Ruxolitinib,Pancreatic Cancer
33803211,Expanding the Spectrum of Pancreatic Cancers Responsive to Vesicular Stomatitis Virus-Based Oncolytic Virotherapy: Challenges and Solutions.,Cancers,2021,Ruxolitinib,Pancreatic Cancer
33509790,Antitumor T-cell Immunity Contributes to Pancreatic Cancer Immune Resistance.,Cancer immunology research,2021,Ruxolitinib,Pancreatic Cancer
33274592,Combined inhibition of Ref-1 and STAT3 leads to synergistic tumour inhibition in multiple cancers using 3D and in vivo tumour co-culture models.,Journal of cellular and molecular medicine,2021,Ruxolitinib,Pancreatic Cancer
31843590,Interleukin 22 Signaling Regulates Acinar Cell Plasticity to Promote Pancreatic Tumor Development in Mice.,Gastroenterology,2020,Ruxolitinib,Pancreatic Cancer
30269996,PDL1 is expressed in the islets of people with type 1 diabetes and is up-regulated by interferons-alpha and-gamma via IRF1 induction.,EBioMedicine,2018,Ruxolitinib,Pancreatic Cancer
29750040,A Phase Ib study of ruxolitinib + gemcitabine +/- nab-paclitaxel in patients with advanced solid tumors.,OncoTargets and therapy,2018,Ruxolitinib,Pancreatic Cancer
29508247,Ruxolitinib + capecitabine in advanced/metastatic pancreatic cancer after disease progression/intolerance to first-line therapy: JANUS 1 and 2 randomized phase III studies.,Investigational new drugs,2018,Ruxolitinib,Pancreatic Cancer
28820270,Second line treatment options for pancreatic cancer.,Expert opinion on pharmacotherapy,2017,Ruxolitinib,Pancreatic Cancer
28566376,Ruxolitinib and Polycation Combination Treatment Overcomes Multiple Mechanisms of Resistance of Pancreatic Cancer Cells to Oncolytic Vesicular Stomatitis Virus.,Journal of virology,2017,Ruxolitinib,Pancreatic Cancer
28496202,Inhibition of Jak/STAT signaling reduces the activation of pancreatic stellate cells in vitro and limits caerulein-induced chronic pancreatitis in vivo.,Scientific reports,2017,Ruxolitinib,Pancreatic Cancer
28405527,JAK-STAT-mediated chronic inflammation impairs cytotoxic T lymphocyte activation to decrease anti-PD-1 immunotherapy efficacy in pancreatic cancer.,Oncoimmunology,2017,Ruxolitinib,Pancreatic Cancer
28053127,Potent EMT and CSC Phenotypes Are Induced By Oncostatin-M in Pancreatic Cancer.,Molecular cancer research : MCR,2017,Ruxolitinib,Pancreatic Cancer
27533247,Novel biomarkers of resistance of pancreatic cancer cells to oncolytic vesicular stomatitis virus.,Oncotarget,2016,Ruxolitinib,Pancreatic Cancer
26586478,Angiogenic gene signature in human pancreatic cancer correlates with TGF-beta and inflammatory transcriptomes.,Oncotarget,2016,Ruxolitinib,Pancreatic Cancer
26463833,Ruxolitinib Benefits Some with Pancreatic Cancer.,Cancer discovery,2015,Ruxolitinib,Pancreatic Cancer
26351344,"Randomized, Double-Blind, Phase II Study of Ruxolitinib or Placebo in Combination With Capecitabine in Patients With Metastatic Pancreatic Cancer for Whom Therapy With Gemcitabine Has Failed.",Journal of clinical oncology : official journal of the American Society of Clinical Oncology,2015,Ruxolitinib,Pancreatic Cancer
26331681,Breaking resistance of pancreatic cancer cells to an attenuated vesicular stomatitis virus through a novel activity of IKK inhibitor TPCA-1.,Virology,2015,Ruxolitinib,Pancreatic Cancer
25975490,Host systemic inflammatory response influences outcome in pancreatic cancer.,Pancreatology : official journal of the International Association of Pancreatology (IAP) ... [et al.],2015,Ruxolitinib,Pancreatic Cancer
25762644,TCGA data and patient-derived orthotopic xenografts highlight pancreatic cancer-associated angiogenesis.,Oncotarget,2015,Ruxolitinib,Pancreatic Cancer
25076339,Second-line treatment for pancreatic cancer.,JOP : Journal of the pancreas,2014,Ruxolitinib,Pancreatic Cancer
23406773,"Molecular pathways: Jak/STAT pathway: mutations, inhibitors, and resistance.",Clinical cancer research : an official journal of the American Association for Cancer Research,2013,Ruxolitinib,Pancreatic Cancer
