pmid,title,journal,year,drug,disease
40733703,COVID-19 Vaccine Response in Allo-HSCT Recipients: Insights from a Real-World Prospective Cohort Study.,Vaccines,2025,Ruxolitinib,SARS-CoV-2
40700055,Pharmacological Immunomodulation via Collagen-Polyvinylpyrrolidone or Pirfenidone Plays a Role in the Recovery of Patients with Severe COVID-19 Through Similar Mechanisms of Action Involving the JAK/STAT Signalling Pathway: A Pilot Study.,Advances in respiratory medicine,2025,Ruxolitinib,SARS-CoV-2
40575972,Successful salvage therapy of ruxolitinib on interstitial pneumonia after long COVID or post-COVID-19 syndrome with follicular lymphoma: two case reports and literature review.,Chinese clinical oncology,2025,Ruxolitinib,SARS-CoV-2
40575645,COVID-19 management in patients with comorbid conditions.,World journal of virology,2025,Ruxolitinib,SARS-CoV-2
40488888,Wells syndrome: emerging triggers and treatments- an updated systematic review.,Archives of dermatological research,2025,Ruxolitinib,SARS-CoV-2
40378861,Effects of Janus kinase inhibitors in adults admitted to hospital due to COVID-19: a systematic review and individual participant data meta-analysis of randomised clinical trials.,The Lancet. Respiratory medicine,2025,Ruxolitinib,SARS-CoV-2
40318419,Interference between SARS-CoV-2 and influenza B virus during coinfection is mediated by induction of specific interferon responses in the lung epithelium.,Virology,2025,Ruxolitinib,SARS-CoV-2
40197709,Ruxolitinib for Emergency Treatment of COVID-19-Associated Cytokine Storm: Findings From an Expanded Access Study.,The clinical respiratory journal,2025,Ruxolitinib,SARS-CoV-2
40100484,Drug repositioning as a promising approach for the eradication of emerging and re-emerging viral agents.,Molecular diversity,2025,Ruxolitinib,SARS-CoV-2
39937571,Examining the feasibility of replacing ORF3a with fluorescent genes to construct SARS-CoV-2 reporter viruses.,The Journal of general virology,2025,Ruxolitinib,SARS-CoV-2
39737903,Antibodies to the RBD of SARS-CoV-2 spike mediate productive infection of primary human macrophages.,Nature communications,2024,Ruxolitinib,SARS-CoV-2
39214573,Cavitary lung lesions caused by Pneumocystis jirovecii in a patient with myelofibrosis on ruxolitinib.,BMJ case reports,2024,Ruxolitinib,SARS-CoV-2
39100065,Miliary TB and COVID-19 Coinfection in a Patient With a History of Post-polycythemia Vera Myelofibrosis Treated With Ruxolitinib: A Case Report.,Cureus,2024,Ruxolitinib,SARS-CoV-2
