PMID,Title,Journal,Year
40918811,Cardiovascular Benefits of Glucagon-Like Peptide-1 (GLP-1) Receptor Agonists in Type 2 Diabetes Mellitus With Atherosclerotic Cardiovascular Disease: A Systematic Review of Randomized Controlled Trials.,Cureus,2025
40912924,Real-World Prescribing of Renal and Cardiovascular Protective Drugs in Patients With Type 2 Diabetes and Chronic Kidney Disease: Analysis of Data From a Western Australian Quaternary Hospital.,"Heart, lung & circulation",2025
40904035,The multifaceted effects of semaglutide: exploring its broad therapeutic applications.,Future science OA,2025
40855623,"Burden of obesity in patients undergoing dialysis, and hopes associated with semaglutide treatment for transplant listing: An interview study.","Diabetes, obesity & metabolism",2025
40837607,Effectiveness of Sodium-Glucose Transporter 2 Inhibitors and Semaglutide on Body Composition in Type 2 Diabetes Mellitus and Chronic Kidney Disease: A Real-World Cohort Study with Bioelectrical Impedance Analysis.,"Diabetes, metabolic syndrome and obesity : targets and therapy",2025
40829258,"Immunomodulatory effects of anti-diabetic therapies: Cytokine and chemokine modulation by metformin, sodium-glucose cotransporter 2 inhibitors, and glucagon-like peptide-1 receptor agonists (2013-2025).",European journal of medicinal chemistry,2025
40733151,Long-Term Effect of Semaglutide on the Glomerular Filtration Rate Slope in High-Risk Patients with Diabetic Nephropathy: Analysis in Real-World Clinical Practice.,Pharmaceutics,2025
40730031,Effects of Semaglutide With or Without Concomitant Mineralocorticoid Receptor Antagonist Use in Participants With Type 2 Diabetes and Chronic Kidney Disease: A FLOW Trial Prespecified Secondary Analysis.,Diabetes care,2025
40726451,"The Steno 1 study: Multifactorial intervention to reduce cardiovascular disease in type 1 diabetes-rationale and protocol of the prospective, randomized, open-labelled multicentre study.","Diabetes, obesity & metabolism",2025
40719700,Closing Gaps in Chronic Kidney Disease Detection: Evaluating At-Home Targeted Testing in a Safety-Net Population.,Journal of primary care & community health,2025
40701338,Comprehensive Access to Semaglutide: Clinical and Economic Implications for Medicare.,Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research,2025
40660809,Expert Perspectives on Incorporating GLP-1 RA in Diabetes and Chronic Kidney Disease - Challenges and Opportunities.,European journal of preventive cardiology,2025
40650024,Obesity-Related Glomerulosclerosis-How Adiposity Damages the Kidneys.,International journal of molecular sciences,2025
40628673,Effectiveness of semaglutide on survival outcomes in patients with type 2 diabetes and chronic kidney disease.,Open heart,2025
40608494,"Rationale, design and baseline characteristics of REMODEL, a mechanism-of-action trial with semaglutide in people with type 2 diabetes and chronic kidney disease.","Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",2025
40605133,Incretin-based therapy: An update focusing on the major revolution in cardiovascular-kidney-metabolic health.,Journal of the Chinese Medical Association : JCMA,2025
40536520,Semaglutide versus other GLP-1 receptor agonists in patients with MASLD.,Hepatology communications,2025
40510603,"Utilization Trends of Dual GIP/GLP-1 Receptor Agonist, Newer Glucose-Lowering Medications, and Anti-Obesity Medications Among Patients With Chronic Kidney Disease With and Without Type 2 Diabetes.",Kidney medicine,2025
40502555,Real-world comparative outcomes of GLP-1 RA and semaglutide prescription among individuals with type 2 diabetes.,medRxiv : the preprint server for health sciences,2025
40496391,Finerenone and semaglutide: Role in heart failure with reduced ejection fraction.,World journal of cardiology,2025
