PMID,Title,Journal,Year
40903861,Weight loss interventions and obesity-associated cancers in people with type 2 diabetes and overweight/obesity: A real-world observational study.,"Diabetes, obesity & metabolism",2025
40805859,Evaluation of Pre-Treatment Assessment of Semaglutide Users: Balancing the Benefits of Weight Loss vs. Potential Health Consequences.,"Healthcare (Basel, Switzerland)",2025
40701453,Cancer prevention and interception with antidiabetic and anti-obesity drugs: Current and future perspectives.,Seminars in cancer biology,2025
40361517,Survival Benefits of GLP-1 Receptor Agonists in Patients with Neuroendocrine Neoplasms: A Large-Scale Propensity-Matched Cohort Study.,Cancers,2025
40196933,"Real-world evidence on the utilization, clinical and comparative effectiveness, and adverse effects of newer GLP-1RA-based weight-loss therapies.","Diabetes, obesity & metabolism",2025
40094000,Incretin triple agonist retatrutide (LY3437943) alleviates obesity-associated cancer progression.,npj metabolic health and disease,2025
39828692,The GLP-1R agonist semaglutide reshapes pancreatic cancer associated fibroblasts reducing collagen proline hydroxylation and favoring T lymphocyte infiltration.,Journal of experimental & clinical cancer research : CR,2025
39777709,Prognostic impact of glucagon-like peptide-1 receptor (GLP1R) expression on cancer survival and its implications for GLP-1R agonist therapy: an integrative analysis across multiple tumor types.,GeroScience,2025
39665969,GLP-1R agonist promotes proliferation of neuroendocrine neoplasm cells expressing GLP-1 receptors.,Surgery,2025
31985950,Roux-en-Y Gastric Bypass.,,2025
39309109,Non-functional alpha-cell hyperplasia with glucagon-producing NET: a case report.,Frontiers in endocrinology,2024
38943656,A real-world disproportionality analysis of semaglutide: Post-marketing pharmacovigilance data.,Journal of diabetes investigation,2024
37531876,Semaglutide and cancer: A systematic review and meta-analysis.,Diabetes & metabolic syndrome,2023
37047163,Systematic Review and Meta-Analysis of the Impact of Bariatric Surgery on Future Cancer Risk.,International journal of molecular sciences,2023
36977858,Glucagon-like peptide 1 receptor agonists and the potential risk of pancreatic carcinoma: a pharmacovigilance study using the FDA Adverse Event Reporting System and literature visualization analysis.,International journal of clinical pharmacy,2023
36386208,GLP-1 receptor agonist-associated tumor adverse events: A real-world study from 2004 to 2021 based on FAERS.,Frontiers in pharmacology,2022
35266164,"Review article: role of glucagon-like peptide-1 receptor agonists in non-alcoholic steatohepatitis, obesity and diabetes-what hepatologists need to know.",Alimentary pharmacology & therapeutics,2022
34305810,Safety of Semaglutide.,Frontiers in endocrinology,2021
32720500,Pancreatitis and pancreatic cancer in patients with type 2 diabetes treated with glucagon-like peptide-1 receptor agonists: an updated meta-analysis of randomized controlled trials.,Minerva endocrinology,2023
31422062,"Cardiovascular, mortality, and kidney outcomes with GLP-1 receptor agonists in patients with type 2 diabetes: a systematic review and meta-analysis of cardiovascular outcome trials.",The lancet. Diabetes & endocrinology,2019
