pmid,title,journal,year,drug,disease
40487942,"Simvastatin inhibits proliferation and migration, promotes oxidative stress and ferroptosis in colon cancer.",World journal of gastrointestinal oncology,2025,Simvastatin,Colon Cancer
39948102,Disulfidptosis links the pathophysiology of ulcerative colitis and immune infiltration in colon adenocarcinoma.,Scientific reports,2025,Simvastatin,Colon Cancer
38923428,Induction of resistance to neurotrophic tropomyosin-receptor kinase inhibitors by HMGCS2 via a mevalonate pathway.,Cancer medicine,2024,Simvastatin,Colon Cancer
38748226,Repurposing simvastatin in cancer treatment: an updated review on pharmacological and nanotechnological aspects.,Naunyn-Schmiedeberg's archives of pharmacology,2024,Simvastatin,Colon Cancer
38444002,Immuno-oncological effects of standard anticancer agents and commonly used concomitant drugs: an in vitro assessment.,BMC pharmacology & toxicology,2024,Simvastatin,Colon Cancer
37974278,Simvastatin induces pyroptosis via ROS/caspase-1/GSDMD pathway in colon cancer.,Cell communication and signaling : CCS,2023,Simvastatin,Colon Cancer
37172710,Modulators of cellular cholesterol homeostasis as antiproliferative and model membranes perturbing agents.,Biochimica et biophysica acta. Biomembranes,2023,Simvastatin,Colon Cancer
36703094,Repositioning of simvastatin for diabetic colon cancer: role of CDK4 inhibition and apoptosis.,Molecular and cellular biochemistry,2023,Simvastatin,Colon Cancer
36083294,"Biochemistry and Nanomechanical Properties of Human Colon Cells upon Simvastatin, Lovastatin, and Mevastatin Supplementations: Raman Imaging and AFM Studies.",The journal of physical chemistry. B,2022,Simvastatin,Colon Cancer
36066384,Assessment in vitro of interactions between anti-cancer drugs and noncancer drugs commonly used by cancer patients.,Anti-cancer drugs,2023,Simvastatin,Colon Cancer
36015162,HMG-CoA Reductase Inhibitor Statins Activate the Transcriptional Activity of p53 by Regulating the Expression of TAZ.,"Pharmaceuticals (Basel, Switzerland)",2022,Simvastatin,Colon Cancer
