pmid,title,journal,year,drug,disease
40711038,Liraglutide Attenuates Atorvastatin-Induced Hepatotoxicity by Restoring GLP-1R Expression and Activating Nrf2 and Autophagy Pathways in Wistar Rats.,Toxics,2025,Simvastatin,Coronary Artery Disease
40297930,Impacts of Pharmacokinetic Gene Polymorphisms on Steady-State Plasma Concentrations of Simvastatin in Thai Population.,Clinical and translational science,2025,Simvastatin,Coronary Artery Disease
39180473,Influence of Simvastatin and Pravastatin on the Biophysical Properties of Model Lipid Bilayers and Plasma Membranes of Live Cells.,ACS biomaterials science & engineering,2024,Simvastatin,Coronary Artery Disease
38525632,Dyslipidaemia in patients with chronic kidney disease - a neglected cardiovascular risk factor.,South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde,2023,Simvastatin,Coronary Artery Disease
28613690,Statin Medications.,,2025,Simvastatin,Coronary Artery Disease
38388189,Skeletal muscle mitochondrial capacity in patients with statin-associated muscle symptoms (SAMS).,Open heart,2024,Simvastatin,Coronary Artery Disease
38373851,Long-term cardiovascular risks and the impact of statin treatment on socioeconomic inequalities: a microsimulation model.,The British journal of general practice : the journal of the Royal College of General Practitioners,2024,Simvastatin,Coronary Artery Disease
38018702,HMG CoA reductase inhibitors (statins) for people with chronic kidney disease not requiring dialysis.,The Cochrane database of systematic reviews,2023,Simvastatin,Coronary Artery Disease
37546064,A Retrospective Study on the Adoption of Lipid Management Guidelines in Post-Myocardial Infarction Patients in a Tertiary Care Centre.,Cureus,2023,Simvastatin,Coronary Artery Disease
37475081,[Intervention effect of Chuanxiong-Chishao herb pair on circRNA/lncRNA expression profile in a myocardial infarction-atherosclerosis model].,Zhongguo Zhong yao za zhi = Zhongguo zhongyao zazhi = China journal of Chinese materia medica,2023,Simvastatin,Coronary Artery Disease
37400395,[Statin-related drug-induced liver injury].,Zhonghua gan zang bing za zhi = Zhonghua ganzangbing zazhi = Chinese journal of hepatology,2023,Simvastatin,Coronary Artery Disease
36874039,Ethnicity based differences in statin use and hypercholesterolemia control among patients with premature coronary artery disease-results of I-PAD study.,International journal of cardiology. Cardiovascular risk and prevention,2023,Simvastatin,Coronary Artery Disease
36763180,Benefit of Combination Ezetimibe/Simvastatin Among High-Risk Populations: Lessons from the IMPROVE-IT Trial.,Current atherosclerosis reports,2023,Simvastatin,Coronary Artery Disease
34910821,Psychological and pharmacological interventions for depression in patients with coronary artery disease.,The Cochrane database of systematic reviews,2021,Simvastatin,Coronary Artery Disease
34785535,Haptoglobin Phenotype Modifies the Effect of Fenofibrate on Risk of Coronary Event: ACCORD Lipid Trial.,Diabetes care,2022,Simvastatin,Coronary Artery Disease
34383728,Hepatotoxicity Induced by Fluvastatin: A Reversible Acute Cholestatic Liver Injury.,The American journal of case reports,2021,Simvastatin,Coronary Artery Disease
34363016,Genetic testing in ambulatory cardiology clinics reveals high rate of findings with clinical management implications.,Genetics in medicine : official journal of the American College of Medical Genetics,2021,Simvastatin,Coronary Artery Disease
33758291,Similar major cardiovascular outcomes between pure statin and ezetimibe-statin in comparable intensity for type 2 diabetes with extremely atherosclerotic risks.,Scientific reports,2021,Simvastatin,Coronary Artery Disease
