pmid,title,journal,year,drug,disease
40678261,Mevalonate pathway-triggered phase transition of injectable hydrogel for cholesterol-downregulated therapy of osteoarthritis.,Bioactive materials,2025,Simvastatin,Osteoarthritis
38648228,Assessing the causal associations of different types of statins use and knee/hip osteoarthritis: A Mendelian randomization study.,PloS one,2024,Simvastatin,Osteoarthritis
38570925,Potential Benefits of Statin Therapy in Reducing Osteoarthritis Risk: A Mendelian Randomization Study.,Arthritis care & research,2024,Simvastatin,Osteoarthritis
38156385,Bioinformatics and system biology analysis revealed the crosstalk between COVID-19 and osteoarthritis.,"Immunity, inflammation and disease",2023,Simvastatin,Osteoarthritis
36506528,The association between statin use and osteoarthritis-related outcomes: An updated systematic review and meta-analysis.,Frontiers in pharmacology,2022,Simvastatin,Osteoarthritis
36159664,Simvastatin and fluvastatin attenuate trauma-induced cell death and catabolism in human cartilage.,Frontiers in bioengineering and biotechnology,2022,Simvastatin,Osteoarthritis
35983393,Evaluation of the Antinociceptive Action of Simvastatin in Mice.,Cureus,2022,Simvastatin,Osteoarthritis
35894149,Therapeutic effects of statins on osteoarthritis: A review.,Journal of cellular biochemistry,2022,Simvastatin,Osteoarthritis
34666502,Ultrasound-targeted simvastatin-loaded microbubble destruction promotes OA cartilage repair by modulating the cholesterol efflux pathway mediated by PPARgamma in rabbits.,Bone & joint research,2021,Simvastatin,Osteoarthritis
33403020,"Statins, bone biology and revision arthroplasty: review of clinical and experimental evidence.",Therapeutic advances in musculoskeletal disease,2020,Simvastatin,Osteoarthritis
33060739,Effect of high fat diet and excessive compressive mechanical force on pathologic changes of temporomandibular joint.,Scientific reports,2020,Simvastatin,Osteoarthritis
32706497,Simvastatin abolishes nitric oxide- and reactive oxygen species-induced cyclooxygenase-2 expression by blocking the nuclear factor kappaB pathway in rabbit articular chondrocytes.,Cell biology international,2020,Simvastatin,Osteoarthritis
31768968,Targeted Drug Delivery from Titanium Implants: A Review of Challenges and Approaches.,Advances in experimental medicine and biology,2020,Simvastatin,Osteoarthritis
31542485,Simvastatin induces differentiation in rabbit articular chondrocytes via Wnt/beta-catenin pathway.,European journal of pharmacology,2019,Simvastatin,Osteoarthritis
