pmid,title,journal,year,drug,disease
40501736,Statin-dye conjugates for selective targeting of KRAS mutant cancer cells.,bioRxiv : the preprint server for biology,2025,Simvastatin,Pancreatic Cancer
40298778,"A Study of Antioxidant, Antihyperlipidemic, and Anti-Glycation Effects of Alkylsulfonic Acids with Quinobenzothiazinyl Substituents: In Vitro and In Silico Investigations.","Antioxidants (Basel, Switzerland)",2025,Simvastatin,Pancreatic Cancer
39565443,Targeting the mevalonate pathway enhances the efficacy of 5-fluorouracil by regulating pyroptosis.,"Medical oncology (Northwood, London, England)",2024,Simvastatin,Pancreatic Cancer
39544235,"Comparative efficacy, toxicity, and insulin-suppressive effects of simvastatin and pravastatin in fatty acid-challenged mouse insulinoma MIN6 beta-cell model.",Frontiers in endocrinology,2024,Simvastatin,Pancreatic Cancer
39300376,Randomized phase 2 study of valproic acid combined with simvastatin and gemcitabine/nab-paclitaxel-based regimens in untreated metastatic pancreatic adenocarcinoma patients: the VESPA trial study protocol.,BMC cancer,2024,Simvastatin,Pancreatic Cancer
39262466,Exploring the therapeutic potential of simvastatin in pancreatic neuroendocrine neoplasms: insights into cell cycle regulation and apoptosis.,Translational cancer research,2024,Simvastatin,Pancreatic Cancer
37926727,Statins abrogate gemcitabine-induced PD-L1 expression in pancreatic cancer-associated fibroblasts and cancer cells with improved therapeutic outcome.,"Cancer immunology, immunotherapy : CII",2023,Simvastatin,Pancreatic Cancer
37752238,Low dosage combination treatment with metformin and simvastatin inhibits obesity-promoted pancreatic cancer development in male KrasG12D mice.,Scientific reports,2023,Simvastatin,Pancreatic Cancer
37293171,Statins exert anti-growth effects by suppressing YAP/TAZ expressions via JNK signal activation and eliminate the immune suppression by downregulating PD-L1 expression in pancreatic cancer.,American journal of cancer research,2023,Simvastatin,Pancreatic Cancer
36915729,A bioinformatics approach to identifying the biomarkers and pathogenesis of major depressive disorder combined with acute myocardial infarction.,American journal of translational research,2023,Simvastatin,Pancreatic Cancer
36590644,Novel DZ-SIM Conjugate Targets Cancer Mitochondria and Prolongs Survival in Pancreatic Ductal Adenocarcinoma.,Advanced therapeutics,2022,Simvastatin,Pancreatic Cancer
36422538,Simvastatin Attenuated Tumor Growth in Different Pancreatic Tumor Animal Models.,"Pharmaceuticals (Basel, Switzerland)",2022,Simvastatin,Pancreatic Cancer
36313271,Statins Inhibit Inflammatory Cytokine Production by Macrophages and Acinar-to-Ductal Metaplasia of Pancreatic Cells.,Gastro hep advances,2022,Simvastatin,Pancreatic Cancer
35599097,"Corrigendum to ""Simvastatin attenuates macrophage-mediated gemcitabine resistance of pancreatic ductal adenocarcinoma by regulating the TGF-beta1/Gfi-1"" [Canc. Lett. 385 (2017) 65-74].",Cancer letters,2022,Simvastatin,Pancreatic Cancer
35272688,Subtypes in pancreatic ductal adenocarcinoma based on niche factor dependency show distinct drug treatment responses.,Journal of experimental & clinical cancer research : CR,2022,Simvastatin,Pancreatic Cancer
34207840,Comparison of Transcriptomic Profiles of MiaPaCa-2 Pancreatic Cancer Cells Treated with Different Statins.,"Molecules (Basel, Switzerland)",2021,Simvastatin,Pancreatic Cancer
