pmid,title,journal,year,drug,disease
40482451,Neuroinflammation to neurodegeneration: Boulevard of broken nerves.,International immunopharmacology,2025,Simvastatin,Parkinson's
39837893,A network-based systems genetics framework identifies pathobiology and drug repurposing in Parkinson's disease.,NPJ Parkinson's disease,2025,Simvastatin,Parkinson's
39704877,HMG-CoA reductase inhibitor simvastatin ameliorates trimethyltin neurotoxicity and cognitive impairment through reversal of Alzheimer's-associated markers.,Metabolic brain disease,2024,Simvastatin,Parkinson's
39483867,A network-based systems genetics framework identifies pathobiology and drug repurposing in Parkinson's disease.,Research square,2024,Simvastatin,Parkinson's
37513826,The Potential Therapeutic Application of Simvastatin for Brain Complications and Mechanisms of Action.,"Pharmaceuticals (Basel, Switzerland)",2023,Simvastatin,Parkinson's
37507992,"Interactions between Angiotensin Type-1 Antagonists, Statins, and ROCK Inhibitors in a Rat Model of L-DOPA-Induced Dyskinesia.","Antioxidants (Basel, Switzerland)",2023,Simvastatin,Parkinson's
37445592,Repurposing Simvastatin in Parkinson's Disease Model: Protection Is throughout Modulation of the Neuro-Inflammatory Response in the Substantia nigra.,International journal of molecular sciences,2023,Simvastatin,Parkinson's
37057874,Caffeine Supplementation and FOXM1 Inhibition Enhance the Antitumor Effect of Statins in Neuroblastoma.,Cancer research,2023,Simvastatin,Parkinson's
36315128,Evaluation of Simvastatin as a Disease-Modifying Treatment for Patients With Parkinson Disease: A Randomized Clinical Trial.,JAMA neurology,2022,Simvastatin,Parkinson's
36117917,Altered levels of variant cholinesterase transcripts contribute to the imbalanced cholinergic signaling in Alzheimer's and Parkinson's disease.,Frontiers in molecular neuroscience,2022,Simvastatin,Parkinson's
35488520,Nurr1 Modulation Mediates Neuroprotective Effects of Statins.,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2022,Simvastatin,Parkinson's
35466954,Challenges of Incorporating Digital Health Technology Outcomes in a Clinical Trial: Experiences from PD STAT.,Journal of Parkinson's disease,2022,Simvastatin,Parkinson's
35466952,Enhancing Trial Delivery in Parkinson's Disease: Qualitative Insights from PD STAT.,Journal of Parkinson's disease,2022,Simvastatin,Parkinson's
34620071,BAPST. A Combo of Common Use Drugs as Metabolic Therapy for Cancer: A Theoretical Proposal.,Current molecular pharmacology,2022,Simvastatin,Parkinson's
33735898,Simvastatin Prevents Neurodegeneration in the MPTP Mouse Model of Parkinson's Disease via Inhibition of A1 Reactive Astrocytes.,Neuroimmunomodulation,2021,Simvastatin,Parkinson's
32715657,A Parkinson's disease CircRNAs Resource reveals a link between circSLC8A1 and oxidative stress.,EMBO molecular medicine,2020,Simvastatin,Parkinson's
32220093,Progressive Supranuclear Palsy and Statin Use.,Movement disorders : official journal of the Movement Disorder Society,2020,Simvastatin,Parkinson's
32016638,Simvastatin Improves Behavioral Disorders and Hippocampal Inflammatory Reaction by NMDA-Mediated Anti-inflammatory Function in MPTP-Treated Mice.,Cellular and molecular neurobiology,2020,Simvastatin,Parkinson's
31594876,"Simvastatin as a neuroprotective treatment for Parkinson's disease (PD STAT): protocol for a double-blind, randomised, placebo-controlled futility study.",BMJ open,2019,Simvastatin,Parkinson's
31493240,Lipid Analysis of the 6-Hydroxydopamine-Treated SH-SY5Y Cell Model for Parkinson's Disease.,Molecular neurobiology,2020,Simvastatin,Parkinson's
31311324,NEAT1 is overexpressed in Parkinson's disease substantia nigra and confers drug-inducible neuroprotection from oxidative stress.,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,2019,Simvastatin,Parkinson's
31098725,Assessment of plasma creatine kinase as biomarker for levodopa-induced dyskinesia in Parkinson's disease.,"Journal of neural transmission (Vienna, Austria : 1996)",2019,Simvastatin,Parkinson's
30769001,Rho-inhibition and neuroprotective effect on rotenone-treated dopaminergic neurons in vitro.,Neurotoxicology,2019,Simvastatin,Parkinson's
30513525,Simvastatin Protects Dopaminergic Neurons Against MPP+-Induced Oxidative Stress and Regulates the Endogenous Anti-Oxidant System Through ERK.,"Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology",2018,Simvastatin,Parkinson's
29872377,Simvastatin Inhibits Activation of NADPH Oxidase/p38 MAPK Pathway and Enhances Expression of Antioxidant Protein in Parkinson Disease Models.,Frontiers in molecular neuroscience,2018,Simvastatin,Parkinson's
29145202,Exploring the Association between Statin Use and the Risk of Parkinson's Disease: A Meta-Analysis of Observational Studies.,Neuroepidemiology,2017,Simvastatin,Parkinson's
29036837,"Simvastatin as a Potential Disease-Modifying Therapy for Patients with Parkinson's Disease: Rationale for Clinical Trial, and Current Progress.",Journal of Parkinson's disease,2017,Simvastatin,Parkinson's
28758631,Statins are ineffective at reducing neuroinflammation or prolonging survival in scrapie-infected mice.,The Journal of general virology,2017,Simvastatin,Parkinson's
28019662,Simvastatin is associated with decreased risk of Parkinson disease.,Annals of neurology,2017,Simvastatin,Parkinson's
