PMID,Title,Journal,Year
40937082,Characteristics of a Chinese Cohort of Patients with Chronic Hepatitis C Infection (2019-2023) and a Case Report of Resistance-associated Substitutions to Sofosbuvir-velpatasvir Treatment.,Journal of clinical and translational hepatology,2025
40922704,Efficacy and Safety of Velpatasvir Plus Sofosbuvir With or Without Ribavirin in Hepatitis C Patients With Decompensated Cirrhosis: A Systematic Review and Meta-Analysis.,Journal of viral hepatitis,2025
40913403,Trends in Use of Direct-Acting Antivirals for Treatment of Hepatitis C Virus Infection in Australia 2016-2024.,Journal of viral hepatitis,2025
40913386,"Pharmacokinetics, Safety, Efficacy and Acceptability of Daclatasvir Plus Sofosbuvir in Young Children With Chronic HCV Infection.",Liver international : official journal of the International Association for the Study of the Liver,2025
40897738,Normalization of serum alpha fetoprotein after direct acting antivirals in hepatitis C patients lowers hepatocellular carcinoma risk.,Scientific reports,2025
29999978,Voxilaprevir.,,2006
29999897,Velpatasvir.,,2006
29999881,Ledipasvir.,,2006
29999877,Daclatasvir.,,2006
29999876,Dasabuvir.,,2006
40795873,Sofosbuvir/Velpatasvir Concentrations in the Breastmilk of Postpartum Women with Opioid Use Disorder Receiving Treatment for Hepatitis C Virus: a pharmacokinetic study.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2025
40733566,Real-World Treatment Efficacy and Safety Profile of Sofosbuvir- and Velpatasvir-Based HCV Treatment in South Korea: Multicenter Prospective Study.,Viruses,2025
40733548,Evaluation of Treatment Response in Chronic Hepatitis C Patients Receiving Sofosbuvir/Velpatasvir/Voxilaprevir: A Multicenter Real-World Experience from Turkiye.,Viruses,2025
40729116,Changes in liver stiffness measurements following hepatitis C sustained virologic response among Alaska Native adults treated with sofosbuvir-based direct acting anti-viral therapy.,International journal of circumpolar health,2025
40718206,Hepatitis C Virus Cascade of Care After the Introduction of Direct-Acting Antiviral Medications in Suriname.,Cureus,2025
40703894,An unusual survival for 6.5 years with end-stage hepatitis C related advanced liver cirrhosis following sustained virologic response with direct antiviral agents - A case report from A low-resource setting.,Nigerian medical journal : journal of the Nigeria Medical Association,2025
40703303,"Efficacy and safety of sofosbuvir plus daclatasvir in hemodialysis patients with genotype 1b or 2a hepatitis C virus infection: a single-arm, prospective real-world study.",Frontiers in medicine,2025
40682422,CHIME: Sofosbuvir/Velpatasvir (S/V) for the Treatment of HCV Infection Among Vulnerable Inner-City Residents.,Journal of viral hepatitis,2025
40611935,Impact of Resistance Associated Substitutions and Predictors of Treatment Failure Following Direct-acting Antiviral Therapy in a Viral Hepatitis C Elimination Cohort.,Journal of clinical and experimental hepatology,2025
40578045,"A decentralized point of service triple prevention and treatment model for hepatitis B, C and HIV in people who inject drugs in South Africa.",The International journal on drug policy,2025
