PMID,Title,Journal,Year
40703894,An unusual survival for 6.5 years with end-stage hepatitis C related advanced liver cirrhosis following sustained virologic response with direct antiviral agents - A case report from A low-resource setting.,Nigerian medical journal : journal of the Nigeria Medical Association,2025
39350869,Effectiveness of Ledipasvir-Sofosbuvir 12 Weeks After Hepatitis C Virus Genotype 1 Infection and the Factors Associated With Sustained Virologic Response: A Retrospective Study.,Cureus,2024
38725207,Prevalence of Hepatitis C Virus Infection and Efficacy of Sofosbuvir-Velpatasvir and Sofosbuvir-Daclatasvir Treatment Regimens in End-stage Renal Disease Patients on Maintenance Hemodialysis.,"Saudi journal of kidney diseases and transplantation : an official publication of the Saudi Center for Organ Transplantation, Saudi Arabia",2023
38392918,Updated Clinical Guidelines on the Management of Hepatitis C Infection in Children.,"Pathogens (Basel, Switzerland)",2024
38264764,Hepatitis C virus point-of-care microelimination approach in a vulnerable population in the South of Spain.,Gastroenterology report,2024
37868481,Sofosbuvir and Velpatasvir Regimen Outcome for Chronic Hepatitis C Patients With End-Stage Renal Disease Undergoing Hemodialysis.,Cureus,2023
37482846,Cardiovascular Risk Assessment After Sofosbuvir And Daclatasvir Regimen For Chronic Hepatitis C Virus Infection.,JPMA. The Journal of the Pakistan Medical Association,2023
37482845,Evaluation Of Left Ventricular Function After Sofosbuvir And Daclatasvir Regimen For Chronic Hepatitis C.,JPMA. The Journal of the Pakistan Medical Association,2023
37389016,The SHELTER Trial of Transplanting Hepatitis C Virus-Infected Lungs Into Uninfected Recipients.,Transplantation direct,2023
37243512,Significance of portal venous blood flow as a factor to determine liver function in patients with decompensated cirrhosis due to hepatitis C virus infection following achievement of sustained viral response by sofosbuvir plus velpatasvir.,Hepatology research : the official journal of the Japan Society of Hepatology,2023
36729172,Short-term hepatocyte function and portal hypertension outcomes of sofosbuvir/velpatasvir for decompensated hepatitis C-related cirrhosis.,Journal of gastroenterology,2023
36263536,"Distribution of chronic hepatitis C genotype and evaluation of clinical factors affecting direct-acting antiviral treatment responses in the Western Black Sea Region, Turkey.",European review for medical and pharmacological sciences,2022
35571427,Sofosbuvir and ledipasvir decreased nephrotic syndrome caused by IgA nephropathy with a membranoproliferative pattern of injury in hepatitis C virus-induced cirrhosis: a case report.,Annals of translational medicine,2022
35538812,Comparative Real Life Egyptian Experience of the Combination of Sofosbuvir Plus Daclatasvir or Simeprevir for 12 Weeks in Naive Cirrhotic Patients Infected with HCV Genotype 4.,Current drug safety,2023
35535108,Changes in Serum Interferon Gamma and Interleukin-10 in Relation to Direct-Acting Antiviral Therapy of Chronic Hepatitis C Genotype 4: A Pilot Study.,Journal of clinical and experimental hepatology,2022
35248213,Safety and efficacy of sofosbuvir-velpatasvir to treat chronic hepatitis C virus infection in treatment-naive patients in Rwanda (SHARED-3): a single-arm trial.,The lancet. Gastroenterology & hepatology,2022
35248212,Safety and efficacy of sofosbuvir-velpatasvir-voxilaprevir for re-treatment of chronic hepatitis C virus infection in patients with previous direct-acting antiviral treatment failure in Rwanda (SHARED-3): a single-arm trial.,The lancet. Gastroenterology & hepatology,2022
35126848,Direct-acting antivirals for chronic hepatitis C treatment: The experience of two tertiary university centers in Brazil.,World journal of hepatology,2022
35110949,Outreach onsite treatment with a simplified pangenotypic direct-acting anti-viral regimen for hepatitis C virus micro-elimination in a prison.,World journal of gastroenterology,2022
34759209,"Sofosbuvir-based antiviral therapy provided highly treatment efficacy, safety, and good tolerability for Taiwanese chronic hepatitis C patients with decompensated cirrhosis.",Journal of the Chinese Medical Association : JCMA,2022
