PMID,Title,Journal,Year
38164272,Long-Term Survival and Cancer Risk in the Hepatitis C Virus-Infected Patients After Antiviral Treatment: A Nationwide Cohort Study.,Journal of Cancer,2024
36709977,Cardiac toxicity associated with pharmacokinetic drug-drug interaction between crizotinib and sofosbuvir/velpatasvir: A case report.,British journal of clinical pharmacology,2023
36323770,Discovery of SARS-CoV-2 antiviral synergy between remdesivir and approved drugs in human lung cells.,Scientific reports,2022
33903110,Overcoming Culture Restriction for SARS-CoV-2 in Human Cells Facilitates the Screening of Compounds Inhibiting Viral Replication.,Antimicrobial agents and chemotherapy,2021
33655714,Factors associated with treatment failure of direct-acting antivirals for chronic hepatitis C: A real-world nationwide hepatitis C virus registry programme in Taiwan.,Liver international : official journal of the International Association for the Study of the Liver,2021
31407252,Extrahepatic Malignancies After Treatment with Direct Antiviral Agents for Chronic HCV Infection.,Journal of gastrointestinal cancer,2020
30946553,Heart and Lung Transplants from HCV-Infected Donors to Uninfected Recipients.,The New England journal of medicine,2019
29510685,Case report: 8 years after liver transplantation: de novo hepatocellular carcinoma 8 months after HCV clearance through IFN-free antiviral therapy.,BMC cancer,2018
29406396,Safety and efficacy of anti-PD-1 therapy for metastatic melanoma and non-small-cell lung cancer in patients with viral hepatitis: a case series.,Melanoma research,2018
29197145,Long-term follow-up of ribavirin-free DAA-based treatment in HCV recurrence after orthotopic liver transplantation.,Liver international : official journal of the International Association for the Study of the Liver,2018
26841930,Ledipasvir/sofosbuvir fixed-dose combination tablet in Taiwanese patients with chronic genotype 1 hepatitis C virus.,Journal of gastroenterology and hepatology,2016
