PMID,Title,Journal,Year
40539474,Effects of Sofosbuvir/Velpatasvir Therapy on Extrahepatic Manifestations in Patients With Type 2 Diabetes and Chronic Hepatitis C: Insights From a Nationwide Hepatitis C Virus Registry in Taiwan.,The Kaohsiung journal of medical sciences,2025
38977993,Cardiac effects of direct anti-viral treatment in type II diabetic patients with hepatitis C infection.,BMC cardiovascular disorders,2024
36036096,Severe impairment of patient-reported outcomes in patients with chronic hepatitis C virus infection seen in real-world practices across the world: Data from the global liver registry.,Journal of viral hepatitis,2022
35502409,Does Hepatitis C Virus Treatment by Directly Acting Antivirals Obligate Shifting Patients with Type 2 Diabetes from Oral Hypoglycemic Drugs to Insulin Therapy?,"Diabetes, metabolic syndrome and obesity : targets and therapy",2022
34482150,Machine-learning-based predictions of direct-acting antiviral therapy duration for patients with hepatitis C.,International journal of medical informatics,2021
32804853,Impact of sustained virological response on metabolic disorders in diabetic chronic hepatitis C virus patients after treatment with generic sofosbuvir and daclatasvir.,European journal of gastroenterology & hepatology,2021
32686431,The development of type-1 autoimmune hepatitis after chronic hepatitis C (HCV) clearance by direct-acting antivirals (DAA).,Revista espanola de enfermedades digestivas,2020
32489956,Glycemic Control after Initiating Direct-Acting Antiviral Agents in Patients with Hepatitis C Virus and Type 2 Diabetes Mellitus Using the United States Integrated Healthcare System.,Journal of research in pharmacy practice,2020
32438332,Effect of treatment with direct antiviral agents (DAAs) on glycemic control in patients with type 2 diabetes mellitus & hepatitis C virus genotype 4.,Diabetes & metabolic syndrome,2020
32076917,Viral clearance ameliorates hematological and inflammatory markers among diabetic patients infected with hepatitis C genotype 4.,Clinical and experimental medicine,2020
31170218,"Treatment with direct-acting antivirals improves peripheral insulin sensitivity in non-diabetic, lean chronic hepatitis C patients.",PloS one,2019
31146663,Evaluation of Glycated Haemoglobin (HbA1c) Level in Type 2 Diabetic Chronic HCV Non-cirrhotic Treatment-Naive Egyptian Patients Eradicated with Sofosbuvir Plus Daclatasvir.,Current diabetes reviews,2020
31062880,Effectiveness of direct-acting agents for hepatitis C and liver stiffness changing after sustained virological response.,Journal of gastroenterology and hepatology,2019
30375710,"Evaluation of histological dynamics, kidney function and diabetes in liver transplant patients after antiviral treatment with direct-acting antivirals: Therapy of HCV-recurrence.",Transplant infectious disease : an official journal of the Transplantation Society,2019
30310701,Treatment of Chronic Hepatitis C Can Improve Glycemic Control in Patients with Type 2 Diabetes.,Case reports in hepatology,2018
29258547,A preliminary analysis of hepatitis C virus in pancreatic islet cells.,Virology journal,2017
28689598,Treatment of Extrahepatic Manifestations of Hepatitis C Virus.,Clinics in liver disease,2017
28688190,Improvement of glycemic state among responders to Sofosbuvir-based treatment regimens: Single center experience.,Journal of medical virology,2017
28677075,Urticarial Reaction to Ustekinumab During the Treatment of Plaque Psoriasis in a Hepatitis C-Positive Patient.,Drug safety - case reports,2017
27429714,Sofosbuvir/velpatasvir: A promising combination.,World journal of hepatology,2016
