pmid,title,journal,year,drug,disease
40829697,Potency Matters: The Role of Statin Intensity in Modulating Risk for Age-Related Macular Degeneration.,American journal of ophthalmology,2025,Statins,Age-related Macular Degeneration
40733018,The Chemical Stability Characterization and Kinetics of Statins in Aqueous Cyclodextrin Ocular Preparations: A Formulation Perspective.,Pharmaceutics,2025,Statins,Age-related Macular Degeneration
40698099,Assessing the Role of Statins as an Adjunctive Anti-VEGF Therapy for Clinically Significant Macular Edema (CSME) in Type 2 Diabetes Mellitus.,Romanian journal of ophthalmology,2025,Statins,Age-related Macular Degeneration
40512437,[Risk factors for age-related macular degeneration : Lessons learned from current data].,Die Ophthalmologie,2025,Statins,Age-related Macular Degeneration
40494650,Impact of long-term statin therapy on age-related macular degeneration: A nationwide population-based study.,British journal of clinical pharmacology,2025,Statins,Age-related Macular Degeneration
40065587,Atrial Fibrillation as a Predictor of Age-Related Macular Degeneration.,Journal of cardiovascular electrophysiology,2025,Statins,Age-related Macular Degeneration
40029243,Author Response: Unveiling Statins and Genetics in Age-Related Macular Degeneration Progression: What Is the Appropriate Modeling Strategy?,Investigative ophthalmology & visual science,2025,Statins,Age-related Macular Degeneration
39863057,Glucagon-like Peptide-1 Receptor Agonist Impact on Chronic Ocular Disease Including Age-Related Macular Degeneration.,Ophthalmology,2025,Statins,Age-related Macular Degeneration
39792074,Unveiling Statins and Genetics in Age-Related Macular Degeneration Progression: What Is the Appropriate Modeling Strategy?,Investigative ophthalmology & visual science,2025,Statins,Age-related Macular Degeneration
39756691,High-Density Lipoproteins Associated with Age-Related Macular Degeneration in the All of Us Research Program.,Ophthalmology,2025,Statins,Age-related Macular Degeneration
39480573,Atorvastatin Alleviates Age-Related Macular Degeneration via AIM2-Regulated Pyroptosis.,Inflammation,2025,Statins,Age-related Macular Degeneration
38935028,Unveiling Statins and Genetics in Age-Related Macular Degeneration: The Coimbra Eye Study-Report 9.,Investigative ophthalmology & visual science,2024,Statins,Age-related Macular Degeneration
38790923,The Essence of Lipoproteins in Cardiovascular Health and Diseases Treated by Photodynamic Therapy.,Biomedicines,2024,Statins,Age-related Macular Degeneration
38589960,Clinical effects of atorvastatin combined with conbercept in the treatment of patients with macular edema secondary to retinal vein occlusion and carotid plaque: study protocol for a prospective randomized controlled trial.,Trials,2024,Statins,Age-related Macular Degeneration
38461930,Risk Factors for Worsening Morphology and Visual Acuity in Eyes with Adult-Onset Foveomacular Vitelliform Dystrophy.,Ophthalmology. Retina,2024,Statins,Age-related Macular Degeneration
38258115,The Effect of Systemic Parameters and Baseline Characteristics in Short-Term Response Analysis with Intravitreal Ranibizumab in Treatment-Naive Patients with Neovascular Age-Related Macular Degeneration.,Pharmaceutics,2024,Statins,Age-related Macular Degeneration
38153512,Intravitreal ranibizumab injection is associated with an increased risk of chronic kidney disease: a population-based study in Taiwan.,Naunyn-Schmiedeberg's archives of pharmacology,2024,Statins,Age-related Macular Degeneration
37782954,INTERACTIONS OF METFORMIN AND OTHER MEDICATIONS IN REDUCING THE ODDS OF AGE-RELATED MACULAR DEGENERATION IN A COHORT OF PATIENTS WITH DIABETES.,"Retina (Philadelphia, Pa.)",2024,Statins,Age-related Macular Degeneration
37452694,Repurposing medications for treatment of age-related macular degeneration: Insights from novel approaches to data mining.,"Experimental biology and medicine (Maywood, N.J.)",2023,Statins,Age-related Macular Degeneration
37371603,Association between Antihyperlipidemic Agent Use and Age-Related Macular Degeneration in Patients with Hyperlipidemia: A Population-Based Retrospective Cohort Study.,Biomedicines,2023,Statins,Age-related Macular Degeneration
36917316,Effect of statins on the age of onset of age-related macular degeneration.,Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,2023,Statins,Age-related Macular Degeneration
