pmid,title,journal,year,drug,disease
40887236,"[An integrative drug discovery strategy using real-world data, in silico modeling, and network pharmacology].",Nihon yakurigaku zasshi. Folia pharmacologica Japonica,2025,Statins,Breast Cancer
40849858,Drug repurposing in oncology: a path beyond the bottleneck.,"Medical oncology (Northwood, London, England)",2025,Statins,Breast Cancer
40810550,The relationship between statin use and breast cancer risk: NHANES 2003-2016 and Mendelian randomization study.,Expert review of anticancer therapy,2025,Statins,Breast Cancer
40727739,Evaluation of the Antitumor Effectiveness and Toxicity of pH-Sensitive Liposomes Coencapsulating Doxorubicin and Simvastatin in a Murine Breast Cancer Model.,ACS omega,2025,Statins,Breast Cancer
40722632,Effects of Statins on All-Cause Mortality in Patients with Breast Cancer: A Population-Based Study.,Biomedicines,2025,Statins,Breast Cancer
40653311,Rationale and design of the IMProving Adherence to medications for breast Cancer and cardiovascular disease equiTably (IMPACT) randomized clinical trial.,Contemporary clinical trials,2025,Statins,Breast Cancer
40634300,Clinical impact of pharmacogenetic risk variants in a large chinese cohort.,Nature communications,2025,Statins,Breast Cancer
40624206,"Lovastatin inhibits adipocyte-associated increased proliferation, EMT and aggressiveness of breast cancer cells.","Medical oncology (Northwood, London, England)",2025,Statins,Breast Cancer
40620104,Rhabdomyolysis induced by darolutamide and rosuvastatin.,Journal of oncology pharmacy practice : official publication of the International Society of Oncology Pharmacy Practitioners,2025,Statins,Breast Cancer
40613293,Atorvastatin Calcium Enhances Ferroptosis in Breast Cancer Cells Through Mechanisms Involving DECR1.,Frontiers in bioscience (Landmark edition),2025,Statins,Breast Cancer
40521636,Comedications Associated with Immune-Related Adverse Events from Immune-Checkpoint Inhibitors.,Clinical pharmacology and therapeutics,2025,Statins,Breast Cancer
40500317,Statin use and breast cancer-specific mortality and recurrence: a systematic review and meta-analysis including the role of immortal time bias and tumour characteristics.,British journal of cancer,2025,Statins,Breast Cancer
40497992,Lovastatin Targets the USP14-Survivin Axis to Suppress Triple-Negative Breast Cancer via Ubiquitin-Mediated Proteasomal Degradation.,Cells,2025,Statins,Breast Cancer
40484280,Physiologically-based pharmacokinetic modeling of rosuvastatin in Chinese: Predicting the impact of SLCO1B1 and ABCG2 genetic variants and hepatic impairment on drug exposure.,Journal of pharmaceutical sciences,2025,Statins,Breast Cancer
40438592,The role of statins in the regulation of breast and colorectal cancer and future directions.,Frontiers in pharmacology,2025,Statins,Breast Cancer
40430118,Lipid Metabolism and Breast Cancer: A Narrative Review of the Prognostic Implications and Chemotherapy-Induced Dyslipidemia.,"Life (Basel, Switzerland)",2025,Statins,Breast Cancer
40391299,Single-cell and multi-omics integration reveals cholesterol biosynthesis as a synergistic target with HER2 in aggressive breast cancer.,Computational and structural biotechnology journal,2025,Statins,Breast Cancer
40385487,Low-dose statins restore innate immune response in breast cancer cells via suppression of mutant p53.,Frontiers in pharmacology,2025,Statins,Breast Cancer
40378321,Health Maintenance in Postmenopausal Women.,American family physician,2025,Statins,Breast Cancer
40374836,Modulation of HER2 internalization enhances single-dose antibody-drug potency in HER2(+) gastric cancer.,Scientific reports,2025,Statins,Breast Cancer
40364115,Risk Factors and Prevention of Cancer and CVDs: A Chicken and Egg Situation.,Journal of clinical medicine,2025,Statins,Breast Cancer
40316766,A Mendelian randomization study investigating the causal associations of 35 blood and urinary metabolite biomarkers with breast cancer development.,Discover oncology,2025,Statins,Breast Cancer
40293644,Association of statin use on survival outcomes of patients with early-stage HER2-positive breast cancer in the APHINITY trial.,Breast cancer research and treatment,2025,Statins,Breast Cancer
40291136,"Grassystatin G, a new cathepsin D inhibitor from marine cyanobacteria: discovery, synthesis, and biological characterization.",RSC medicinal chemistry,2025,Statins,Breast Cancer
40285811,Statins and prognosis of female breast cancer: a meta-analysis.,Clinical & translational oncology : official publication of the Federation of Spanish Oncology Societies and of the National Cancer Institute of Mexico,2025,Statins,Breast Cancer
40260427,"Statin Therapy in Early Breast Cancer: The MASTER Trial; A Randomized Phase III, Placebo-Controlled Comparison of Standard (Neo)Adjuvant Therapy Plus Atorvastatin versus Standard (Neo)Adjuvant Therapy Plus Placebo.",Clinical epidemiology,2025,Statins,Breast Cancer
40220705,Significance of gut breast cancer resistance protein versus organic anion transporting polypeptide 2B1 inhibition on rosuvastatin clinical drug-drug interactions.,Drug metabolism and disposition: the biological fate of chemicals,2025,Statins,Breast Cancer
40203631,Exploring the effect of intracellular loop 1 genetic variants in human ABCG2 on transport activity and protein abundance.,Drug metabolism and pharmacokinetics,2025,Statins,Breast Cancer
40170515,Use of Real-World Claims Data to Assess the Prevalence of Concomitant Medications to Inform Drug-Drug Interaction Risk in Target Patient Populations.,Clinical pharmacology and therapeutics,2025,Statins,Breast Cancer
40170495,Identification and Clinical Evaluation of Potential Biomarkers for Breast Cancer Resistance Protein (BCRP/ABCG2).,Clinical pharmacology and therapeutics,2025,Statins,Breast Cancer
40142982,Evaluation of Complex Drug Interactions Between Elexacaftor-Tezacaftor-Ivacaftor and Statins Using Physiologically Based Pharmacokinetic Modeling.,Pharmaceutics,2025,Statins,Breast Cancer
40141147,Avasimibe Abolishes the Efficacy of Fluvastatin for the Prevention of Cancer in a Spontaneous Mouse Model of Breast Cancer.,International journal of molecular sciences,2025,Statins,Breast Cancer
40108234,Increased primary breast tumor expression of CD73 is associated with development of bone metastases and is a potential biomarker for adjuvant bisphosphonate use.,Scientific reports,2025,Statins,Breast Cancer
40081937,"Cardiovascular disease burden and risk factor management in cancer survivors: insights into a multiethnic, socioeconomically deprived urban population.",Heart (British Cardiac Society),2025,Statins,Breast Cancer
40067747,Simvastatin Enhances the Cytotoxic Effects of Doxorubicin in a Mammary Adenocarcinoma Cell Model by Involving Connexin 43.,Journal of biochemical and molecular toxicology,2025,Statins,Breast Cancer
40057666,Statin use and risk of breast cancer among women with benign breast disease: a Danish nationwide cohort study.,British journal of cancer,2025,Statins,Breast Cancer
39941069,Statins as Secondary Preventive Agent to Limit Breast Cancer Metastatic Outgrowth.,International journal of molecular sciences,2025,Statins,Breast Cancer
39865826,"The Efficacy of Oral Atorvastatin for Skin Toxicity in Breast Cancer Patients Undergoing Radiotherapy: A Randomized, Double-blind, Placebo-controlled Trial.",Current pharmaceutical design,2025,Statins,Breast Cancer
39846287,A single-centre retrospective evaluation of potential drug-drug interactions in breast cancer patients undergoing CDK 4/6 inhibitors chemotherapy.,Journal of oncology pharmacy practice : official publication of the International Society of Oncology Pharmacy Practitioners,2025,Statins,Breast Cancer
39842707,Recovery of Left Ventricular Ejection Fraction in Patients With Anthracycline-Induced Cardiomyopathy: A Contemporary Cohort Study.,Journal of cardiac failure,2025,Statins,Breast Cancer
39821480,The role of statins in breast cancer survivors.,Breast cancer research and treatment,2025,Statins,Breast Cancer
39763965,Statins inhibit onco-dimerization of the 4Ig isoform of B7-H3.,bioRxiv : the preprint server for biology,2024,Statins,Breast Cancer
39605917,"beta-blockers and statins: exploring the potential off-label applications in breast, colorectal, prostate, and lung cancers.",Frontiers in pharmacology,2024,Statins,Breast Cancer
39596374,Identification of Functional Immune Biomarkers in Breast Cancer Patients.,International journal of molecular sciences,2024,Statins,Breast Cancer
39571269,Lovastatin-mediated pharmacological inhibition of Formin protein DIAPH1 suppresses tumor immune escape and boosts immunotherapy response.,International immunopharmacology,2025,Statins,Breast Cancer
39568566,Statin prescription disparities in patients with breast cancer and diabetes for primary cardiovascular disease prevention.,Frontiers in oncology,2024,Statins,Breast Cancer
39498835,Statins for the primary prevention of venous thromboembolism.,The Cochrane database of systematic reviews,2024,Statins,Breast Cancer
39498537,Statin use and ovarian cancer outcomes.,Expert review of anticancer therapy,2024,Statins,Breast Cancer
39471823,[(64)Cu]Cu-NOTA-Trastuzumab and [(89)Zr]Zr-DFO-Trastuzumab in Xenografts with Varied HER2 Expression.,Molecular pharmaceutics,2024,Statins,Breast Cancer
39468013,Targeting a chemo-induced adaptive signaling circuit confers therapeutic vulnerabilities in pancreatic cancer.,Cell discovery,2024,Statins,Breast Cancer
