pmid,title,journal,year,drug,disease
40867629,"Obesity-Mediated Inflammation and Its Influence on Inflammatory Bowel Disease: Pathophysiology, Clinical Impact, and Therapeutic Implications.",Biomolecules,2025,Statins,Crohn's Disease
40279326,Statin Use is Associated with a Less Severe Disease Course In Inflammatory Bowel Disease: A Nationwide Cohort Study 2006-2020.,Inflammatory bowel diseases,2025,Statins,Crohn's Disease
40125129,Inflammatory Bowel Disease and Stroke: Exploring Hidden Vascular Risks.,Cureus,2025,Statins,Crohn's Disease
39858011,Exploring Chemoprevention in Colorectal Cancer for Patients with Inflammatory Bowel Disease: Mechanisms of Action and Clinical Aspects.,Cancers,2025,Statins,Crohn's Disease
38287401,Correlations between genetically predicted lipid-lowering drug targets and inflammatory bowel disease.,Lipids in health and disease,2024,Statins,Crohn's Disease
37721310,Atherosclerosis as a Risk Factor of Inflammatory Bowel Disease: A Population-Based Case-Control Study.,The American journal of gastroenterology,2024,Statins,Crohn's Disease
37634654,Coronary artery calcium scoring for cardiovascular risk assessment in patients with inflammatory bowel disease.,American heart journal,2023,Statins,Crohn's Disease
37580807,Causal relationship between PCSK9 inhibitor and autoimmune diseases: a drug target Mendelian randomization study.,Arthritis research & therapy,2023,Statins,Crohn's Disease
35780256,Metformin use is not associated with reduced risk of older onset inflammatory bowel disease: a Danish nationwide population-based study.,Journal of gastroenterology,2022,Statins,Crohn's Disease
35670121,Chemoprevention of Colitis-Associated Dysplasia or Cancer in Inflammatory Bowel Disease.,Gut and liver,2022,Statins,Crohn's Disease
34862478,Investigating genetically mimicked effects of statins via HMGCR inhibition on immune-related diseases in men and women using Mendelian randomization.,Scientific reports,2021,Statins,Crohn's Disease
34434187,Peroxisome Proliferator-Activated Receptor Alpha Mediates the Beneficial Effects of Atorvastatin in Experimental Colitis.,Frontiers in immunology,2021,Statins,Crohn's Disease
33533930,Association Between Statin Use at the Time of Intra-abdominal Surgery and Postoperative Adhesion-Related Complications and Small-Bowel Obstruction.,JAMA network open,2021,Statins,Crohn's Disease
33385426,Prognostic Factors for Advanced Colorectal Neoplasia in Inflammatory Bowel Disease: Systematic Review and Meta-analysis.,Gastroenterology,2021,Statins,Crohn's Disease
33245900,Statin use and new-onset of inflammatory bowel disease: A systematic review and meta-analysis of over ten million participants.,European journal of pharmacology,2021,Statins,Crohn's Disease
33216873,"Association Between Statin Use and Inflammatory Bowel Diseases: Results from a Swedish, Nationwide, Population-based Case-control Study.",Journal of Crohn's & colitis,2021,Statins,Crohn's Disease
32364569,Evaluating the Risk of Macrovascular Events and Mortality Among People With Multiple Sclerosis in England.,JAMA neurology,2020,Statins,Crohn's Disease
32151491,Statins and inflammatory bowel disease: Where do we stand?,European journal of internal medicine,2020,Statins,Crohn's Disease
32119788,Cancer risk and chemoprevention in Chinese inflammatory bowel disease patients: a population-based cohort study.,Scandinavian journal of gastroenterology,2020,Statins,Crohn's Disease
31466061,Pruritus and Malodour in Patients with Hidradenitis Suppurativa: Impact on Quality of Life and Clinical Features Associated with Symptom Severity.,"Dermatology (Basel, Switzerland)",2020,Statins,Crohn's Disease
30448601,Statin Use Is Associated With Improved Outcomes of Patients With Primary Sclerosing Cholangitis.,Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,2019,Statins,Crohn's Disease
28352306,Risk of cardiovascular disease in inflammatory bowel disease.,Experimental and therapeutic medicine,2017,Statins,Crohn's Disease
28265826,Intestinal Inflammation Does Not Predict Nonalcoholic Fatty Liver Disease Severity in Inflammatory Bowel Disease Patients.,Digestive diseases and sciences,2017,Statins,Crohn's Disease
28095263,Chemoprevention of colorectal cancer in inflammatory bowel disease.,Expert review of anticancer therapy,2017,Statins,Crohn's Disease
29429506,[What's new in internal medecine?].,Annales de dermatologie et de venereologie,2016,Statins,Crohn's Disease
27694857,Editorial: Statins for Inflammatory Bowel Disease: Expanding the Scope of Prevention.,The American journal of gastroenterology,2016,Statins,Crohn's Disease
27296939,Statins Associated With Decreased Risk of New Onset Inflammatory Bowel Disease.,The American journal of gastroenterology,2016,Statins,Crohn's Disease
26905907,Statin Use Is Associated With Reduced Risk of Colorectal Cancer in Patients With Inflammatory Bowel Diseases.,Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,2016,Statins,Crohn's Disease
24100471,"Effects of vercirnon on the activity of CYP3A4, CYP2C19 and CYP2C8 enzymes and BCRP and OATP1B1 transporters using probe substrates.",European journal of clinical pharmacology,2014,Statins,Crohn's Disease
23664897,Colorectal cancer in inflammatory bowel disease: results of the 3rd ECCO pathogenesis scientific workshop (I).,Journal of Crohn's & colitis,2014,Statins,Crohn's Disease
21909991,Simvastatin attenuates intestinal fibrosis independent of the anti-inflammatory effect by promoting fibroblast/myofibroblast apoptosis in the regeneration/healing process from TNBS-induced colitis.,Digestive diseases and sciences,2012,Statins,Crohn's Disease
21826766,Statins are associated with reduced use of steroids in inflammatory bowel disease: a retrospective cohort study.,Inflammatory bowel diseases,2012,Statins,Crohn's Disease
21122694,Dyslipidemia and lipoprotein profiles in patients with inflammatory bowel disease.,Journal of clinical lipidology,2010,Statins,Crohn's Disease
19596953,"Colorectal cancer and inflammatory bowel disease: epidemiology, risk factors, mechanisms of carcinogenesis and prevention strategies.",Anticancer research,2009,Statins,Crohn's Disease
19421322,Atorvastatin reduces plasma levels of chemokine (CXCL10) in patients with Crohn's disease.,PloS one,2009,Statins,Crohn's Disease
18840670,Statins alter neutrophil migration by modulating cellular Rho activity--a potential mechanism for statins-mediated pleotropic effects?,Journal of leukocyte biology,2009,Statins,Crohn's Disease
18806816,Use of atorvastatin as an anti-inflammatory treatment in Crohn's disease.,British journal of pharmacology,2008,Statins,Crohn's Disease
18700910,Inflammation in atherosclerosis and psoriasis: common pathogenic mechanisms and the potential for an integrated treatment approach.,The British journal of dermatology,2008,Statins,Crohn's Disease
18635600,Role of MutS homolog 2 (MSH2) in intestinal myofibroblast proliferation during Crohn's disease stricture formation.,American journal of physiology. Gastrointestinal and liver physiology,2008,Statins,Crohn's Disease
18285654,"Basic and clinical aspects of non-neuronal acetylcholine: expression of an independent, non-neuronal cholinergic system in lymphocytes and its clinical significance in immunotherapy.",Journal of pharmacological sciences,2008,Statins,Crohn's Disease
18200660,Cancer in inflammatory bowel disease.,World journal of gastroenterology,2008,Statins,Crohn's Disease
18049901,"Simvastatin attenuates trinitrobenzene sulfonic acid-induced colitis, but not oxazalone-induced colitis.",Digestive diseases and sciences,2008,Statins,Crohn's Disease
16901385,Colorectal cancer in inflammatory bowel disease: molecular and clinical considerations.,Current treatment options in gastroenterology,2006,Statins,Crohn's Disease
15290911,Circulating monocytes and plasma inflammatory biomarkers in active Crohn's disease: elevated oxidized low-density lipoprotein and the anti-inflammatory effect of atorvastatin.,Inflammatory bowel diseases,2004,Statins,Crohn's Disease
15178225,Large-artery stroke in a young patient with Crohn's disease. Role of vitamin B6 deficiency-induced hyperhomocysteinemia.,Journal of the neurological sciences,2004,Statins,Crohn's Disease
12959741,"Hypothalamic digoxin, hemispheric chemical dominance, and inflammatory bowel disease.",The International journal of neuroscience,2003,Statins,Crohn's Disease
