pmid,title,journal,year,drug,disease
40930617,Safety and Effectiveness of Statins for Primary Prevention in Adults With Type 1 Diabetes: An Emulation.,Journal of the American College of Cardiology,2025,Statins,Heart Failure
40924255,Evolving Cardioprotective Strategies in Cardio-Oncology: A Narrative Review.,Current cardiology reports,2025,Statins,Heart Failure
40907505,"Effect of evolocumab on saphenous vein graft patency after coronary artery bypass surgery (NEWTON-CABG CardioLink-5): an international, randomised, double-blind, placebo-controlled trial.","Lancet (London, England)",2025,Statins,Heart Failure
40901555,Addressing Endothelial Dysfunction in Heart Failure: The Role of Endothelial Progenitor Cells and New Treatment Horizons.,Cardiac failure review,2025,Statins,Heart Failure
40894837,Uptake of novel evidence-based therapies in patients with type 2 diabetes after a cardiovascular event: insights from CANHEART.,CJC open,2025,Statins,Heart Failure
40891599,Predictive factors and models for major adverse cardiovascular and limb events in patients with peripheral arterial disease.,VASA. Zeitschrift fur Gefasskrankheiten,2025,Statins,Heart Failure
40864246,"Less intensive lipid-lowering therapy after ST-elevation myocardial infarction is associated with cardiovascular events: 2-year follow-up of ""Jena auf Ziel"".",Clinical research in cardiology : official journal of the German Cardiac Society,2025,Statins,Heart Failure
40851642,Assessment of the Utilization of Lipoprotein (a) and its Relationship with Cardiovascular Outcomes: A Retrospective Cohort Study from a Public Hospital in New York City.,Heart views : the official journal of the Gulf Heart Association,2025,Statins,Heart Failure
40837027,The impact of statins on pulmonary embolism severity-a retrospective data analysis.,Research and practice in thrombosis and haemostasis,2025,Statins,Heart Failure
40832797,Cardiovascular disease risk estimates for primary prevention in the US prediabetes and diabetes population using the PREVENT equation.,"Diabetes, obesity & metabolism",2025,Statins,Heart Failure
40819680,Clinical Characteristics and Prognosis of Acute Heart Failure in Patients with Chronic Obstructive Pulmonary Disease.,The American journal of cardiology,2025,Statins,Heart Failure
40796307,International patterns in lipid management and implications for patients with coronary heart disease: results from the INTERASPIRE study.,European journal of preventive cardiology,2025,Statins,Heart Failure
40796195,Factors Associated with New-Onset Atrial Fibrillation in Thai Adults with Hypertension.,American journal of hypertension,2025,Statins,Heart Failure
40783721,Therapeutic inertia in statin therapy for secondary prevention after percutaneous coronary intervention: a nationwide population-based cohort study.,BMC cardiovascular disorders,2025,Statins,Heart Failure
40783608,Risk factors for prolonged hospitalization in acute decompensated heart failure from the HEROES study.,Scientific reports,2025,Statins,Heart Failure
40779351,Paclitaxel Attenuates Atherosclerosis by Suppressing Macrophage Ferroptosis and Improving Lipid Metabolism via the Sirt1/Nrf2/GPX4 Pathway.,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,2025,Statins,Heart Failure
40773213,Geroscience: A Translational Review.,JAMA,2025,Statins,Heart Failure
40769236,"Metabolic syndrome, ischemic heart disease, and heart failure: insights from the Colombian Heart Failure Registry (RECOLFACA).",Current problems in cardiology,2025,Statins,Heart Failure
40760279,Gender-based differences among ST-elevation myocardial infarction patients in Egypt: secondary analysis from the ACCA-EAPCI ESC-STEMI registry.,The Egyptian heart journal : (EHJ) : official bulletin of the Egyptian Society of Cardiology,2025,Statins,Heart Failure
40744208,Effect of mannitol administration on outcomes of open abdominal aortic aneurysm repair.,Journal of vascular surgery,2025,Statins,Heart Failure
40725639,HDL Function Versus Small Dense LDL: Cardiovascular Benefits and Implications.,Journal of clinical medicine,2025,Statins,Heart Failure
40724548,Acute Kidney Injury After Peripheral Interventions Using Carbon Dioxide Angiography-Risk Factors Beyond Iodinated Contrast Media.,"Life (Basel, Switzerland)",2025,Statins,Heart Failure
40707349,Effect of sodium-glucose cotransporter-2 inhibitors on skeletal muscle.,European journal of internal medicine,2025,Statins,Heart Failure
40697899,Lp(a) in daily clinical routine: risk-factor for both cardiovascular events and heart-failure? A retrospective analysis of the Luebeck Lp(a) heart-failure (HF) registry in patients after myocardial infarction.,Atherosclerosis plus,2025,Statins,Heart Failure
