pmid,title,journal,year,drug,disease
40924293,"Statins in Acute Ischemic Stroke: Mechanisms, Resistance, and Precision Strategies for Neurovascular and Cognitive Protection.",CNS drugs,2025,Statins,Ischemic Stroke
40907288,Critical gaps in evidence on intensive statins for acute ischemic stroke.,Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia,2025,Statins,Ischemic Stroke
40895966,Free-Floating Thrombus in Stroke: Therapeutic Dilemmas and Case Series Analysis.,Cureus,2025,Statins,Ischemic Stroke
40894837,Uptake of novel evidence-based therapies in patients with type 2 diabetes after a cardiovascular event: insights from CANHEART.,CJC open,2025,Statins,Ischemic Stroke
40887137,Unstable carotid plaque resembling carotid web: a diagnostic challenge in acute ischaemic stroke with rapid response to tenecteplase.,BMJ case reports,2025,Statins,Ischemic Stroke
40886375,"Pathophysiology of Clopidogrel in Ischemic Stroke, Role of Platelet microRNAs.",Physiological research,2025,Statins,Ischemic Stroke
40884383,THE IMPACT OF DISEASE-MODIFYING MEDICATIONS ON THE LIPID PROFILE OF PATIENTS WITH ISCHEMIC HEART DISEASE.,Georgian medical news,2025,Statins,Ischemic Stroke
40879042,Adherence to Lipid-Lowering Therapies and Cardiovascular Outcomes in Patients With Atherosclerotic Cardiovascular Disease: A Systematic Review and Meta-Analysis.,Journal of the American Heart Association,2025,Statins,Ischemic Stroke
40876947,Protective Factors of Postendovascular Therapy Restenosis for Symptomatic Intracranial Arterial Stenosis: A Retrospective Analysis.,AJNR. American journal of neuroradiology,2025,Statins,Ischemic Stroke
40864246,"Less intensive lipid-lowering therapy after ST-elevation myocardial infarction is associated with cardiovascular events: 2-year follow-up of ""Jena auf Ziel"".",Clinical research in cardiology : official journal of the German Cardiac Society,2025,Statins,Ischemic Stroke
40861918,Case Report: Ischemic stroke in a young transgender woman due to unsupervised estrogen therapy.,Frontiers in global women's health,2025,Statins,Ischemic Stroke
40852205,Case Report: Endovascular thrombectomy for acute ischemic stroke with bilateral internal carotid artery fibromuscular dysplasia.,Frontiers in cardiovascular medicine,2025,Statins,Ischemic Stroke
40839980,"Risk reduction of ASCVD attributed to lowering of remnant cholesterol from statins, fibrates, APOC3 inhibitors, and ANGPTL3 inhibitors: a cohort study.",Atherosclerosis,2025,Statins,Ischemic Stroke
40832711,Vessel Shrinkage and Stroke Recurrence in Intracranial Atherosclerotic Stenosis Under Intensive Lipid-Lowering Therapy.,Stroke,2025,Statins,Ischemic Stroke
40825160,Association of Polygenic Susceptibility to Hyperlipidemia With Cholesterol Control and Recurrent Stroke in Ischemic Stroke Survivors.,Neurology,2025,Statins,Ischemic Stroke
40820102,Association of ABCB1 G2677T polymorphism with atorvastatin lipid efficacy and extended prognosis in patients with cerebral ischemic stroke.,Scientific reports,2025,Statins,Ischemic Stroke
40812088,The Effect of Clinical Risk Factors on the Atherosclerotic Plaque Characteristics of Intra- and Extracranial Arteries: A retrospective Study.,European journal of radiology,2025,Statins,Ischemic Stroke
40784443,Super-small zwitterionic nitric oxide-donor micelles efficiently scavenge ROS and alleviate inflammation for combined ischemic stroke therapy.,Acta biomaterialia,2025,Statins,Ischemic Stroke
40782222,Use of CT-derived non-cardiovascular calcification marker for predicting cardiovascular events among diabetic older adults: the multi-ethnic study of atherosclerosis.,European radiology,2025,Statins,Ischemic Stroke
40774023,Effects of cPIP2 peptide and rosuvastatin on TLR4 signaling and cardiac remodeling in an acute myocardial infarction model.,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,2025,Statins,Ischemic Stroke
40765506,Effect of LDL-Cholesterol Levels and Oral Atorvastatin on Outcomes After Pipeline Therapy for Intracranial Aneurysms.,Stroke,2025,Statins,Ischemic Stroke
40760279,Gender-based differences among ST-elevation myocardial infarction patients in Egypt: secondary analysis from the ACCA-EAPCI ESC-STEMI registry.,The Egyptian heart journal : (EHJ) : official bulletin of the Egyptian Society of Cardiology,2025,Statins,Ischemic Stroke
40759175,"Strategic Lowering of LDL-cholesterol Post Ischemic Stroke: Identifying Optimal Targets, Timing, and Therapeutic Approaches.",Thrombosis and haemostasis,2025,Statins,Ischemic Stroke
40747367,Comparative effectiveness and safety of atorvastatin versus rosuvastatin among patients with ischemic stroke or transient ischemic attack: a national registry-based observational study.,EClinicalMedicine,2025,Statins,Ischemic Stroke
40746575,"Capsular warning syndrome: Nighttime blood pressure drops, clinical awareness, and therapeutic approach.",Turkish journal of emergency medicine,2025,Statins,Ischemic Stroke
40726739,Early intensive therapy for preventing neurological deterioration in branch atheromatous disease.,Therapeutic advances in neurological disorders,2025,Statins,Ischemic Stroke
40725536,Associations Between Low-Density Lipoprotein Cholesterol Levels and Cardiovascular Outcomes in Patients Undergoing Dialysis: A Nationwide Cohort Study.,Journal of clinical medicine,2025,Statins,Ischemic Stroke
40717327,Assessment of the Impact of Statin Use to Predict All-Cause Mortality in Patients With Critical Cerebrovascular Disease: A Retrospective Cohort Study From the MIMIC-IV Database.,CNS neuroscience & therapeutics,2025,Statins,Ischemic Stroke
40713325,Treatment of severe hyperlipidemia and associated cardiovascular outcomes: Data from a large healthcare system.,Journal of clinical lipidology,2025,Statins,Ischemic Stroke
40706575,Effect of Statin Therapy following Endovascular Treatment of Intracranial Aneurysms: A Meta-Analysis.,"Cerebrovascular diseases (Basel, Switzerland)",2025,Statins,Ischemic Stroke
40695668,Assessing the effects of HMGCR and LDLR Inhibition on multiple stroke types: A trans-ancestry drug-target Mendelian randomization study.,"Nutrition, metabolism, and cardiovascular diseases : NMCD",2025,Statins,Ischemic Stroke
40688889,Eight-and-a-Half Syndrome: An Uncommon but Potentially Life-Threatening Disease Secondary to Acute Brainstem Infarction.,Cureus,2025,Statins,Ischemic Stroke
40687935,Association between baseline white blood cell count and future cardiovascular events in patients with stable coronary artery disease- Sub-analysis of the REAL-CAD trial.,American journal of preventive cardiology,2025,Statins,Ischemic Stroke
40687729,Statin treatment for cerebral small vessel disease: A systematic review and meta-analysis of randomized controlled trials.,Cerebral circulation - cognition and behavior,2025,Statins,Ischemic Stroke
