pmid,title,journal,year,drug,disease
40781787,Statins induce monocytic differentiation in acute myeloid leukemia cells through the KLF4/DPYSL2A axis.,FEBS open bio,2025,Statins,Leukemia
40634510,"Chemoresistance of TP53 mutant acute myeloid leukemia requires the mevalonate byproduct, geranylgeranyl pyrophosphate, for induction of an adaptive stress response.",Leukemia,2025,Statins,Leukemia
40560745,Severe Hypertriglyceridemia Secondary to Long-acting Asparaginase in Pediatric Patients With Acute Lymphoblastic Leukemia.,Journal of pediatric hematology/oncology,2025,Statins,Leukemia
40456521,Effect of statins on IL-10 signaling and production by chronic lymphocytic leukemia cells.,"Journal of immunology (Baltimore, Md. : 1950)",2025,Statins,Leukemia
40364115,Risk Factors and Prevention of Cancer and CVDs: A Chicken and Egg Situation.,Journal of clinical medicine,2025,Statins,Leukemia
40321277,Analysis of the effects of statin therapy on clonal dynamics in clonal haematopoiesis of indeterminate potential: insights from the English Longitudinal Study of Ageing.,medRxiv : the preprint server for health sciences,2025,Statins,Leukemia
40266025,Statin use and survival in CLL/SLL treated with ibrutinib: pooled analysis of 4 randomized controlled trials.,Blood advances,2025,Statins,Leukemia
40249470,Effect of Statins in the Watch and Wait Phase of Chronic Lymphocytic Leukemia.,Cancer medicine,2025,Statins,Leukemia
39946534,Metabolomic insights into pathogenesis and therapeutic potential in adult acute lymphoblastic leukemia.,Proceedings of the National Academy of Sciences of the United States of America,2025,Statins,Leukemia
39766267,The Effect of Atorvastatin on Oncogenic miRNAs in Hematological Malignancies: A Central Study.,Biomolecules,2024,Statins,Leukemia
39663201,Muscle contractile properties and perceived fatigue in the general and diseased population.,Physiological reports,2024,Statins,Leukemia
39634983,Nilotinib as an Independent Risk Factor for Stroke by Accelerated Atherosclerosis.,Cureus,2024,Statins,Leukemia
39632292,Synergistic antitumor effects of atorvastatin and chemotherapies: In vitro and in vivo studies.,Biochemical and biophysical research communications,2025,Statins,Leukemia
39110203,"Effect of midostaurin on the pharmacokinetics of P-gp, BCRP, and CYP2D6 substrates: assessing potential drug-drug interactions in healthy participants : Brief title: Drug-drug interaction of midostaurin.",Cancer chemotherapy and pharmacology,2024,Statins,Leukemia
38843841,A CD36-dependent non-canonical lipid metabolism program promotes immune escape and resistance to hypomethylating agent therapy in AML.,Cell reports. Medicine,2024,Statins,Leukemia
38095652,"The evaluation of atorvastatin as an adjunct to fluconazole for the anti-fungal prophylaxis in acute myeloid leukemia: a multicenter, triple-blinded, randomized clinical trial.",Naunyn-Schmiedeberg's archives of pharmacology,2024,Statins,Leukemia
38030791,The RORɣ/SREBP2 pathway is a master regulator of cholesterol metabolism and serves as potential therapeutic target in t(4;11) leukemia.,Oncogene,2024,Statins,Leukemia
37956312,Statin-induced Mitochondrial Priming Sensitizes Multiple Myeloma Cells to BCL2 and MCL-1 Inhibitors.,Cancer research communications,2023,Statins,Leukemia
37847357,Simvastatin Preferentially Targets FLT3/ITD Acute Myeloid Leukemia by Inhibiting MEK/ERK and p38-MAPK Signaling Pathways.,Drugs in R&D,2023,Statins,Leukemia
37842233,Statins markedly potentiate aminopeptidase inhibitor activity against (drug-resistant) human acute myeloid leukemia cells.,"Cancer drug resistance (Alhambra, Calif.)",2023,Statins,Leukemia
37597795,Does Statin Use in Frail Patients Provide Survival Benefits? Insights From a Meta-Analysis.,Current problems in cardiology,2024,Statins,Leukemia
37584254,"Randomized, multicenter, parallel, open, phase 4 study to compare the efficacy and safety of rosuvastatin/amlodipine polypill versus atorvastatin/amlodipine polypill in hypertension patient with dyslipidemia.","Journal of clinical hypertension (Greenwich, Conn.)",2023,Statins,Leukemia
37512506,The Role of Cholesterol in Chronic Lymphocytic Leukemia Development and Pathogenesis.,Metabolites,2023,Statins,Leukemia
37394638,Effects of Simvastatin on RBL-2H3 Cell Degranulation.,Biological & pharmaceutical bulletin,2023,Statins,Leukemia
37069127,Drug-drug interactions of protein kinase inhibitors in chronic myeloid leukaemia patients: A study using the French health insurance database.,Fundamental & clinical pharmacology,2023,Statins,Leukemia
37042968,Statin use in myelodysplastic syndromes is associated with a better survival and decreased progression to leukemia.,Blood advances,2023,Statins,Leukemia
37016335,Lovastatin inhibits erythroleukemia progression through KLF2-mediated suppression of MAPK/ERK signaling.,BMC cancer,2023,Statins,Leukemia
36966697,Anthracycline-induced cardiotoxicity - are we about to clear this hurdle?,"European journal of cancer (Oxford, England : 1990)",2023,Statins,Leukemia
36835644,Hydrogel-Based Pre-Clinical Evaluation of Repurposed FDA-Approved Drugs for AML.,International journal of molecular sciences,2023,Statins,Leukemia
36765664,Chemotherapeutic Activity of Pitavastatin in Vincristine Resistant B-Cell Acute Lymphoblastic Leukemia.,Cancers,2023,Statins,Leukemia
36765474,[Effect and Mechanism of Atorvastatin on Reversing Drug Resistance in Leukemia by Regulating Glycolysis through PTEN/mTOR Pathway].,Zhongguo shi yan xue ye xue za zhi,2023,Statins,Leukemia
36748820,Research Progress on Gene Synthesis and Anticancer and Lipid-lowering Mechanism of Monacolin K.,Anti-cancer agents in medicinal chemistry,2023,Statins,Leukemia
36428695,Antitumor Activity of Simvastatin in Preclinical Models of Mantle Cell Lymphoma.,Cancers,2022,Statins,Leukemia
36348011,TET2 deficiency sensitizes tumor cells to statins by reducing HMGCS1 expression.,Oncogene,2022,Statins,Leukemia
36100985,Simvastatin Upregulates Lipoxin A4 and Accelerates Neuroinflammation Resolution After Intracerebral Hemorrhage.,Current neurovascular research,2022,Statins,Leukemia
35812557,A New Paradigm of Cardio-Hematological Monitoring in Chronic Myeloid Leukemia Patients Treated With Tyrosine Kinase Inhibitors.,Cureus,2022,Statins,Leukemia
35761419,Targeting metabolic reprogramming in chronic lymphocytic leukemia.,Experimental hematology & oncology,2022,Statins,Leukemia
35630703,Co-Application of Statin and Flavonoids as an Effective Strategy to Reduce the Activity of Voltage-Gated Potassium Channels Kv1.3 and Induce Apoptosis in Human Leukemic T Cell Line Jurkat.,"Molecules (Basel, Switzerland)",2022,Statins,Leukemia
35625883,Targeting of Mevalonate-Isoprenoid Pathway in Acute Myeloid Leukemia Cells by Bisphosphonate Drugs.,Biomedicines,2022,Statins,Leukemia
