pmid,title,journal,year,drug,disease
40911848,"Poor Performance Status, Diabetes Mellitus, and Statin use are Risk Factors for Decreased Skeletal Muscle Mass During Nab-paclitaxel Plus Gemcitabine Therapy in Patients with Advanced Pancreatic Cancer.",Pancreas,2025,Statins,Pancreatic Cancer
40812300,A pancreatic cancer organoid biobank links multi-omics signatures to therapeutic response and clinical evaluation of statin combination therapy.,Cell stem cell,2025,Statins,Pancreatic Cancer
40722786,In Vitro Investigation of Statin Effects on Genes Associated with Severe COVID-19 in Cancerous and Non-Cancerous Cells.,Biomedicines,2025,Statins,Pancreatic Cancer
40682628,Statins and the Risk of Pancreatic Cancer.,Journal of gastrointestinal cancer,2025,Statins,Pancreatic Cancer
40634300,Clinical impact of pharmacogenetic risk variants in a large chinese cohort.,Nature communications,2025,Statins,Pancreatic Cancer
40501736,Statin-dye conjugates for selective targeting of KRAS mutant cancer cells.,bioRxiv : the preprint server for biology,2025,Statins,Pancreatic Cancer
40379858,Statin use and Pancreatic Cancer: A Meta-analysis of its Association with Incidence in the General Population and Survival in Patients.,Journal of gastrointestinal cancer,2025,Statins,Pancreatic Cancer
40368260,"The exposome and pancreatic cancer, lifestyle and environmental risk factors for PDAC.",Seminars in cancer biology,2025,Statins,Pancreatic Cancer
40364115,Risk Factors and Prevention of Cancer and CVDs: A Chicken and Egg Situation.,Journal of clinical medicine,2025,Statins,Pancreatic Cancer
40298778,"A Study of Antioxidant, Antihyperlipidemic, and Anti-Glycation Effects of Alkylsulfonic Acids with Quinobenzothiazinyl Substituents: In Vitro and In Silico Investigations.","Antioxidants (Basel, Switzerland)",2025,Statins,Pancreatic Cancer
40107481,Rosuvastatin inhibits carcinogenesis through Ca(2+) triggered endoplasmic reticulum stress pathway in pancreatic cancer.,Cellular signalling,2025,Statins,Pancreatic Cancer
39928888,Impact of Statin Use on Survival in Patients With Unresectable Pancreatic cancer Receiving Gemcitabine Plus Nab-Paclitaxel: A Multicenter Retrospective Study.,Pancreas,2025,Statins,Pancreatic Cancer
39900574,Targeting the hERG1/beta1 integrin complex in lipid rafts potentiates statins anti-cancer activity in pancreatic cancer.,Cell death discovery,2025,Statins,Pancreatic Cancer
39834076,Risk factors for hepatocellular carcinoma: an umbrella review of systematic review and meta-analysis.,Annals of medicine,2025,Statins,Pancreatic Cancer
39821006,"Lipids, lipid-lowering drug target genes and pancreatic cancer: a Mendelian randomization study.",International journal of clinical pharmacy,2025,Statins,Pancreatic Cancer
39726194,Impact of dyslipidemia and lipid-lowering therapy with statins in patients with neuroendocrine tumors.,Journal of neuroendocrinology,2025,Statins,Pancreatic Cancer
39719543,Statin use after cancer diagnosis and survival among patients with cancer.,Cancer causes & control : CCC,2025,Statins,Pancreatic Cancer
39565443,Targeting the mevalonate pathway enhances the efficacy of 5-fluorouracil by regulating pyroptosis.,"Medical oncology (Northwood, London, England)",2024,Statins,Pancreatic Cancer
39544235,"Comparative efficacy, toxicity, and insulin-suppressive effects of simvastatin and pravastatin in fatty acid-challenged mouse insulinoma MIN6 beta-cell model.",Frontiers in endocrinology,2024,Statins,Pancreatic Cancer
39468013,Targeting a chemo-induced adaptive signaling circuit confers therapeutic vulnerabilities in pancreatic cancer.,Cell discovery,2024,Statins,Pancreatic Cancer
39439792,Association between statin use and immune-related adverse events in patients treated with immune checkpoint inhibitors: analysis of the FAERS database.,Frontiers in immunology,2024,Statins,Pancreatic Cancer
39419964,Therapeutic targeting of differentiation-state dependent metabolic vulnerabilities in diffuse midline glioma.,Nature communications,2024,Statins,Pancreatic Cancer
39300376,Randomized phase 2 study of valproic acid combined with simvastatin and gemcitabine/nab-paclitaxel-based regimens in untreated metastatic pancreatic adenocarcinoma patients: the VESPA trial study protocol.,BMC cancer,2024,Statins,Pancreatic Cancer
39137110,PNLIPRP1 Hypermethylation in Exocrine Pancreas Links Type 2 Diabetes and Cholesterol Metabolism.,Diabetes,2024,Statins,Pancreatic Cancer
38904171,"A pharmacoepidemiological nested case-control study of risk factors for venous thromboembolism with the focus on diabetes, cancer, socioeconomic group, medications, and comorbidities.",Diabetes & vascular disease research,2024,Statins,Pancreatic Cancer
