pmid,title,journal,year,drug,disease
40845898,"Lipoprotein(a) and Venous Thromboembolism: Association, Causality, and Medications.",Thrombosis and haemostasis,2025,Statins,Pulmonary Embolism
40837027,The impact of statins on pulmonary embolism severity-a retrospective data analysis.,Research and practice in thrombosis and haemostasis,2025,Statins,Pulmonary Embolism
40651086,Pre-injury statin therapy is associated with lower VTE after traumatic brain injury.,American journal of surgery,2025,Statins,Pulmonary Embolism
40589009,IL 6 Cascade in Post COVID Cardiovascular Complications: A Review of Endothelial Injury and Clotting Pathways.,Cardiovascular & hematological disorders drug targets,2025,Statins,Pulmonary Embolism
40571281,"Clinical profiles and temporal trends of 37,741 cardiovascular hospitalizations in Greece over 12 years: initial insights from the CardioMining database.",Hellenic journal of cardiology : HJC = Hellenike kardiologike epitheorese,2025,Statins,Pulmonary Embolism
40452196,Efficacy of Atorvastatin Against Venous Thromboembolism After Total Hip Arthroplasty.,Journal of musculoskeletal & neuronal interactions,2025,Statins,Pulmonary Embolism
40436530,Recent Pathophysiological Insights Are Advancing the Treatment of Venous Thromboembolism.,JACC. Basic to translational science,2025,Statins,Pulmonary Embolism
40373697,Trends of hospital admissions due to acute limb ischemia and venous thromboembolism in Austria: A population-wide observational analysis from 2009 to 2023.,Thrombosis research,2025,Statins,Pulmonary Embolism
40064840,Predictors of venous thromboembolic events in hospitalized patients with COVID-19.,Journal of thrombosis and thrombolysis,2025,Statins,Pulmonary Embolism
39870331,Statin Use Is Associated With Decreased Venous Thromboembolism Events Following Total Hip Arthroplasty: A Matched Retrospective Cohort Study.,The Journal of arthroplasty,2025,Statins,Pulmonary Embolism
39850014,Lipid-Lowering Drugs and Pulmonary Vascular Disease: A Mendelian Randomization Study.,Pulmonary circulation,2025,Statins,Pulmonary Embolism
39705479,Genetic correlation between genes targeted by lipid-lowering drugs and venous thromboembolism: A drug-target Mendelian randomization study.,Medicine,2024,Statins,Pulmonary Embolism
39498835,Statins for the primary prevention of venous thromboembolism.,The Cochrane database of systematic reviews,2024,Statins,Pulmonary Embolism
39273041,"A Comprehensive Review of Cardiovascular Disease Management: Cardiac Biomarkers, Imaging Modalities, Pharmacotherapy, Surgical Interventions, and Herbal Remedies.",Cells,2024,Statins,Pulmonary Embolism
39209867,Dispensed prescription medications and short-term risk of pulmonary embolism in Norway and Sweden.,Scientific reports,2024,Statins,Pulmonary Embolism
39202521,Statins during Anticoagulation for Emergency Life-Threatening Venous Thromboembolism: A Review.,"Medicina (Kaunas, Lithuania)",2024,Statins,Pulmonary Embolism
38904171,"A pharmacoepidemiological nested case-control study of risk factors for venous thromboembolism with the focus on diabetes, cancer, socioeconomic group, medications, and comorbidities.",Diabetes & vascular disease research,2024,Statins,Pulmonary Embolism
38874212,Lipid lowering for prevention of venous thromboembolism: a network meta-analysis.,European heart journal,2024,Statins,Pulmonary Embolism
38865021,Statin use is associated with a lower risk of all-cause death in patients with breast cancer treated with anthracycline containing regimens: a global federated health database analysis.,Clinical and experimental medicine,2024,Statins,Pulmonary Embolism
38651067,Association between statin use and acute pulmonary embolism in intensive care unit patients with sepsis: a retrospective cohort study.,Frontiers in medicine,2024,Statins,Pulmonary Embolism
38523132,Exposure to statin therapy decreases the incidence of venous thromboembolism after trauma.,The journal of trauma and acute care surgery,2024,Statins,Pulmonary Embolism
38278574,Thromboembolic Disease.,Primary care,2024,Statins,Pulmonary Embolism
38193887,Using machine learning in the prediction of symptomatic venous thromboembolism following ankle fracture.,Foot and ankle surgery : official journal of the European Society of Foot and Ankle Surgeons,2024,Statins,Pulmonary Embolism
37942641,Antithrombotic and Statin Prescription After Intracerebral Hemorrhage in the Get With The Guidelines-Stroke Registry.,Stroke,2023,Statins,Pulmonary Embolism
37905534,Correlation Between Statin Use and Symptomatic Venous Thromboembolism Incidence in Patients With Ankle Fracture: A Machine Learning Approach.,Foot & ankle specialist,2024,Statins,Pulmonary Embolism
37898967,Crucial safety issues on Janus kinase inhibitors in rheumatoid arthritis might be associated with the lack of LDL-cholesterol management: a reasoned literature analysis.,Internal and emergency medicine,2023,Statins,Pulmonary Embolism
37671124,Sex-specific risks for cardiovascular disease across the glycaemic spectrum: a population-based cohort study using the UK Biobank.,The Lancet regional health. Europe,2023,Statins,Pulmonary Embolism
37519020,Risk of Venous Thromboembolism with Statins: Evidence Gathered via a Network Meta-analysis.,Balkan medical journal,2023,Statins,Pulmonary Embolism
37425580,Worsening of Angina Following Nitroglycerin Administration: A Case Report of the Interplay With Undiagnosed Myocardial Bridge.,Cureus,2023,Statins,Pulmonary Embolism
37417248,Graft Failure After Coronary Artery Bypass Grafting and Its Association With Patient Characteristics and Clinical Events: A Pooled Individual Patient Data Analysis of Clinical Trials With Imaging Follow-Up.,Circulation,2023,Statins,Pulmonary Embolism
37316694,Rivaroxaban Combined with Atorvastatin Inhibits Acute Pulmonary Embolism by Promoting the Expression of NRF2/NQO1.,Cardiovascular drugs and therapy,2024,Statins,Pulmonary Embolism
36958971,Statins and risk of venous thromboembolic diseases: A two-sample mendelian randomization study.,"Nutrition, metabolism, and cardiovascular diseases : NMCD",2023,Statins,Pulmonary Embolism
36828654,Colchicine and high-intensity rosuvastatin in the treatment of non-critically ill patients hospitalised with COVID-19: a randomised clinical trial.,BMJ open,2023,Statins,Pulmonary Embolism
36622519,"SARS-CoV-2 infection and SLE: endothelial dysfunction, atherosclerosis, and thrombosis.",Clinical rheumatology,2023,Statins,Pulmonary Embolism
36206894,Immediate and delayed complications of inferior vena cava filters.,Journal of vascular surgery. Venous and lymphatic disorders,2023,Statins,Pulmonary Embolism
36065684,Postoperative statin therapy is not associated with reduced incidence of venous thromboembolic events following kidney transplantation.,Clinical transplantation,2022,Statins,Pulmonary Embolism
35510755,Statin use and 30-day mortality in patients with acute symptomatic pulmonary embolism.,Journal of thrombosis and haemostasis : JTH,2022,Statins,Pulmonary Embolism
34992723,Acute and Chronic Cardiovascular Manifestations of COVID-19: Role for Endotheliopathy.,Methodist DeBakey cardiovascular journal,2021,Statins,Pulmonary Embolism
34953155,Rosuvastatin treatment decreases plasma procoagulant phospholipid activity after a VTE: A randomized controlled trial.,Journal of thrombosis and haemostasis : JTH,2022,Statins,Pulmonary Embolism
34909902,Morbidities and medications used by practicing nurses during the climacteric.,Revista da Associacao Medica Brasileira (1992),2021,Statins,Pulmonary Embolism
34564938,Statins for venous event reduction in patients with venous thromboembolism: A multicenter randomized controlled pilot trial assessing feasibility.,Journal of thrombosis and haemostasis : JTH,2022,Statins,Pulmonary Embolism
34425266,Contemporary rates of inferior vena cava filter thrombosis and risk factors.,Journal of vascular surgery. Venous and lymphatic disorders,2022,Statins,Pulmonary Embolism
34377437,Association of statin use and the risk of recurrent pulmonary embolism in real-world Chinese population.,Pulmonary circulation,2021,Statins,Pulmonary Embolism
34151588,Postoperative Myocardial Injury in Patients Classified as Low Risk Preoperatively Is Associated With a Particularly Increased Risk of Long-Term Mortality After Noncardiac Surgery.,Journal of the American Heart Association,2021,Statins,Pulmonary Embolism
34127532,Vascular comorbidities worsen prognosis of patients with heart failure hospitalised with COVID-19.,Open heart,2021,Statins,Pulmonary Embolism
33992454,Prognostic Value of Cardiac Magnetic Resonance Imaging in Acute Coronary Syndrome Patients With Troponin Elevation and Nonobstructive Coronary Arteries.,Mayo Clinic proceedings,2021,Statins,Pulmonary Embolism
33734299,"Effect of Intermediate-Dose vs Standard-Dose Prophylactic Anticoagulation on Thrombotic Events, Extracorporeal Membrane Oxygenation Treatment, or Mortality Among Patients With COVID-19 Admitted to the Intensive Care Unit: The INSPIRATION Randomized Clinical Trial.",JAMA,2021,Statins,Pulmonary Embolism
33705531,Rosuvastatin for the prevention of venous thromboembolism: a pooled analysis of the HOPE-3 and JUPITER randomized controlled trials.,Cardiovascular research,2022,Statins,Pulmonary Embolism
33665766,Incidence of Venous Thromboembolism and Mortality in Patients with Initial Presentation of COVID-19.,Journal of thrombosis and thrombolysis,2021,Statins,Pulmonary Embolism
33412275,Effect of statins on the risk of recurrent venous thromboembolism: A systematic review and meta-analysis.,Pharmacological research,2021,Statins,Pulmonary Embolism
