PMID,Title,Journal,Year
40937079,Interim Analysis of 48-week Tenofovir Amibufenamide Treatment in Chronic Hepatitis B Patients with Normal Alanine Aminotransferase Levels: The PROMOTE Study.,Journal of clinical and translational hepatology,2025
40919078,Impact of tenofovir vs. entecavir treatment on progression of chronic hepatitis B: A nationwide cohort study.,JHEP reports : innovation in hepatology,2025
40917863,Adding pegylated interferon-alpha to nucleos(t)ide analogs improves HBsAg clearance in chronic hepatitis B with low-level viremia.,Frontiers in medicine,2025
40830766,Comparative effectiveness and safety of tenofovir alafenamide versus tenofovir disoproxil fumarate in patients with HBV-associated decompensated cirrhosis: insights from a retrospective analysis.,BMC infectious diseases,2025
40808966,"Safety and efficacy of GST-HG141, a novel HBV capsid assembly modulator, for the treatment of chronic hepatitis B patients with low-level viremia: a randomized, double-blind, placebo-controlled, multicenter phase II study.",EClinicalMedicine,2025
40787473,"Chronic viral hepatitis B: evaluation of the care of patients monitored at the SMIT in Tivaouane, Senegal.",IJID regions,2025
40781938,Five-Year Effectiveness and Renal Safety Following Switching to Tenofovir Alafenamide in Chronic Hepatitis B Patients With Renal Impairment.,Journal of gastroenterology and hepatology,2025
40716610,Prevalence of hepatitis D virus in chronic hepatitis B patients: findings from Poland.,Advances in medical sciences,2025
40689368,"Indian National Association for the Study of the Liver Position Statements on Prevention, Diagnosis, and Management of Hepatitis B Virus Infection in India.",Journal of clinical and experimental hepatology,2025
40665159,Advanced Liver Disease Events in People with HIV and Hepatitis B Virus Coinfection Initiating Antiretroviral Therapy in the United States.,Infectious diseases and therapy,2025
40600959,Switching to entecavir >3 months before the end of tenofovir-based therapy in HBeAg-negative patients may reduce early relapse and hepatitis flare.,The American journal of gastroenterology,2025
40575888,Serum HBV RNA as a predictive biomarker for HBeAg seroconversion during entecavir and tenofovir disoproxil fumarate therapy in chronic hepatitis B patients.,Revista espanola de enfermedades digestivas,2025
40558579,"HBV, HCV, and HDV Triple-Infection-A Therapeutic Challenge.","Diseases (Basel, Switzerland)",2025
40489803,"Results in chronic hepatitis B patients using tenofovir and entecavir for at least 10 years; HBV clearance rare, disease outcomes good: An observational cohort study.",Medicine,2025
40377494,Dynamics of HBV biomarkers during nucleos(t)ide analog treatment: A 14-year study.,Hepatology communications,2025
40332423,Diastolic Dysfunction with Vascular Deficits in HIV-1-Infected Female Humanized Mice Treated with Antiretroviral Drugs.,International journal of molecular sciences,2025
40318163,Tenofovir Alafenamide Therapy Throughout Pregnancy in Mothers With Hepatitis B.,Alimentary pharmacology & therapeutics,2025
40308816,Dual therapy with nucleos(t)ide analogues in the prevention of hepatitis B virus recurrence after liver transplantation: Two case reports.,World journal of hepatology,2025
40265082,Virological and Biochemical Effects of Tenofovir Alafenamide in Different Patient Groups With Chronic Hepatitis B Virus Infection in Real-World Cohort.,International journal of hepatology,2025
40248094,Effectiveness and safety of tenofovir amibufenamide and tenofovir alafenamide in treating elderly patients diagnosed with decompensated hepatitis B cirrhosis: a retrospective cohort study.,Frontiers in pharmacology,2025
