PMID,Title,Journal,Year
38944709,Comparative Study of Treatment Outcome with Tenofovir Alafenamide and Entecavir in Patients with HBV Related Acute on Chronic Liver Failure.,Mymensingh medical journal : MMJ,2024
38908915,Screening for viral hepatitis carriage.,Best practice & research. Clinical obstetrics & gynaecology,2024
37728881,Assessing and improving the quality of guideline-adherent hepatitis B virus care in people with HIV: A cross-sectional study.,International journal of STD & AIDS,2024
37243084,Vaccination against HBV and HAV as Mode of Hepatitis Prevention among People Living with HIV-Data from ECEE Network Group.,Vaccines,2023
36952663,Viral hepatitis in persons living with HIV in the post-COVID era.,AIDS reviews,2023
36597900,Prophylactic tenofovir alafenamide for hepatitis B virus reactivation and reactivation-related hepatitis.,Journal of medical virology,2023
36109430,Effects of antiviral therapy and drug withdrawal on postpartum hepatitis in pregnant women with chronic HBV infection.,Hepatology international,2023
34516961,Treatment and prevention of viral hepatitis in pregnancy.,American journal of obstetrics and gynecology,2022
33259998,Viral Hepatitis in pregnancy.,"European journal of obstetrics, gynecology, and reproductive biology",2021
32128941,Approach to women who become pregnant while on tenofovir disoproxil fumarate for chronic B hepatitis: A report of two cases.,The journal of obstetrics and gynaecology research,2020
31280390,In Vitro and In Vivo Renoprotective Effects of Telbivudine in Chronic Hepatitis B Patients Receiving Nucleotide Analogue.,Digestive diseases and sciences,2019
30808332,Severe rhabdomyolysis-induced acute kidney injury following concomitant use of Genvoya(R) (EVG/COBI/FTC/TAF) and simvastatin; a case report.,BMC nephrology,2019
30568345,"INASL Guidelines on Management of Hepatitis B Virus Infection in Patients receiving Chemotherapy, Biologicals, Immunosupressants, or Corticosteroids.",Journal of clinical and experimental hepatology,2018
30154221,Association of Urinary Biomarkers of Kidney Injury with Estimated GFR Decline in HIV-Infected Individuals following Tenofovir Disoproxil Fumarate Initiation.,Clinical journal of the American Society of Nephrology : CJASN,2018
25525197,Bone and kidney toxicity induced by nucleotide analogues in patients affected by HBV-related chronic hepatitis: a longitudinal study.,The Journal of antimicrobial chemotherapy,2015
24164392,Urine liver-type fatty acid-binding protein and kidney injury molecule-1 in HIV-infected patients receiving combined antiretroviral treatment based on tenofovir.,AIDS research and human retroviruses,2014
22833061,Proximal tubular renal dysfunction or damage in HIV-infected patients.,AIDS reviews,2012
19387254,Update on viral hepatitis: 2008.,Current opinion in gastroenterology,2009
15254439,Management of the coinfected patient: human immunodeficiency virus/hepatitis B and human immunodeficiency virus/hepatitis C.,The American journal of the medical sciences,2004
