PMID,Title,Journal,Year
40243285,Association between Maternal HIV and Adverse Birth Outcomes in the Era of Universal Antiretroviral Therapy in Malawi.,Journal of acquired immune deficiency syndromes (1999),2025
39333924,"Association of first-line combination antiretroviral therapy with malaria among adult HIV-infected persons in Jos, Nigeria: a pilot cross sectional study.",BMC infectious diseases,2024
39030884,Patterns of daily oral HIV PrEP adherence among people who inject drugs in Ukraine: an analysis of biomarkers.,Journal of the International AIDS Society,2024
33618698,Tenofovir disoproxil fumarate in pregnancy for prevention of mother to child transmission of hepatitis B in a rural setting on the Thailand-Myanmar border: a cost-effectiveness analysis.,BMC pregnancy and childbirth,2021
33084053,Evaluating the impact of antiretroviral and antiseizure medication interactions on treatment effectiveness among outpatient clinic attendees with HIV in Zambia.,Epilepsia,2020
32928858,"Prevention of mother-to-child transmission of hepatitis B virus: protocol for a one-arm, open-label intervention study to estimate the optimal timing of tenofovir in pregnancy.",BMJ open,2020
32912268,Tenofovir for prevention of mother to child transmission of hepatitis B in migrant women in a resource-limited setting on the Thailand-Myanmar border: a commentary on challenges of implementation.,International journal for equity in health,2020
32462039,"Abnormal Levels of Liver Enzymes and Hepatotoxicity in HIV-Positive, TB, and HIV/TB-Coinfected Patients on Treatment in Fako Division, Southwest Region of Cameroon.",BioMed research international,2020
31868655,Pharmacokinetics of oral tenofovir disoproxil fumarate in pregnancy and lactation: a systematic review.,Antiviral therapy,2019
29315307,Comparing pharmacologic measures of tenofovir exposure in a U.S. pre-exposure prophylaxis randomized trial.,PloS one,2018
29232052,The US Food and Drug Administration's tentative approval process and the global fight against HIV.,Journal of the International AIDS Society,2017
29070083,Human immunodeficiency virus infection acquired through a traditional healer's ritual: a case report.,Journal of medical case reports,2017
28614292,Patience for patients.,Nature,2017
25078629,Pre-exposure prophylaxis of HIV: A right way to go or a long way to go?,"Artificial cells, nanomedicine, and biotechnology",2016
22123685,HIV-1 protease inhibitors and clinical malaria: a secondary analysis of the AIDS Clinical Trials Group A5208 study.,Antimicrobial agents and chemotherapy,2012
20832214,[Two cases of Fanconi's syndrome induced by tenofovir in the Ivory Coast].,Medecine et maladies infectieuses,2011
20500827,Intervening in global markets to improve access to HIV/AIDS treatment: an analysis of international policies and the dynamics of global antiretroviral medicines markets.,Globalization and health,2010
18464583,[Research ethics and developing countries].,Journal international de bioethique = International journal of bioethics,2007
18001145,Evolution of antiretroviral drug costs in Brazil in the context of free and universal access to AIDS treatment.,PLoS medicine,2007
17982511,Gateways to clinical trials.,Methods and findings in experimental and clinical pharmacology,2007
