PMID,Title,Journal,Year
40919078,Impact of tenofovir vs. entecavir treatment on progression of chronic hepatitis B: A nationwide cohort study.,JHEP reports : innovation in hepatology,2025
39086637,Effectiveness and safety of tenofovir amibufenamide in chronic hepatitis B patients.,World journal of gastroenterology,2024
38734689,Angiolipoma associated with antiretroviral switch therapy: a case report.,AIDS research and therapy,2024
37477514,Nonalcoholic Fatty Liver Disease and Nonalcoholic Steatohepatitis With Liver Fibrosis as Predictors of New-Onset Diabetes Mellitus in People With HIV: A Longitudinal Cohort Study.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2023
37137824,[Evaluation of the efficacy of tenofovir disoproxil fumarate in the treatment of chronic hepatitis B combined with nonalcoholic fatty liver disease by high-sensitivity detection of HBV DNA levels].,Zhonghua gan zang bing za zhi = Zhonghua ganzangbing zazhi = Chinese journal of hepatology,2023
36588741,Clinical study of ganshuang granule combined with tenofovir in the treatment of chronic hepatitis B complicated with nonalcoholic fatty liver disease.,Frontiers in pharmacology,2022
36411662,Tenofovir alafenamide alleviates nonalcoholic steatohepatitis in mice by blocking the phosphorylation of AKT in intrahepatic mononuclear phagocytes.,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,2022
36309141,Zinc normalizes hepatic lipid handling via modulation of ADA/XO/UA pathway and caspase 3 signaling in highly active antiretroviral therapy-treated Wistar rats.,Chemico-biological interactions,2022
34522873,Stratifying the risk of NAFLD in patients with HIV under combination antiretroviral therapy (cART).,EClinicalMedicine,2021
32940183,Association between Nonalcoholic Fatty Liver Disease and Bone Mineral Density in HIV-Infected Patients Receiving Long-term TDF-Based Antiretroviral Therapy.,Current HIV research,2021
32086988,Fatty liver is not independently associated with the rates of complete response to oral antiviral therapy in chronic hepatitis B patients.,Liver international : official journal of the International Association for the Study of the Liver,2020
29493093,Highlights of the 2017 European AIDS Clinical Society (EACS) Guidelines for the treatment of adult HIV-positive persons version 9.0.,HIV medicine,2018
28903510,Changes in Liver Steatosis After Switching From Efavirenz to Raltegravir Among Human Immunodeficiency Virus-Infected Patients With Nonalcoholic Fatty Liver Disease.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2017
26674977,Impact of fatty liver on hepatitis B virus replication and virologic response to tenofovir and entecavir.,The Turkish journal of gastroenterology : the official journal of Turkish Society of Gastroenterology,2016
24259964,"Hepatobiliary manifestations in inflammatory bowel disease: the gut, the drugs and the liver.",World journal of gastroenterology,2013
23449226,The changing epidemiology of liver disease in HIV patients.,AIDS reviews,2013
25755326,Safety of Complete and Sustained Prophylaxis Withdrawal in Patients Liver-transplanted for Hepatitis B Virus-related Cirrhosis at Low Risk of Hepatitis B Virus Recurrence.,Journal of clinical and experimental hepatology,2011
