pmid,title,journal,year,drug,disease
40338686,Beta-Adrenergic Blockers for Acute Myocardial Infarction: 50 years of Expert Opinions in Cecil Textbook of Medicine.,American journal of therapeutics,2025,Timolol,Myocardial Infarction
31424760,Timolol.,,2025,Timolol,Myocardial Infarction
38423796,The role of beta-adrenergic receptors in the regulation of cardiac tolerance to ischemia/reperfusion. Why do beta-adrenergic receptor agonists and antagonists protect the heart?,Fundamental & clinical pharmacology,2024,Timolol,Myocardial Infarction
35446883,Impact of medication on blood transcriptome reveals off-target regulations of beta-blockers.,PloS one,2022,Timolol,Myocardial Infarction
31556094,Perioperative beta-blockers for preventing surgery-related mortality and morbidity in adults undergoing non-cardiac surgery.,The Cochrane database of systematic reviews,2019,Timolol,Myocardial Infarction
31544227,Perioperative beta-blockers for preventing surgery-related mortality and morbidity in adults undergoing cardiac surgery.,The Cochrane database of systematic reviews,2019,Timolol,Myocardial Infarction
29533470,Perioperative beta-blockers for preventing surgery-related mortality and morbidity.,The Cochrane database of systematic reviews,2018,Timolol,Myocardial Infarction
24196091,Can ophthalmic drops cause central nervous system depression and cardiogenic shock in infants?,Pediatric emergency care,2013,Timolol,Myocardial Infarction
22933026,Remodeling of intrinsic cardiac neurons: effects of beta-adrenergic receptor blockade in guinea pig models of chronic heart disease.,"American journal of physiology. Regulatory, integrative and comparative physiology",2012,Timolol,Myocardial Infarction
18608034,Is there still a role for treatment with beta-adrenoceptor antagonists in post-myocardial infarction patients with well-preserved left ventricular systolic function?,Acute cardiac care,2008,Timolol,Myocardial Infarction
17719466,Resting heart rate in cardiovascular disease.,Journal of the American College of Cardiology,2007,Timolol,Myocardial Infarction
16920800,"Preemptive, but not reactive, spinal cord stimulation mitigates transient ischemia-induced myocardial infarction via cardiac adrenergic neurons.",American journal of physiology. Heart and circulatory physiology,2007,Timolol,Myocardial Infarction
16534490,Beta-blockers for the post-myocardial infarction patient: current clinical evidence and practical considerations.,Reviews in cardiovascular medicine,2006,Timolol,Myocardial Infarction
15819591,Optimising the use of beta-adrenoceptor antagonists in coronary artery disease.,Drugs,2005,Timolol,Myocardial Infarction
15144942,Practical guidelines to optimize effectiveness of beta-blockade in patients postinfarction and in those with chronic heart failure.,The American journal of cardiology,2004,Timolol,Myocardial Infarction
12167391,The effect of carvedilol in patients with impaired left ventricular systolic function following an acute myocardial infarction. How do the treatment effects on total mortality and recurrent myocardial infarction in CAPRICORN compare with previous beta-blocker trials?,European journal of heart failure,2002,Timolol,Myocardial Infarction
12065728,Antiarrhythmic efficacy of combined I(Ks) and beta-adrenergic receptor blockade.,The Journal of pharmacology and experimental therapeutics,2002,Timolol,Myocardial Infarction
11705520,Benefit of beta-blockers after myocardial infarction.,"Lancet (London, England)",2001,Timolol,Myocardial Infarction
11192352,Cardioprotection with beta-adrenoceptor blockers. Does lipophilicity matter?,Basic research in cardiology,2000,Timolol,Myocardial Infarction
11192348,Clinical trial data on the cardioprotective effects of beta-blockade.,Basic research in cardiology,2000,Timolol,Myocardial Infarction
10816062,"Randomised training after myocardial infarction: short and long-term effects of exercise training after myocardial infarction in patients on beta-blocker treatment. A randomized, controlled study.",Scandinavian cardiovascular journal : SCJ,2000,Timolol,Myocardial Infarction
10526698,Prevention of sudden cardiac death with beta blockers.,Clinical cardiology,1999,Timolol,Myocardial Infarction
10443856,Age- and gender-related use of low-dose drug therapy: the need to manufacture low-dose therapy and evaluate the minimum effective dose.,Journal of the American Geriatrics Society,1999,Timolol,Myocardial Infarction
10381708,beta Blockade after myocardial infarction: systematic review and meta regression analysis.,BMJ (Clinical research ed.),1999,Timolol,Myocardial Infarction
9375948,Effects of beta blockade on sudden cardiac death during acute myocardial infarction and the postinfarction period.,The American journal of cardiology,1997,Timolol,Myocardial Infarction
9211014,Beta-blocking drugs and coronary heart disease.,Cardiovascular drugs and therapy,1997,Timolol,Myocardial Infarction
9148453,[Treatment of heart failure with beta-blockaders].,"Tidsskrift for den Norske laegeforening : tidsskrift for praktisk medicin, ny raekke",1997,Timolol,Myocardial Infarction
7671786,[Beta-receptor blockers after revascularization in coronary sclerosis].,Deutsche medizinische Wochenschrift (1946),1995,Timolol,Myocardial Infarction
7652725,[Drug therapy of angina pectoris. Are the possibilities exploited well enough?].,"Tidsskrift for den Norske laegeforening : tidsskrift for praktisk medicin, ny raekke",1995,Timolol,Myocardial Infarction
8818314,Topical timolol and lipid profile.,Indian journal of ophthalmology,1995,Timolol,Myocardial Infarction
7731149,Plasma potassium response to acute respiratory alkalosis.,Kidney international,1995,Timolol,Myocardial Infarction
7528129,Choosing the right beta-blocker. A guide to selection.,Drugs,1994,Timolol,Myocardial Infarction
7513874,Empiric therapy with beta-blockers.,Pacing and clinical electrophysiology : PACE,1994,Timolol,Myocardial Infarction
8403334,Propranolol and lidocaine inhibit neural norepinephrine release in hearts with increased extracellular potassium and ischemia.,Circulation,1993,Timolol,Myocardial Infarction
8106167,Ischaemic heart disease: how well are the risk profiles modulated by current beta blockers?,Cardiology,1993,Timolol,Myocardial Infarction
1731452,Effect of timolol on cardiopulmonary exercise performance in men after myocardial infarction.,The American journal of cardiology,1992,Timolol,Myocardial Infarction
1683604,Myocardial infarction. Effects of beta-blockade.,Circulation,1991,Timolol,Myocardial Infarction
2021717,SWIFT trial of delayed elective intervention v conservative treatment after thrombolysis with anistreplase in acute myocardial infarction. SWIFT (Should We Intervene Following Thrombolysis?) Trial Study Group.,BMJ (Clinical research ed.),1991,Timolol,Myocardial Infarction
1999686,Sequential or fixed sample trial design? A case study by stochastic simulation.,Journal of clinical epidemiology,1991,Timolol,Myocardial Infarction
1718703,An overview of therapeutic interventions in myocardial infarction. Emphasis on secondary prevention.,Drugs,1991,Timolol,Myocardial Infarction
1975155,Pharmacologic management of ischemic heart disease with beta-blockers and calcium channel blockers.,American heart journal,1990,Timolol,Myocardial Infarction
2566193,[Systemic complications of beta-blocking eyedrops. Apropos of 6 cases].,La Revue de medecine interne,1989,Timolol,Myocardial Infarction
2851017,The effect of chronic timolol in an animal model for myocardial infarction.,Journal of clinical pharmacology,1988,Timolol,Myocardial Infarction
2894660,Beta-adrenergic mechanisms during severe myocardial ischemia and evolving infarction.,Postgraduate medicine,1988,Timolol,Myocardial Infarction
2449062,Prophylaxis of post-myocardial infarction dysrhythmias by long-term timolol therapy.,American heart journal,1988,Timolol,Myocardial Infarction
3278028,Hypertensive response to levonordefrin in a patient receiving propranolol: report of case.,Journal of the American Dental Association (1939),1988,Timolol,Myocardial Infarction
2901289,"Predicting return to work after acute myocardial infarction. Significance of clinical data, exercise test variables and beta-blocker therapy.",Cardiology,1988,Timolol,Myocardial Infarction
2464091,"Beta-adrenoceptor blockade: past, present, and future.",Journal of cardiovascular pharmacology,1988,Timolol,Myocardial Infarction
3306163,"Predictors, prevention, and long-term prognosis of atrial fibrillation after coronary artery bypass graft operations.",The Journal of thoracic and cardiovascular surgery,1987,Timolol,Myocardial Infarction
3304706,Beneficial effects of timolol on infarct size and late ventricular tachycardia in patients with acute myocardial infarction.,Circulation,1987,Timolol,Myocardial Infarction
