pmid,title,journal,year,drug,disease
39915198,Comparative safety of JAK inhibitors versus TNF or IL-17 inhibitors for cardiovascular disease and cancer in psoriatic arthritis and axial spondyloarthritis.,Clinical therapeutics,2025,Tofacitinib,Breast Cancer
39330992,Successful treatment of anti-melanoma differentiation-associated gene 5 antibody-positive dermatomyositis with rapidly progressive interstitial lung disease complicated by bilateral breast cancer following the additional tofacitinib: A case report.,Modern rheumatology case reports,2025,Tofacitinib,Breast Cancer
38216005,Properties of FDA-approved small molecule protein kinase inhibitors: A 2024 update.,Pharmacological research,2024,Tofacitinib,Breast Cancer
37075870,Rule of five violations among the FDA-approved small molecule protein kinase inhibitors.,Pharmacological research,2023,Tofacitinib,Breast Cancer
36403719,Properties of FDA-approved small molecule protein kinase inhibitors: A 2023 update.,Pharmacological research,2023,Tofacitinib,Breast Cancer
36093684,The three horizons model applied to medical science.,Postgraduate medicine,2022,Tofacitinib,Breast Cancer
34921994,Properties of FDA-approved small molecule protein kinase inhibitors: A 2022 update.,Pharmacological research,2022,Tofacitinib,Breast Cancer
33801973,EGCG Inhibits Adipose-Derived Mesenchymal Stem Cells Differentiation into Adipocytes and Prevents a STAT3-Mediated Paracrine Oncogenic Control of Triple-Negative Breast Cancer Cell Invasive Phenotype.,"Molecules (Basel, Switzerland)",2021,Tofacitinib,Breast Cancer
33513356,Properties of FDA-approved small molecule protein kinase inhibitors: A 2021 update.,Pharmacological research,2021,Tofacitinib,Breast Cancer
32710852,Interaction of the small-molecule kinase inhibitors tofacitinib and lapatinib with membranes.,Biochimica et biophysica acta. Biomembranes,2020,Tofacitinib,Breast Cancer
31862477,Properties of FDA-approved small molecule protein kinase inhibitors: A 2020 update.,Pharmacological research,2020,Tofacitinib,Breast Cancer
31653704,Intestinal breast cancer resistance protein (BCRP) requires Janus kinase 3 activity for drug efflux and barrier functions in obesity.,The Journal of biological chemistry,2019,Tofacitinib,Breast Cancer
30720466,Tofacitinib enhances delivery of antibody-based therapeutics to tumor cells through modulation of inflammatory cells.,JCI insight,2019,Tofacitinib,Breast Cancer
29383118,Phosphoproteome profiling reveals critical role of JAK-STAT signaling in maintaining chemoresistance in breast cancer.,Oncotarget,2017,Tofacitinib,Breast Cancer
30695330,[Molecular Targeted Therapy and Laboratory Tests].,Rinsho byori. The Japanese journal of clinical pathology,2016,Tofacitinib,Breast Cancer
25902789,"Tofacitinib, an oral Janus kinase inhibitor: analysis of malignancies across the rheumatoid arthritis clinical development programme.",Annals of the rheumatic diseases,2016,Tofacitinib,Breast Cancer
25252914,Cancer-associated adipose tissue promotes breast cancer progression by paracrine oncostatin M and Jak/STAT3 signaling.,Cancer research,2014,Tofacitinib,Breast Cancer
