pmid,title,journal,year,drug,disease
40794751,Non-negligible risk of HBV reactivation among rheumatoid arthritis patients receiving JAK inhibitors: bridging the evidence gap.,"Rheumatology (Oxford, England)",2025,Tofacitinib,Hepatitis B
40386505,A Case of Severe Generalized Granuloma Annulare Responding Well to Tofacitinib.,Case reports in dermatological medicine,2025,Tofacitinib,Hepatitis B
39014279,Biologics Versus JAK Inhibitors. Part II: Risk of Infections. A Narrative Review.,Dermatology and therapy,2024,Tofacitinib,Hepatitis B
30726015,Graham-Little-Piccardi-Lasseur Syndrome.,,2025,Tofacitinib,Hepatitis B
38347433,Tofacitinib use in ulcerative colitis: An expert consensus for day-to-day clinical practice.,Indian journal of gastroenterology : official journal of the Indian Society of Gastroenterology,2024,Tofacitinib,Hepatitis B
38046251,Epidemiological characteristics of hepatitis B and C in patients with inflammatory arthritis: Implications from treasure database.,Archives of rheumatology,2023,Tofacitinib,Hepatitis B
36794347,Hepatitis B virus reactivation associated with Janus kinase (JAK) inhibitors: a retrospective study of pharmacovigilance databases and review of the literature.,Expert opinion on drug safety,2023,Tofacitinib,Hepatitis B
36614890,The Impact of b/tsDMARD Dose Reduction on Chronic Hepatitis B in Rheumatoid Arthritis Patients: A Two-Center Long-Term Safety Analysis.,Journal of clinical medicine,2022,Tofacitinib,Hepatitis B
35235148,Management of hepatitis B virus reactivation due to treatment of COVID-19.,Hepatology international,2022,Tofacitinib,Hepatitis B
35069993,Liver-side of inflammatory bowel diseases: Hepatobiliary and drug-induced disorders.,World journal of hepatology,2021,Tofacitinib,Hepatitis B
34870178,Successful treatment of tofacitinib in a case with rheumatoid arthritis who experienced hepatitis B virus reactivation induced by tocilizumab and recovered from entecavir rescue therapy.,Archives of rheumatology,2021,Tofacitinib,Hepatitis B
34506078,Reactivation of hepatitis B virus infection in patients with rheumatoid arthritis receiving tofacitinib.,International journal of rheumatic diseases,2021,Tofacitinib,Hepatitis B
34334359,Screening for Hepatitis B Virus Prior to Initiating Tocilizumab and Tofacitinib in Patients With Rheumatic Diseases: A Cross-sectional Study.,The Journal of rheumatology,2022,Tofacitinib,Hepatitis B
33751280,A practical approach for vaccinations including COVID-19 in autoimmune/autoinflammatory rheumatic diseases: a non-systematic review.,Clinical rheumatology,2021,Tofacitinib,Hepatitis B
33640469,Risk of infection associated with Janus Kinase (JAK) inhibitors and biological therapies in inflammatory intestinal disease and rheumatoid arthritis. Prevention strategies.,Gastroenterologia y hepatologia,2021,Tofacitinib,Hepatitis B
33510353,Network theoretic analysis of JAK/STAT pathway and extrapolation to drugs and viruses including COVID-19.,Scientific reports,2021,Tofacitinib,Hepatitis B
33470695,Review article: safety of new biologic agents for inflammatory bowel disease in the liver.,European journal of gastroenterology & hepatology,2021,Tofacitinib,Hepatitis B
33144301,Correspondence on 'The use of tocilizumab and tofacitinib in patients with resolved hepatitis B infection: a case series'.,Annals of the rheumatic diseases,2023,Tofacitinib,Hepatitis B
32732241,The use of tocilizumab and tofacitinib in patients with resolved hepatitis B infection: a case series.,Annals of the rheumatic diseases,2021,Tofacitinib,Hepatitis B
30635807,Managing Risks with Biologics.,Current gastroenterology reports,2019,Tofacitinib,Hepatitis B
30630365,"Tuberculosis, hepatitis B and herpes zoster in tofacitinib-treated patients with rheumatoid arthritis.",Immunotherapy,2019,Tofacitinib,Hepatitis B
28663308,Reactivation of hepatitis B virus infection in patients with rheumatoid arthritis receiving tofacitinib: a real-world study.,Annals of the rheumatic diseases,2018,Tofacitinib,Hepatitis B
27708965,Viral hepatitis screening guideline before biological drug use in rheumatic patients.,European journal of rheumatology,2016,Tofacitinib,Hepatitis B
30695330,[Molecular Targeted Therapy and Laboratory Tests].,Rinsho byori. The Japanese journal of clinical pathology,2016,Tofacitinib,Hepatitis B
25854805,Screening and vaccinations in patients requiring systemic immunosuppression: an update for dermatologists.,American journal of clinical dermatology,2015,Tofacitinib,Hepatitis B
