pmid,title,journal,year,drug,disease
40587102,The therapeutic potential for JAK inhibitors for immune-related adverse events from checkpoint inhibitors- a review of the literature.,"Rheumatology (Oxford, England)",2025,Tofacitinib,Lung Cancer
40252783,Properties of FDA-approved small molecule protein kinase inhibitors: A 2025 update.,Pharmacological research,2025,Tofacitinib,Lung Cancer
39915198,Comparative safety of JAK inhibitors versus TNF or IL-17 inhibitors for cardiovascular disease and cancer in psoriatic arthritis and axial spondyloarthritis.,Clinical therapeutics,2025,Tofacitinib,Lung Cancer
39756517,Tofacitinib Mitigates the Increased SARS-CoV-2 Infection Susceptibility Caused by an IBD Risk Variant in the PTPN2 Gene.,Cellular and molecular gastroenterology and hepatology,2025,Tofacitinib,Lung Cancer
39480695,The efficacy and safety of tofacitinib in anti-melanoma differentiation-associated gene 5 antibody positive dermatomyositis associated interstitial lung disease: a systematic review and meta-analysis.,Therapeutic advances in respiratory disease,2024,Tofacitinib,Lung Cancer
39330992,Successful treatment of anti-melanoma differentiation-associated gene 5 antibody-positive dermatomyositis with rapidly progressive interstitial lung disease complicated by bilateral breast cancer following the additional tofacitinib: A case report.,Modern rheumatology case reports,2025,Tofacitinib,Lung Cancer
39210768,Respiratory failure in a tofacitinib treated patient with ulcerative colitis.,Acta gastro-enterologica Belgica,2024,Tofacitinib,Lung Cancer
39033028,CD206(+) macrophages are relevant non-invasive imaging biomarkers and therapeutic targets in experimental lung fibrosis.,Thorax,2024,Tofacitinib,Lung Cancer
38803394,Tofacitinib for the treatment of refractory immune checkpoint inhibitor-associated immune nephritis.,Clinical kidney journal,2024,Tofacitinib,Lung Cancer
38706610,Tofacitinib to prevent anti-drug antibody formation against LMB-100 immunotoxin in patients with advanced mesothelin-expressing cancers.,Frontiers in oncology,2024,Tofacitinib,Lung Cancer
38339367,The JAK-STAT Pathway as a Therapeutic Strategy in Cancer Patients with Immune Checkpoint Inhibitor-Induced Colitis: A Narrative Review.,Cancers,2024,Tofacitinib,Lung Cancer
38216005,Properties of FDA-approved small molecule protein kinase inhibitors: A 2024 update.,Pharmacological research,2024,Tofacitinib,Lung Cancer
38140794,A large pulmonary nodule in a rheumatoid arthritis patient treated with tofacitinib.,International journal of rheumatic diseases,2024,Tofacitinib,Lung Cancer
37941436,Antibody Responses to Influenza Vaccination are Diminished in Patients With Inflammatory Bowel Disease on Infliximab or Tofacitinib.,Journal of Crohn's & colitis,2024,Tofacitinib,Lung Cancer
37842172,"Neutralising antibody responses against SARS-CoV-2 Omicron BA.4/5 and wild-type virus in patients with inflammatory bowel disease following three doses of COVID-19 vaccine (VIP): a prospective, multicentre, cohort study.",EClinicalMedicine,2023,Tofacitinib,Lung Cancer
37075870,Rule of five violations among the FDA-approved small molecule protein kinase inhibitors.,Pharmacological research,2023,Tofacitinib,Lung Cancer
37042600,NEUROPROTECTIVE AND ANTIOXIDANT POTENTIAL OF MONTELUKAST-ACETYLCYSTEINE COMBINATION THERAPY FOR BRAIN PROTECTION IN PATIENTS WITH COVID-19 INDUCED PNEUMONIA.,Georgian medical news,2023,Tofacitinib,Lung Cancer
36720560,"Efficacy and safety of tofacitinib in Chinese patients with active psoriatic arthritis: a phase 3, randomised, double-blind, placebo-controlled study.",RMD open,2023,Tofacitinib,Lung Cancer
36600185,"Malignancy risk with tofacitinib versus TNF inhibitors in rheumatoid arthritis: results from the open-label, randomised controlled ORAL Surveillance trial.",Annals of the rheumatic diseases,2023,Tofacitinib,Lung Cancer
36403719,Properties of FDA-approved small molecule protein kinase inhibitors: A 2023 update.,Pharmacological research,2023,Tofacitinib,Lung Cancer
36088954,"COVID-19 vaccine-induced antibody and T-cell responses in immunosuppressed patients with inflammatory bowel disease after the third vaccine dose (VIP): a multicentre, prospective, case-control study.",The lancet. Gastroenterology & hepatology,2022,Tofacitinib,Lung Cancer
35922125,Distinct immune-effector and metabolic profile of CD8(+) T cells in patients with autoimmune polyarthritis induced by therapy with immune checkpoint inhibitors.,Annals of the rheumatic diseases,2022,Tofacitinib,Lung Cancer
35443665,Nodular Regenerative Hyperplasia of the liver in Juvenile Dermatomyositis.,Pediatric rheumatology online journal,2022,Tofacitinib,Lung Cancer
34995938,Targeting chronic COVID-19 lung injury; Tofacitinib can be used against tissue-resident memory T cells.,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,2022,Tofacitinib,Lung Cancer
34921994,Properties of FDA-approved small molecule protein kinase inhibitors: A 2022 update.,Pharmacological research,2022,Tofacitinib,Lung Cancer
34277833,Safety of immune checkpoint inhibitors in patients with cancer and pre-existing autoimmune disease.,Annals of translational medicine,2021,Tofacitinib,Lung Cancer
33541985,First use of tofacitinib to treat an immune checkpoint inhibitor-induced arthritis.,BMJ case reports,2021,Tofacitinib,Lung Cancer
33513356,Properties of FDA-approved small molecule protein kinase inhibitors: A 2021 update.,Pharmacological research,2021,Tofacitinib,Lung Cancer
33491334,Tofacitinib overcomes an IFNgamma-induced decrease in NK cell-mediated cytotoxicity via the regulation of immune-related molecules in LC-2/ad.,Thoracic cancer,2021,Tofacitinib,Lung Cancer
31862477,Properties of FDA-approved small molecule protein kinase inhibitors: A 2020 update.,Pharmacological research,2020,Tofacitinib,Lung Cancer
31173242,"Effect of platinum‑based chemotherapy on the expression of natural killer group 2 member D ligands, programmed cell death‑1 ligand 1 and HLA class I in non‑small cell lung cancer.",Oncology reports,2019,Tofacitinib,Lung Cancer
30806708,Growing evidence of the safety of JAK inhibitors in patients with rheumatoid arthritis.,"Rheumatology (Oxford, England)",2019,Tofacitinib,Lung Cancer
28928840,A cytokine signal inhibitor for rheumatoid arthritis enhances cancer metastasis via depletion of NK cells in an experimental lung metastasis mouse model of colon cancer.,Oncology letters,2017,Tofacitinib,Lung Cancer
27890175,Malignancy and Janus Kinase Inhibition.,Rheumatic diseases clinics of North America,2017,Tofacitinib,Lung Cancer
30695330,[Molecular Targeted Therapy and Laboratory Tests].,Rinsho byori. The Japanese journal of clinical pathology,2016,Tofacitinib,Lung Cancer
25902789,"Tofacitinib, an oral Janus kinase inhibitor: analysis of malignancies across the rheumatoid arthritis clinical development programme.",Annals of the rheumatic diseases,2016,Tofacitinib,Lung Cancer
