PMID,Title,Journal,Year
40560215,A Prospective Comparison of Ustekinumab and Antitumor Necrosis Factor alpha Therapy in the Treatment of Crohn's-Like Disease of the Pouch.,The American journal of gastroenterology,2025
38588819,Bimekizumab safety in moderate to severe plaque psoriasis: Rates of hepatic events and changes in liver parameters over 2 years in randomized phase 3/3b trials.,Journal of the American Academy of Dermatology,2024
31644053,Psoriasis Agents.,,2012
38294794,Prevalence of Pretreatment Testing Recommended for Patients With Chronic Inflammatory Skin Diseases.,JAMA dermatology,2024
37716078,Hepatic safety and efficacy of immunomodulatory drugs used in patients with autoimmune hepatitis.,Journal of autoimmunity,2023
37327274,Wilson disease complicated by Crohn disease: A case report and literature review.,Medicine,2023
36880432,Risk of Tuberculosis and Hepatitis B Reactivation in Patients With Crohn's Disease on Ustekinumab: A Nationwide Real-World Study.,Inflammatory bowel diseases,2024
36807140,Interleukin-23 receptor signaling impairs the stability and function of colonic regulatory T cells.,Cell reports,2023
36792429,Use of biologics for the management of Crohn's disease: IG-IBD clinical guidelines based on the GRADE methodology.,Digestive and liver disease : official journal of the Italian Society of Gastroenterology and the Italian Association for the Study of the Liver,2023
36765829,Risk of Cancer in Patients with Inflammatory Bowel Diseases and Keys for Patient Management.,Cancers,2023
36168705,Ustekinumab during pregnancy in patients with inflammatory bowel disease: a prospective multicentre cohort study.,Alimentary pharmacology & therapeutics,2022
36093978,"Successful treatment of Crohn's disease, aseptic liver abscess and psoriasis with ustekinumab.",Revista espanola de enfermedades digestivas,2023
35975904,Meta-analysis: hepatitis B reactivation in patients receiving biological therapy.,Alimentary pharmacology & therapeutics,2022
33813069,Safety and Efficacy of Ustekinumab in the Inflammatory Bowel Disease of Chronic Granulomatous Disease.,Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,2022
33470695,Review article: safety of new biologic agents for inflammatory bowel disease in the liver.,European journal of gastroenterology & hepatology,2021
33051163,Medical therapy versus surgery in moderate-to-severe ulcerative colitis.,Digestive and liver disease : official journal of the Italian Society of Gastroenterology and the Italian Association for the Study of the Liver,2021
32418186,Deciphering the Association Between Psoriasis and Obesity: Current Evidence and Treatment Considerations.,Current obesity reports,2020
32232397,Ustekinumab is a Safe and Effective Biological Agent for Crohn's Disease in a Liver Transplant Patient.,Journal of Crohn's & colitis,2020
31735016,Safety of guselkumab in hepatitis B virus infection.,Dermatology online journal,2019
31562785,Linkage between patients' characteristics and prescribed systemic treatments for psoriasis: a semantic connectivity map analysis of the Swiss Dermatology Network for Targeted Therapies registry.,Journal of the European Academy of Dermatology and Venereology : JEADV,2019
