PMID,Title,Journal,Year
40880674,Vancomycin for the Induction and Maintenance of Remission in Biologics Refractory Patient with Ulcerative Colitis and Primary Sclerosing Cholangitis Post-Liver and Bone Marrow Transplantation.,Case reports in gastroenterology,2025
40281872,New Therapeutic Challenges in Pediatric Gastroenterology: A Narrative Review.,"Healthcare (Basel, Switzerland)",2025
39969502,Serum Collagen Biomarkers Are Reflective of Tissue Specific Fibroblasts Associated With Ulcerative Colitis Activity and Treatment Response to Ustekinumab.,United European gastroenterology journal,2025
39502647,Ustekinumab affects myofibroblast metabolism to alleviate intestinal fibrosis by targeting KDELC1 in Crohn's disease through multi-machine learning combined with single-cell sequencing analysis.,Frontiers in medicine,2024
39423922,Association between nutritional status assessed by body mass index and Crohn's disease phenotype: A Nation-wide analysis.,Clinical nutrition ESPEN,2024
39313861,Decreased vision due to scarring after phototherapeutic keratectomy.,Journal of cataract and refractive surgery,2024
38840917,Identifying hub genes in response to ustekinumab and the impact of ustekinumab treatment on fibrosis in Crohn's disease.,Frontiers in immunology,2024
38738136,Rapid Progression of Invasive Listeria monocytogenes Infection in a Patient With Cirrhosis and Primary Sclerosing Cholangitis on Ustekinumab.,Cureus,2024
38588819,Bimekizumab safety in moderate to severe plaque psoriasis: Rates of hepatic events and changes in liver parameters over 2 years in randomized phase 3/3b trials.,Journal of the American Academy of Dermatology,2024
37172505,An electrospun macrodevice for durable encapsulation of human cells with consistent secretion of therapeutic antibodies.,Biomaterials,2023
33769380,Molecular targets and the use of biologics in the management of small bowel fibrosis in inflammatory bowel disease.,Current opinion in gastroenterology,2021
33470695,Review article: safety of new biologic agents for inflammatory bowel disease in the liver.,European journal of gastroenterology & hepatology,2021
33118129,Ustekinumab is effective against small bowel lesions in Crohn's disease: two case reports.,Clinical journal of gastroenterology,2021
32406116,Systematic review: medical therapy for fibrostenosing Crohn's disease.,Alimentary pharmacology & therapeutics,2020
31771820,Multiple therapeutic targets in rare cholestatic liver diseases: Time to redefine treatment strategies.,Annals of hepatology,2020
31334835,Safety of systemic therapies in the treatment of psoriasis with concomitant cirrhosis: a retrospective study.,International journal of dermatology,2019
30991456,Translational drug discovery and development with the use of tissue-relevant biomarkers: Towards more physiological relevance and better prediction of clinical efficacy.,Experimental dermatology,2020
30259849,Work in Progress: Drugs in Development.,Clinics in liver disease,2018
29593650,Hypophysitis following Treatment with Ustekinumab: Radiological and Pathological Findings.,Frontiers in endocrinology,2018
29480522,Safety and efficacy of biological therapies in patients with psoriasis with alcoholic cirrhosis: a French retrospective study of 23 cases.,The British journal of dermatology,2018
