PMID,Title,Journal,Year
40279047,Relapsed refractory immune checkpoint inhibitor-induced colitis treated with tacrolimus and maintained with vedolizumab.,Clinical journal of gastroenterology,2025
37941436,Antibody Responses to Influenza Vaccination are Diminished in Patients With Inflammatory Bowel Disease on Infliximab or Tofacitinib.,Journal of Crohn's & colitis,2024
37842172,"Neutralising antibody responses against SARS-CoV-2 Omicron BA.4/5 and wild-type virus in patients with inflammatory bowel disease following three doses of COVID-19 vaccine (VIP): a prospective, multicentre, cohort study.",EClinicalMedicine,2023
36815684,Non-hepatic Solid Organ Transplant in Patients with Inflammatory Bowel Disease: An ECCO CONFER Multicentre Case Series.,Journal of Crohn's & colitis,2023
36150725,Cavitary lung nodules as an extraintestinal manifestation of ulcerative colitis.,BMJ case reports,2022
36088954,"COVID-19 vaccine-induced antibody and T-cell responses in immunosuppressed patients with inflammatory bowel disease after the third vaccine dose (VIP): a multicentre, prospective, case-control study.",The lancet. Gastroenterology & hepatology,2022
32960134,Ewing's Sarcoma in a Patient with Crohn's Disease Treated with Ustekinumab: A Case Report.,Journal of adolescent and young adult oncology,2021
31358038,Sarcoid- like Phenomenon - ustekinumab induced granulomatous reaction mimicking diffuse metastatic disease: a case report and review of the literature.,Journal of medical case reports,2019
28439956,Biologic treatments for elderly patients with psoriasis.,The Journal of dermatology,2017
26676102,The Risk of Cancer in Patients With Psoriasis: A Population-Based Cohort Study in the Health Improvement Network.,JAMA dermatology,2016
