PMID,Title,Journal,Year
40089022,Long-term cardiovascular safety of ustekinumab in psoriasis and psoriatic arthritis: Results from an observational postauthorization safety study based on Swedish national registers.,Journal of the American Academy of Dermatology,2025
38729389,Long-term Outcome of Risankizumab in Crohn's Disease: a Real-world GETAID Study.,Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,2024
37821035,Risk of Major Adverse Cardiovascular Events in Immune-Mediated Inflammatory Disorders on Biologics and Small Molecules: Network Meta-Analysis.,Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,2024
34616488,Case report of severe constrictive perimyocarditis and ischemic hepatitis in a Crohn's disease patient upon infliximab-induced lupus-like syndrome.,Therapeutic advances in gastroenterology,2021
34296456,Effectiveness and safety of ustekinumab maintenance therapy in 103 patients with ulcerative colitis: a GETAID cohort study.,Alimentary pharmacology & therapeutics,2021
33666154,Failure of first anti-TNF agent in Takayasu's arteritis: to switch or to swap?,Clinical and experimental rheumatology,2021
31633837,Risk of major cardiovascular events in patients with psoriasis receiving biologic therapies: a prospective cohort study.,Journal of the European Academy of Dermatology and Venereology : JEADV,2020
30916734,Association of Ustekinumab vs TNF Inhibitor Therapy With Risk of Atrial Fibrillation and Cardiovascular Events in Patients With Psoriasis or Psoriatic Arthritis.,JAMA dermatology,2019
29036254,Evaluation of Risk of Major Adverse Cardiovascular Events With Biologic Therapy in Patients With Psoriasis.,Journal of drugs in dermatology : JDD,2017
27518205,Impact of biologic therapies on risk of major adverse cardiovascular events in patients with psoriasis: systematic review and meta-analysis of randomized controlled trials.,The British journal of dermatology,2017
29423460,Risk of Cardiovascular Outcomes among Psoriasis Patients Treated with Biologics and Other Systemic Agents.,Journal of psoriasis and psoriatic arthritis,2016
25412782,Psoriasis is a systemic disease with multiple cardiovascular and metabolic comorbidities.,Dermatologic clinics,2015
25303139,Cardiovascular outcomes and systemic anti-inflammatory drugs in patients with severe psoriasis: 5-year follow-up of a Danish nationwide cohort.,Journal of the European Academy of Dermatology and Venereology : JEADV,2015
24184141,From the Medical Board of the National Psoriasis Foundation: The risk of cardiovascular disease in individuals with psoriasis and the potential impact of current therapies.,Journal of the American Academy of Dermatology,2014
23157913,Cardiovascular risk and psoriasis: the role of biologic therapy.,Actas dermo-sifiliograficas,2012
23134986,"PSOLAR: design, utility, and preliminary results of a prospective, international, disease-based registry of patients with psoriasis who are receiving, or are candidates for, conventional systemic treatments or biologic agents.",Journal of drugs in dermatology : JDD,2012
22591655,Cardiovascular Risk and Psoriasis: the Role of Biologic Therapy.,Actas dermo-sifiliograficas,2012
22481582,Psoriasis and cardiovascular comorbidities with emphasis in Asia.,"Giornale italiano di dermatologia e venereologia : organo ufficiale, Societa italiana di dermatologia e sifilografia",2012
22404103,Re-evaluation of the risk for major adverse cardiovascular events in patients treated with anti-IL-12/23 biological agents for chronic plaque psoriasis: a meta-analysis of randomized controlled trials.,Journal of the European Academy of Dermatology and Venereology : JEADV,2013
22395580,An update on the long-term safety experience of ustekinumab: results from the psoriasis clinical development program with up to four years of follow-up.,Journal of drugs in dermatology : JDD,2012
