PMID,Title,Journal,Year
40920365,Blood proteomic signatures associated with disease activity in Inflammatory Bowel Diseases.,Journal of Crohn's & colitis,2025
40900639,Combination therapy with biologics and/or small molecules in inflammatory bowel disease: a comprehensive review.,Journal of Crohn's & colitis,2025
40896002,Efficacy and Safety of Ustekinumab in Treatment of Ulcerative Colitis: A Systematic Review.,Cureus,2025
40869536,"Update on the Prevalence, Incidence, Mortality, and Trends in Treatment of Inflammatory Bowel Disease in a Population-Based Registry in Catalonia Between 2017 and 2023.",Journal of clinical medicine,2025
40880674,Vancomycin for the Induction and Maintenance of Remission in Biologics Refractory Patient with Ulcerative Colitis and Primary Sclerosing Cholangitis Post-Liver and Bone Marrow Transplantation.,Case reports in gastroenterology,2025
40836379,Real-world efficacy of ustekinumab and vedolizumab in pediatric and young adult patients with inflammatory bowel disease.,Journal of pediatric gastroenterology and nutrition,2025
40835043,Real-world comparison of the effectiveness of tofacitinib and ustekinumab in patients with ulcerative colitis: the TORUS study.,Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,2025
40828456,Real‑world safety and efficacy of biological agents in inflammatory bowel disease: a one-year post-marketing pharmacovigilance observational study in the Calabria region.,Pharmacological reports : PR,2025
40820417,Real-world Dose Escalation and Associated Direct Costs of Biologics in Management of Ulcerative Colitis: A Retrospective Database Study.,"Digestive diseases (Basel, Switzerland)",2025
40807215,Comparative Effectiveness of Ustekinumab and Vedolizumab as Maintenance Therapy After Tacrolimus-Induced Improvement in Patients with Acute Severe Ulcerative Colitis: A Retrospective Cohort Study.,Journal of clinical medicine,2025
40778752,Frequency and Effectiveness of Dose Escalation and De-Escalation of Biologic Therapy in Inflammatory Bowel Disease: The RAINBOW-IBD Study of ENEIDA.,Alimentary pharmacology & therapeutics,2025
40736698,Patients Included in Clinical Trials of Biological Drugs for Inflammatory Bowel Disease Do Not Represent the Real-World Population.,The American journal of gastroenterology,2025
40720058,"Pharmacokinetic Bioequivalence, Safety, and Immunogenicity of DMB-3115, an Ustekinumab Biosimilar, and EU- and US-Stelara in Healthy Adult Participants: A Randomized, Double-Blind, Single-Dose Study.",Advances in therapy,2025
40717967,What is the optimal biological therapy for moderate to severe ulcerative colitis: a systematic review and network meta-analysis.,Frontiers in pharmacology,2025
40708501,Efficacy and Safety of Ustekinumab and Vedolizumab for Crohn's Disease of the Pouch.,Inflammatory bowel diseases,2025
40704856,Ustekinumab infusion to subcutaneous transition: Coordinating care and identifying potential gaps.,Journal of managed care & specialty pharmacy,2025
40702811,Advanced therapies targeting IL-23: clinical outcomes in ulcerative colitis.,Expert opinion on biological therapy,2025
40702590,Long-term effects of ustekinumab in children with inflammatory bowel disease: A systematic review.,Journal of pediatric gastroenterology and nutrition,2025
40696750,Biologic therapy utilization trends in inflammatory bowel disease: A narrative review from Saudi Arabia.,Saudi journal of gastroenterology : official journal of the Saudi Gastroenterology Association,2025
40668079,Clinical Trial: Association Between Early Disease Clearance and Long-Term Outcomes-4-Year Results From the Phase 3 UNIFI Study of Ustekinumab in Ulcerative Colitis.,Alimentary pharmacology & therapeutics,2025
