PMID,Title,Journal,Year
40633795,Combination targeted therapy with two biologic/targeted synthetic DMARDs in 1200 patients with immune mediated inflammatory diseases. A systematic literature review for current landscape in safety and efficacy.,Autoimmunity reviews,2025
40560239,Risk of new or recurrent cancer during treatment with biologics in patients with immune-mediated inflammatory diseases and previous cancer: a meta-analysis.,Clinical and experimental medicine,2025
40180772,Frequency of Biological Drug Use in Older Patients with Immune-Mediated Inflammatory Diseases: Results from the Large-Scale Italian VALORE Distributed Database Network.,"BioDrugs : clinical immunotherapeutics, biopharmaceuticals and gene therapy",2025
40164095,[Update on drug therapy for ulcerative colitis].,Deutsche medizinische Wochenschrift (1946),2025
38965810,Initiation of vedolizumab did not provoke new-onset spondylarthritis in patients with inflammatory bowel disease: A prospective 24-week study with imaging assessments.,United European gastroenterology journal,2024
37716078,Hepatic safety and efficacy of immunomodulatory drugs used in patients with autoimmune hepatitis.,Journal of autoimmunity,2023
37579866,Risk of Cancer Recurrence in Patients With Immune-Mediated Diseases With Use of Immunosuppressive Therapies: An Updated Systematic Review and Meta-Analysis.,Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,2024
36542348,Risankizumab (Skyrizi) - An IL-23 antagonist for Crohn's disease.,The Medical letter on drugs and therapeutics,2022
36205507,Systematic review of TNFalpha-induced paradoxical psoriasis: Treatment outcomes of switching to alternative biologic therapies in inflammatory bowel disease patients.,The Journal of dermatological treatment,2023
35985961,Efficacy and safety of combination targeted therapies in immune-mediated inflammatory disease: the COMBIO study.,Digestive and liver disease : official journal of the Italian Society of Gastroenterology and the Italian Association for the Study of the Liver,2023
34939919,Paradoxical Reactions to Biologicals in Chronic Inflammatory Systemic Diseases.,Deutsches Arzteblatt international,2022
34602905,Efficacy and Safety of Dual Biologic Therapy in Patients With Inflammatory Bowel Disease: A Review of the Literature.,Gastroenterology & hepatology,2021
34507811,Safety of biologic treatments in solid organ transplant recipients: A systematic review.,Seminars in arthritis and rheumatism,2021
33326852,Spondylitis-psoriasis-enthesitis-enterocolitis-dactylitis-uveitis-peripheral synovitis (SPEED-UP) treatment.,Autoimmunity reviews,2021
33189407,Skin injuries associated with biological therapy in inflammatory bowel disease: beyond psoriasis.,Gastroenterologia y hepatologia,2022
33074781,Spotlight on the treatment armamentarium of concomitant psoriasis and inflammatory bowel disease: a systematic review.,The Journal of dermatological treatment,2022
32496114,Vedolizumab-associated psoriasis: until where does gut selectivity go?,Revista espanola de enfermedades digestivas,2020
32378002,Combination of Biological Agents in Moderate to Severe Pediatric Inflammatory Bowel Disease: A Case Series and Review of the Literature.,Paediatric drugs,2020
31313356,Letter: psoriasiform eruption during vedolizumab therapy.,Alimentary pharmacology & therapeutics,2019
31180729,Therapeutic drug monitoring with biologic agents in immune mediated inflammatory diseases.,Expert review of clinical immunology,2019
