PMID,Title,Journal,Year
40633795,Combination targeted therapy with two biologic/targeted synthetic DMARDs in 1200 patients with immune mediated inflammatory diseases. A systematic literature review for current landscape in safety and efficacy.,Autoimmunity reviews,2025
40560239,Risk of new or recurrent cancer during treatment with biologics in patients with immune-mediated inflammatory diseases and previous cancer: a meta-analysis.,Clinical and experimental medicine,2025
40180772,Frequency of Biological Drug Use in Older Patients with Immune-Mediated Inflammatory Diseases: Results from the Large-Scale Italian VALORE Distributed Database Network.,"BioDrugs : clinical immunotherapeutics, biopharmaceuticals and gene therapy",2025
37716078,Hepatic safety and efficacy of immunomodulatory drugs used in patients with autoimmune hepatitis.,Journal of autoimmunity,2023
37579866,Risk of Cancer Recurrence in Patients With Immune-Mediated Diseases With Use of Immunosuppressive Therapies: An Updated Systematic Review and Meta-Analysis.,Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,2024
37010772,Recurring Fatigue After Biologic Administration: Patient-Reported Data from the Dutch Biologic Monitor.,"BioDrugs : clinical immunotherapeutics, biopharmaceuticals and gene therapy",2023
35894810,Reported congenital malformations after exposure to non-tumour necrosis factor inhibitor biologics: A retrospective comparative study in EudraVigilance.,British journal of clinical pharmacology,2022
34474172,Response to SARS-CoV-2 vaccination in immune mediated inflammatory diseases: Systematic review and meta-analysis.,Autoimmunity reviews,2022
33370961,Infliximab-induced optic neuritis.,BMJ case reports,2020
32056030,The Complex Interplay Between Inflammatory Bowel Disease and Malignancy.,Current gastroenterology reports,2020
31750389,Use of Tofacitinib for the Treatment of Arthritis Associated With Ulcerative Colitis.,ACG case reports journal,2019
31385283,Retrospective Claims Analysis Indirectly Comparing Medication Adherence and Persistence Between Intravenous Biologics and Oral Small-Molecule Therapies in Inflammatory Bowel Diseases.,Advances in therapy,2019
31180729,Therapeutic drug monitoring with biologic agents in immune mediated inflammatory diseases.,Expert review of clinical immunology,2019
31693324,,,2019
34288615,,,2019
30043874,TOFACITINIB IN THE MANAGEMENT OF ULCERATIVE COLITIS REFRACTORY TO ANTI-TNF AND ANTI-INTEGRIN THERAPIES.,Arquivos de gastroenterologia,2018
29481970,Combining Biologics in Inflammatory Bowel Disease and Other Immune Mediated Inflammatory Disorders.,Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,2018
28765121,"Novel therapies for immune-mediated inflammatory diseases: What can we learn from their use in rheumatoid arthritis, spondyloarthritis, systemic lupus erythematosus, psoriasis, Crohn's disease and ulcerative colitis?",Annals of the rheumatic diseases,2018
28620302,"Adoption of Biosimilar Infliximab for Rheumatoid Arthritis, Ankylosing Spondylitis, and Inflammatory Bowel Diseases in the EU5: A Budget Impact Analysis Using a Delphi Panel.",Frontiers in pharmacology,2017
28247573,Review article: moving towards common therapeutic goals in Crohn's disease and rheumatoid arthritis.,Alimentary pharmacology & therapeutics,2017
