PMID,Title,Journal,Year
39943742,Integrating hepatitis C testing and treatment into routine HIV care in Cameroon is feasible.,Journal of the International AIDS Society,2025
39702964,Reinfection and Resistance Associated Substitutions Following a Minimal Monitoring Approach for Hepatitis C Virus Treatment in MINMON Trial.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2025
39361017,Prevalence of Drug Resistance Associated Substitutions in Persons With Chronic Hepatitis C Infection and Virological Failure Following Initial or Re-treatment With Pan-genotypic Direct-Acting Antivirals: A Systematic Review and Meta-analysis.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2024
39004798,Pharmacokinetics of Sofosbuvir/Velpatasvir and efficacy of an alternate-day treatment in hemodialysis patients with chronic hepatitis C infection.,Clinical and translational science,2024
37579203,Direct-Acting Antiviral Therapy for Treatment of Acute and Recent Hepatitis C Virus Infection: A Narrative Review.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2023
37547041,"A simple, feasible, efficient and safe treatment strategy of sofosbuvir/velpatasvir for chronic HCV/HIV-1 coinfected patients regardless of HCV genotypes: a multicenter, open-label study in China.",The Lancet regional health. Western Pacific,2023
37505666,Seroprevalence and Genotype Diversity of Hepatitis C Virus in the Caribbean-A Review.,Tropical medicine and infectious disease,2023
37260083,Efficacy and safety of pan-genotypic sofosbuvir and velpatasvir in patients with hepatitis C and HIV coinfection on dolutegravir-based antiretroviral therapy.,Journal of viral hepatitis,2023
36694361,Perspectives on Adherence From the ACTG 5360 MINMON Trial: A Minimum Monitoring Approach With 12 Weeks of Sofosbuvir/Velpatasvir in Chronic Hepatitis C Treatment.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2023
35026142,"A minimal monitoring approach for the treatment of hepatitis C virus infection (ACTG A5360 [MINMON]): a phase 4, open-label, single-arm trial.",The lancet. Gastroenterology & hepatology,2022
34757974,Brief Report: HCV Universal Test-and-Treat With Direct Acting Antivirals for Prisoners With or Without HIV: A Prison Health Care Workers-Led Model for HCV Microelimination in Thailand.,Journal of acquired immune deficiency syndromes (1999),2021
33124786,Nucleotide analogues as inhibitors of SARS-CoV Polymerase.,Pharmacology research & perspectives,2020
32009165,Concurrent Initiation of Hepatitis C and Opioid Use Disorder Treatment in People Who Inject Drugs.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2020
31065368,High efficacy of interferon-free therapy for acute hepatitis C in HIV-positive patients.,United European gastroenterology journal,2019
31053098,Contemporary HCV pangenotypic DAA treatment protocols are exclusionary to real world HIV-HCV co-infected patients.,BMC infectious diseases,2019
29493093,Highlights of the 2017 European AIDS Clinical Society (EACS) Guidelines for the treatment of adult HIV-positive persons version 9.0.,HIV medicine,2018
29369303,Report from the International Conference on Viral Hepatitis - 2017.,AIDS reviews,2018
27357277,Update on Current Evidence for Hepatitis C Therapeutic Options in HCV Mono-infected Patients.,Current infectious disease reports,2016
