PMID,Title,Journal,Year
40937082,Characteristics of a Chinese Cohort of Patients with Chronic Hepatitis C Infection (2019-2023) and a Case Report of Resistance-associated Substitutions to Sofosbuvir-velpatasvir Treatment.,Journal of clinical and translational hepatology,2025
40922704,Efficacy and Safety of Velpatasvir Plus Sofosbuvir With or Without Ribavirin in Hepatitis C Patients With Decompensated Cirrhosis: A Systematic Review and Meta-Analysis.,Journal of viral hepatitis,2025
40913403,Trends in Use of Direct-Acting Antivirals for Treatment of Hepatitis C Virus Infection in Australia 2016-2024.,Journal of viral hepatitis,2025
29999978,Voxilaprevir.,,2006
29999897,Velpatasvir.,,2006
40795873,Sofosbuvir/Velpatasvir Concentrations in the Breastmilk of Postpartum Women with Opioid Use Disorder Receiving Treatment for Hepatitis C Virus: a pharmacokinetic study.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2025
40733566,Real-World Treatment Efficacy and Safety Profile of Sofosbuvir- and Velpatasvir-Based HCV Treatment in South Korea: Multicenter Prospective Study.,Viruses,2025
40733548,Evaluation of Treatment Response in Chronic Hepatitis C Patients Receiving Sofosbuvir/Velpatasvir/Voxilaprevir: A Multicenter Real-World Experience from Turkiye.,Viruses,2025
40718206,Hepatitis C Virus Cascade of Care After the Introduction of Direct-Acting Antiviral Medications in Suriname.,Cureus,2025
40682422,CHIME: Sofosbuvir/Velpatasvir (S/V) for the Treatment of HCV Infection Among Vulnerable Inner-City Residents.,Journal of viral hepatitis,2025
40611935,Impact of Resistance Associated Substitutions and Predictors of Treatment Failure Following Direct-acting Antiviral Therapy in a Viral Hepatitis C Elimination Cohort.,Journal of clinical and experimental hepatology,2025
40542160,Pretreatment serum angiopoietin-2 predicts prognosis and liver functional reserve after successful HCV eradication with sofosbuvir and velpatasvir in patients with HCV-related decompensated cirrhosis.,Journal of gastroenterology,2025
40539474,Effects of Sofosbuvir/Velpatasvir Therapy on Extrahepatic Manifestations in Patients With Type 2 Diabetes and Chronic Hepatitis C: Insights From a Nationwide Hepatitis C Virus Registry in Taiwan.,The Kaohsiung journal of medical sciences,2025
40524577,Chronic Hepatitis C Treatment Failure With Crushed Sofosbuvir/Velpatasvir in a Patient With Total Parenteral Nutrition-dependent Short Bowel Syndrome.,Journal of pharmacy practice,2025
40497232,A single center experience of concomitant administration of sofosbuvir/velpatasvir and amiodarone after heart and lung transplantation.,JHLT open,2025
40414600,A global comparison of hepatitis B & C drug pricing.,Annals of hepatology,2025
40396102,SVR timelines in hepatitis - C irrespective of viral genotype: An Indian perspective.,Journal of family medicine and primary care,2025
40364525,Clearance of Hepatitis C Viremia During Direct-Acting Antiviral Therapy Leads to Rapid Changes in Lipid and Lipoprotein Metabolism.,Alimentary pharmacology & therapeutics,2025
40347964,"Treatment options to support the elimination of hepatitis C: an open-label, factorial, randomised controlled non-inferiority trial.","Lancet (London, England)",2025
40303588,Changes in liver stiffness and steatosis in children after successful treatment with sofosbuvir/velpatasvir: Results of the PANDAA-PED study.,Clinical and experimental hepatology,2025
