pmid,title,journal,year,drug,disease
28429033,Clinics in diagnostic imaging (176). Acute embolic occlusion of the coeliac artery.,Singapore medical journal,2017,Warfarin,Celiac Disease
23963400,Follow-up of ischaemic heart disease in patients with coeliac disease.,European journal of preventive cardiology,2015,Warfarin,Celiac Disease
22693776,Warfarin hypersensitivity due to gluten-sensitive enteropathy: a case study.,Clinical laboratory science : journal of the American Society for Medical Technology,2012,Warfarin,Celiac Disease
20981421,Symptomatic spontaneous celiac artery dissection treated by conservative management: serial imaging findings.,Abdominal imaging,2011,Warfarin,Celiac Disease
19507658,Deep vein thrombosis associated with celiac disease.,Bratislavske lekarske listy,2009,Warfarin,Celiac Disease
21686472,Supplemental vitamin K improves the stability of anticoagulation in a patient with low tissue stores of vitamin K secondary to coeliac disease.,BMJ case reports,2009,Warfarin,Celiac Disease
15056032,Endovascular repair of concomitant celiac trunk and abdominal aortic aneurysms in a patient with Behcet's disease.,Journal of endovascular therapy : an official journal of the International Society of Endovascular Specialists,2004,Warfarin,Celiac Disease
12322798,Spontaneous isolated dissection of the superior mesenteric artery.,"Internal medicine (Tokyo, Japan)",2002,Warfarin,Celiac Disease
9382132,Vitamin K deficiency embryopathy: a phenocopy of the warfarin embryopathy due to a disorder of embryonic vitamin K metabolism.,American journal of medical genetics,1997,Warfarin,Celiac Disease
4617407,Studies on the absorption and metabolism of phylloquinone (vitamin K1) in man.,Vitamins and hormones,1974,Warfarin,Celiac Disease
