pmid,title,journal,year,drug,disease
40899565,Absorbable Adhesive Composite Hemostatic Sponge Based on Decellularized Extracellular Matrix and Mussel Adhesive Protein for Internal Bleeding Control.,Advanced healthcare materials,2025,Warfarin,Cirrhosis
40588061,Bayesian Network Meta-Analysis of Randomized Controlled Trials Comparing the Efficacy of Diverse Interventions in Preventing Portal Venous System Thrombosis Following Splenectomy in Patients with Liver Cirrhosis.,Annals of vascular surgery,2025,Warfarin,Cirrhosis
40535409,Calciphylaxis in End-Stage Renal Disease: A Case of Nonhealing Ulcer and Diagnostic Challenges.,Cureus,2025,Warfarin,Cirrhosis
40517483,Evaluating strategies for preventing splanchnic vein thrombosis after splenectomy in cirrhosis: Evidence from published trials and retrospective cohort data.,Thrombosis research,2025,Warfarin,Cirrhosis
40298249,Anticoagulation outcomes in cirrhotic patients with portal vein thrombosis: a tertiary center study.,Postgraduate medical journal,2025,Warfarin,Cirrhosis
40235244,Outcomes of Hepatic Venoplasty in Budd-Chiari Syndrome.,Journal of the College of Physicians and Surgeons--Pakistan : JCPSP,2025,Warfarin,Cirrhosis
40177431,"Extensive Portal Vein Thrombosis Following Laparoscopic Cholecystectomy: Interplay of Liver Cirrhosis, Psoriasis, and Anticoagulation Oversight.",Cureus,2025,Warfarin,Cirrhosis
39834816,Administration of anticoagulation strategies for portal vein thrombosis in cirrhosis: network meta-analysis.,Frontiers in pharmacology,2024,Warfarin,Cirrhosis
39782012,Role of TGF-beta1/Smad3 signalling pathway in renal tubulointerstitial fibrosis and renal damage in elderly rats with isolated systolic hypertension induced by increased pulse pressure.,Acta cardiologica,2025,Warfarin,Cirrhosis
39773159,Efficacy and safety of anticoagulation in asymptomatic cirrhotic patients with portal vein thrombosis: a systematic review and meta-analysis.,Scandinavian journal of gastroenterology,2025,Warfarin,Cirrhosis
39713605,Pediatric eosinophilic granulomatosis with polyangiitis and intracardiac thrombus: A case report.,SAGE open medical case reports,2024,Warfarin,Cirrhosis
39605302,Safety of Anticoagulation When Undergoing Endoscopic Variceal Ligation: A Systematic Review and Meta-Analysis.,Liver international : official journal of the International Association for the Study of the Liver,2025,Warfarin,Cirrhosis
39552309,Comparison of the Efficacy and Safety of Direct Oral Anticoagulants and Warfarin in Cirrhotic Patients: A Systematic Review and Meta-Analysis.,Clinical and applied thrombosis/hemostasis : official journal of the International Academy of Clinical and Applied Thrombosis/Hemostasis,2024,Warfarin,Cirrhosis
39495818,Efficacy and Safety of Direct Oral Anticoagulants Versus Warfarin in Patients With Atrial Fibrillation and Liver Cirrhosis.,Journal of clinical gastroenterology,2025,Warfarin,Cirrhosis
39486452,Efficacy and Safety of Direct Oral Anticoagulants Compared to Warfarin in Patients with Cirrhosis and Splanchnic Vein Thrombosis.,Southern medical journal,2024,Warfarin,Cirrhosis
39305275,Prediction of hepatocellular carcinoma in patients with Fontan-associated liver disease using gadolinium ethoxybenzyl diethylenetriamine pentaacetic acid magnetic resonance imaging.,Hepatology research : the official journal of the Japan Society of Hepatology,2024,Warfarin,Cirrhosis
39152982,Reprint of: Efficacy and safety of apixaban compared to warfarin for nonvalvular atrial fibrillation in end-stage renal disease on hemodialysis.,Journal of the American Pharmacists Association : JAPhA,2024,Warfarin,Cirrhosis
39150397,Nrf2 Ameliorates Atrial Fibrosis During Antithrombotic Therapy for Atrial Fibrillation by Modulating CYP2C9 Activity.,Journal of cardiovascular pharmacology,2024,Warfarin,Cirrhosis
39130964,A Case of Thrombectomy for Loeffler's Endocarditis.,Cureus,2024,Warfarin,Cirrhosis
39101441,A pilot study of safety and efficacy comparison of low molecular heparin calcium sequential oral anticoagulants in the treatment of cirrhotic portal vein thrombosis.,European journal of gastroenterology & hepatology,2024,Warfarin,Cirrhosis
39092362,Uncovering the Role of Direct Oral Anticoagulants in Stroke Prevention for Atrial Fibrillation: A Review of the Literature.,Cureus,2024,Warfarin,Cirrhosis
39053441,Assessing Safety of Anticoagulation for Atrial Fibrillation in Patients with Cirrhosis: A Real-World Outcomes Study.,Journal of cardiovascular pharmacology and therapeutics,2024,Warfarin,Cirrhosis
38991533,Public Health Surveillance in Electronic Health Records: Lessons From PCORnet.,Preventing chronic disease,2024,Warfarin,Cirrhosis
38976880,"Comparative Effectiveness and Safety of Apixaban, Rivaroxaban, and Warfarin in Patients With Cirrhosis and Atrial Fibrillation : A Nationwide Cohort Study.",Annals of internal medicine,2024,Warfarin,Cirrhosis
38910594,Is anticoagulative therapy in systemic sclerosis to be reconsidered?,Journal of scleroderma and related disorders,2024,Warfarin,Cirrhosis
38864452,Risk of Adverse Events in Anticoagulated Patients With Atrial Fibrillation and Nonalcoholic Fatty Liver Disease.,The Journal of clinical endocrinology and metabolism,2024,Warfarin,Cirrhosis
38734732,Effectiveness of edoxaban in portal vein thrombosis associated with liver cirrhosis.,Scientific reports,2024,Warfarin,Cirrhosis
38699468,Safety of DOACs in patients with Child-Pugh Class C cirrhosis and atrial fibrillation.,JGH open : an open access journal of gastroenterology and hepatology,2024,Warfarin,Cirrhosis
38612984,"Potential Drug-Nutrient Interactions of 45 Vitamins, Minerals, Trace Elements, and Associated Dietary Compounds with Acetylsalicylic Acid and Warfarin-A Review of the Literature.",Nutrients,2024,Warfarin,Cirrhosis
38440292,"A comprehensive survey of warfarin-induced hepatic toxicity using histopathological, biomarker, and molecular evaluation.",Heliyon,2024,Warfarin,Cirrhosis
38281037,A comprehensive comparison of the safety and efficacy of drugs in the treatment of idiopathic pulmonary fibrosis: a network meta-analysis based on randomized controlled trials.,BMC pulmonary medicine,2024,Warfarin,Cirrhosis
38236640,"Comparative effectiveness of warfarin in cirrhotic patients with non-symptomatic portal vein thrombosis: a multicenter, randomized controlled trial.",Expert review of gastroenterology & hepatology,2024,Warfarin,Cirrhosis
38222867,"PIVKA‑II is associated with liver function, bone metabolism, and muscle function in patients with liver disease.",Biomedical reports,2024,Warfarin,Cirrhosis
38187513,The Association Between Non-Clinically Apparent Liver Fibrosis and Pulmonary Arterial Hypertension in Hispanic Patients.,Cardiology research,2023,Warfarin,Cirrhosis
38151201,Efficacy and safety of apixaban compared to warfarin for nonvalvular atrial fibrillation in end-stage renal disease on hemodialysis.,Journal of the American Pharmacists Association : JAPhA,2024,Warfarin,Cirrhosis
38038058,Venous thromboembolism management in people with cystic fibrosis.,Pediatric pulmonology,2024,Warfarin,Cirrhosis
37849579,Endomyocardial Fibrosis With Bilateral Ventricular Thrombus: A Case Report and Literature Review.,Cureus,2023,Warfarin,Cirrhosis
37790690,Assessment of the efficiency and safety of anti-coagulation therapy in patients with liver cirrhosis and atrial fibrillation.,Clinical and experimental hepatology,2023,Warfarin,Cirrhosis
37767705,Targeting PAR4 to Reduce Atherosclerosis.,"Arteriosclerosis, thrombosis, and vascular biology",2023,Warfarin,Cirrhosis
37744894,Acute Cardiac Manifestations of SARS-CoV-2 Infection: Spotting the Clot.,Case reports in cardiology,2023,Warfarin,Cirrhosis
